ReactionID,Flux,Name
rxn00068_c0,-245.8056964,'Fe2+:NAD+ oxidoreductase'
rxn00148_c0,-24.58056964,'ATP:pyruvate 2-O-phosphotransferase'
rxn00173_c0,98.32227858,'acetyl-CoA:phosphate acetyltransferase'
rxn00182_c0,147.8735856,'L-glutamate:NAD+ oxidoreductase (deaminating)'
rxn00216_c0,24.58056964,'ATP:D-glucose 6-phosphotransferase'
rxn00225_c0,-98.32227858,'ATP:acetate phosphotransferase'
rxn00248_c0,98.32227858,'(S)-malate:NAD+ oxidoreductase'
rxn00256_c0,-98.32227858,'acetyl-CoA:oxaloacetate C-acetyltransferase (thioester-hydrolysing)'
rxn00459_c0,98.32227858,'2-phospho-D-glycerate hydro-lyase (phosphoenolpyruvate-forming)'
rxn00505_c0,98.32227858,'Isocitrate:NAD+ oxidoreductase (decarboxylating)'
rxn00517_c0,-49.16113929,'ITP:pyruvate 2-O-phosphotransferase'
rxn00557_c0,49.16113929,'ITP:D-fructose-6-phosphate 1-phosphotransferase'
rxn00558_c0,24.58056964,'D-glucose-6-phosphate aldose-ketose-isomerase'
rxn00747_c0,-49.16113929,'D-glyceraldehyde-3-phosphate aldose-ketose-isomerase'
rxn00781_c0,98.32227858,'D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating)'
rxn00786_c0,49.16113929,"'D-fructose-1,6-bisphosphate D-glyceraldehyde-3-phosphate-lyase (glycerone-phosphate-forming)'"
rxn00799_c0,-98.32227858,'(S)-malate hydro-lyase (fumarate-forming)'
rxn00856_c0,147.8735856,'putrescine:2-oxoglutarate aminotransferase'
rxn00973_c0,98.32227858,'citrate hydroxymutase'
rxn01100_c0,-98.32227858,'ATP:3-phospho-D-glycerate 1-phosphotransferase'
rxn01106_c0,-98.32227858,"'2-Phospho-D-glycerate 2,3-phosphomutase'"
rxn01851_c0,147.8735856,'4-aminobutanal:NAD+ 1-oxidoreductase'
rxn05312_c0,-491.6113929,'Inorganic phosphate transporter'
rxn05466_c0,-705.0331643,'TRANS-RXN-173.ce'
rxn05513_c0,491.6113929,'TRANS-RXN-194.ce'
rxn05564_c0,-147.8735856,'Proline-specific permease'
rxn05595_c0,-491.6113929,'TRANS-RXN-3.ce'
rxn05627_c0,65.54818572,'nitrate transport in via proton symport'
rxn05651_c0,-245.8056964,'sulfate transport in via proton symport'
rxn05893_c0,-65.54818572,'Ammonia:ferredoxin oxidoreductase'
rxn08173_c0,294.9668357,'F(1)-ATPase'
rxn08233_c0,-245.8056964,'Chloride/proton antiport'
rxn08240_c0,491.6113929,'cobalt (Co+2) transport out via proton antiport (periplasm)'
rxn08473_c0,-983.2227858,'Transport of Fe2+'
rxn08535_c0,24.58056964,'Fructose transport via PEP:Pyr PTS (f6p generating) (periplasm)'
rxn08921_c0,-491.6113929,'magnesium (Mg+2) transport in/out via proton antiport (periplasm)'
rxn09272_c0,98.32227858,"'fumarate reductase complex (i.e. FRD, involved in anaerobic respiration, repressed in aerobic respiration)'"
rxn09389_c0,491.6113929,'TRANS-RXN0-200.cp'
rxn10043_c0,377.6824034,'cytochrome-c oxidase (H+/e- = 2)'
rxn12498_c0,65.54818572,'NarA'
rxn12811_c0,-245.8056964,'sulfate transport via sodium symport'
rxn13392_c0,-343.7378073,"'putrescine transport in via proton antiport, irreversible'"
rxn13689_c0,377.6824034,'cytochrome-c reductase (ubiquinol8: 4 protons translocated)'
rxn25164_c0,-98.32227858,'RXN-8807.c'
rxn31312_c0,-98.32227858,'2-oxoglutarate synthase'
rxn05319_c0,-475.2243465,'TRANS-RXNBWI-115401.ce.maizeexp.OH_OH'
rxn05467_c0,-294.9668357,'CO2 transporter via diffusion'
rxn05468_c0,-302.7701912,'TRANS-RXNAVI-26568.ce'
rxn08689_c0,491.6113929,'h2s transport (periplasm)'
EX_cpd00009_e0,491.6113929,'Phosphate-e0 Exchange'
EX_cpd00034_e0,491.6113929,'Zn2+-e0 Exchange'
EX_cpd00048_e0,491.6113929,'Sulfate-e0 Exchange'
EX_cpd00118_e0,343.7378073,'Putrescine-e0 Exchange'
EX_cpd00149_e0,491.6113929,'Co2+-e0 Exchange'
EX_cpd00067_e0,1000,'H+-e0 Exchange'
EX_cpd00971_e0,491.6113929,'Na+-e0 Exchange'
EX_cpd00013_e0,705.0331643,'NH3-e0 Exchange'
EX_cpd00063_e0,491.6113929,'Ca2+-e0 Exchange'
EX_cpd00058_e0,491.6113929,'Cu2+-e0 Exchange'
EX_cpd10515_e0,983.2227858,'Fe2+-e0 Exchange'
EX_cpd00281_e0,147.8735856,'GABA-e0 Exchange'
EX_cpd00205_e0,491.6113929,'K+-e0 Exchange'
EX_cpd00209_e0,-65.54818572,'Nitrate-e0 Exchange'
EX_cpd00099_e0,491.6113929,'Cl--e0 Exchange'
EX_cpd00254_e0,491.6113929,'Mg-e0 Exchange'
EX_cpd00001_e0,475.2243465,'H2O-e0 Exchange'
EX_cpd00011_e0,294.9668357,'CO2-e0 Exchange'
EX_cpd00007_e0,302.7701912,'O2-e0 Exchange'
EX_cpd00239_e0,491.6113929,'H2S-e0 Exchange'
rxn05938_c0,-98.32227858,'pyruvate ferredoxin oxidoreductase'
rxn08275_c0,491.6113929,'copper transport out via proton antiport'
rxn08972_c0,344.9083106,'NADH dehydrogenase (ubiquinone-8 & 3 protons) (periplasm)'
rxn09681_c0,-24.58056964,'D-fructose transport in via proton symport'
BIOMASS_PSEUDO,4.916113929,'Biomass pseudo reaction'
