ReactionID,Flux,Name
rxn00006_c0,10.52607322,'hydrogen-peroxide:hydrogen-peroxide oxidoreductase'
rxn00029_c0,84.20858573,'5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming)'
rxn00060_c0,21.05214643,'porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)'
rxn00068_c0,-255.2630366,'Fe2+:NAD+ oxidoreductase'
rxn00097_c0,260.2635471,'ATP:AMP phosphotransferase'
rxn00114_c0,91.84637567,'ATP:carbamate phosphotransferase'
rxn00148_c0,-0.000510526,'ATP:pyruvate 2-O-phosphotransferase'
rxn00159_c0,164.5490624,'(S)-malate:NAD+ oxidoreductase (decarboxylating)'
rxn00179_c0,81.2791539,'ATP:L-glutamate 5-phosphotransferase'
rxn00182_c0,462.644448,'L-glutamate:NAD+ oxidoreductase (deaminating)'
rxn00184_c0,34.46726871,'L-Glutamate:NADP+ oxidoreductase (deaminating)'
rxn00191_c0,-4.837889284,'L-Alanine:2-oxoglutarate aminotransferase'
rxn00248_c0,256.3964591,'(S)-malate:NAD+ oxidoreductase'
rxn00256_c0,-164.5500834,'acetyl-CoA:oxaloacetate C-acetyltransferase (thioester-hydrolysing)'
rxn00260_c0,-91.84637567,'L-Aspartate:2-oxoglutarate aminotransferase'
rxn00272_c0,4.837889284,'L-Alanine:glyoxylate aminotransferase'
rxn00285_c0,89.98413122,'Succinate:CoA ligase (ADP-forming)'
rxn00336_c0,4.837889284,'isocitrate glyoxylate-lyase (succinate-forming)'
rxn00394_c0,91.84637567,'L-Arginine amidinohydrolase'
rxn00459_c0,0.001021052,'2-phospho-D-glycerate hydro-lyase (phosphoenolpyruvate-forming)'
rxn00467_c0,-81.2791539,'L-Ornithine:2-oxo-acid aminotransferase'
rxn00505_c0,159.7121941,'Isocitrate:NAD+ oxidoreductase (decarboxylating)'
rxn00508_c0,414.2453877,'Succinate-semialdehyde:NAD+ oxidoreductase'
rxn00551_c0,0.000510526,'diphosphate:D-fructose-6-phosphate 1-phosphotransferase'
rxn00690_c0,295.2967613,'Formate:tetrahydrofolate ligase (ADP-forming)'
rxn00693_c0,295.2967613,'5-Methyltetrahydrofolate:L-homocysteine S-methyltransferase'
rxn00747_c0,-0.000510526,'D-glyceraldehyde-3-phosphate aldose-ketose-isomerase'
rxn00781_c0,0.001021052,'D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating)'
rxn00786_c0,0.000510526,"'D-fructose-1,6-bisphosphate D-glyceraldehyde-3-phosphate-lyase (glycerone-phosphate-forming)'"
rxn00799_c0,-420.9455215,'(S)-malate hydro-lyase (fumarate-forming)'
rxn00802_c0,91.84637567,'2-(Nomega-L-arginino)succinate arginine-lyase (fumarate-forming)'
rxn00856_c0,510.5260732,'putrescine:2-oxoglutarate aminotransferase'
rxn00907_c0,-295.2967613,"'5,10-methylenetetrahydrofolate:NADP+ oxidoreductase'"
rxn00973_c0,164.5500834,'citrate hydroxymutase'
rxn01019_c0,91.84637567,'Carbamoyl-phosphate:L-ornithine carbamoyltransferase'
rxn01100_c0,-0.001021052,'ATP:3-phospho-D-glycerate 1-phosphotransferase'
rxn01106_c0,-0.001021052,"'2-Phospho-D-glycerate 2,3-phosphomutase'"
rxn01211_c0,-295.2967613,"'5,10-Methenyltetrahydrofolate 5-hydrolase (decyclizing)'"
rxn01310_c0,-0.000255263,'D-Glucitol:NADP+ 1-oxidoreductase'
rxn01434_c0,91.84637567,'L-Citrulline:L-aspartate ligase (AMP-forming)'
rxn01459_c0,510.5260732,'4-Aminobutyraldehyde:NAD+ oxidoreductase'
rxn01629_c0,-168.4171715,"'(S)-4-Amino-5-oxopentanoate 4,5-aminomutase'"
rxn02264_c0,21.05214643,'Hydroxymethylbilane hydro-lyase(cyclizing)'
rxn02288_c0,21.05214643,'Uroporphyrinogen-III carboxy-lyase'
rxn02373_c0,-81.2791539,'L-glutamate-5-semialdehyde:NADP+ 5-oxidoreductase (phosphorylating)'
rxn05312_c0,10,'Inorganic phosphate transporter'
rxn05466_c0,-1000,'TRANS-RXN-173.ce'
rxn05582_c0,-4.837889284,'TRANS-RXNBWI-115637.ce.maizeexp.GLY_GLY'
rxn05628_c0,-81.2791539,'Arginine permease'
rxn05651_c0,199.9682624,'sulfate transport in via proton symport'
rxn05938_c0,-164.5500834,'pyruvate ferredoxin oxidoreductase'
rxn06591_c0,168.4171715,'L-glutamate-semialdehyde: NADP+ oxidoreductase(L-glutamyl-tRNA(Glu)-forming)'
rxn06937_c0,168.4171715,'L-glutamate:tRNA(Glu) ligase (AMP-forming)'
