ReactionID,Flux,Name
rxn00006_c0,5.34E-05,'hydrogen-peroxide:hydrogen-peroxide oxidoreductase'
rxn00018_c0,0.648457295,"'3-phospho-D-glycerate carboxy-lyase (dimerizing; D-ribulose-1,5-bisphosphate-forming)'"
rxn00029_c0,0.00085412,'5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming)'
rxn00048_c0,0.00021353,"'6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase'"
rxn00060_c0,0.00021353,'porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)'
rxn00068_c0,-8.10E-06,'Fe2+:NAD+ oxidoreductase'
rxn00078_c0,0.735451011,'ATP:NADH 2''-phosphotransferase'
rxn00088_c0,0.735344246,'NADP+ 2''-phosphohydrolase'
rxn00097_c0,0.075397721,'ATP:AMP phosphotransferase'
rxn00100_c0,0.00021353,'ATP:dephospho-CoA 3''-phosphotransferase'
rxn00102_c0,-0.044239189,'carbonate hydro-lyase (carbon-dioxide-forming)'
rxn00104_c0,-0.000106765,'polyphosphate kinase'
rxn00113_c0,0.016060544,"'Carbon-dioxide:ammonia ligase (ADP-forming,carbamate-phosphorylating)'"
rxn00117_c0,0.012628477,'ATP:UDP phosphotransferase'
rxn00119_c0,0.00921139,'ATP:UMP phosphotransferase'
rxn00122_c0,0.000106765,'ATP:FMN adenylyltransferase'
rxn00126_c0,0.000320295,'ATP:L-methionine S-adenosyltransferase'
rxn00137_c0,0.000106765,"'Adenosine 3'',5''-bisphosphate 3''-phosphohydrolase'"
rxn00138_c0,0.00021353,'deamido-NAD+:ammonia ligase (AMP-forming)'
rxn00139_c0,-0.00021353,'AMP:diphosphate phospho-D-ribosyltransferase'
rxn00176_c0,0.000746577,'acetyl adenylate:CoA acetyltransferase'
rxn00179_c0,0.013272256,'ATP:L-glutamate 5-phosphotransferase'
rxn00184_c0,-0.215860786,'L-Glutamate:NADP+ oxidoreductase (deaminating)'
rxn00187_c0,0.036236781,'L-Glutamate:ammonia ligase (ADP-forming)'
