ReactionID,Flux,Name
rxn00001_c0,1.222067889,'diphosphate phosphohydrolase'
rxn00012_c0,-0.000129618,'sucrose:sucrose 1''-beta-D-fructosyltransferase'
rxn00029_c0,0.0112208,'5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming)'
rxn00060_c0,0.0028052,'porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)'
rxn00062_c0,15.63934335,'ATP phosphohydrolase'
rxn00069_c0,0.669980671,'L-glutamate:NAD+ oxidoreductase (transaminating)'
rxn00078_c0,0.0014026,'ATP:NADH 2''-phosphotransferase'
rxn00101_c0,0.000212841,'Urea amidohydrolase'
rxn00102_c0,-0.877267305,'carbonate hydro-lyase (carbon-dioxide-forming)'
rxn00104_c0,-0.0014026,'polyphosphate kinase'
rxn00119_c0,0.125576863,'ATP:UMP phosphotransferase'
rxn00122_c0,0.0014026,'ATP:FMN adenylyltransferase'
rxn00126_c0,0.0084156,'ATP:L-methionine S-adenosyltransferase'
rxn00131_c0,0.004564359,'AMP phosphoribohydrolase'
rxn00138_c0,0.0028052,'deamido-NAD+:ammonia ligase (AMP-forming)'
rxn00146_c0,7.286054131,'(R)-Lactate:ferricytochrome-c 2-oxidoreductase'
rxn00157_c0,-8.731219652,'Acetyl-CoA:formate C-acetyltransferase'
rxn00161_c0,3.334328595,'(S)-Malate:NADP+ oxidoreductase(oxaloacetate-decarboxylating)'
rxn00173_c0,6.824707896,'acetyl-CoA:phosphate acetyltransferase'
rxn00179_c0,0.074574034,'ATP:L-glutamate 5-phosphotransferase'
rxn00184_c0,-3.277665192,'L-Glutamate:NADP+ oxidoreductase (deaminating)'
rxn00191_c0,-0.732838791,'L-Alanine:2-oxoglutarate aminotransferase'
rxn00193_c0,0.004903989,'glutamate racemase'
rxn00198_c0,0.400854555,'Isocitrate:NADP+ oxidoreductase (decarboxylating)'
rxn00202_c0,-0.115767309,"'acetyl-CoA:2-oxoglutarate C-acetyltransferase (thioester-hydrolysing, carboxymethyl forming)'"
rxn00213_c0,0.019615955,'UTP:alpha-D-glucose-1-phosphate uridylyltransferase'
rxn00225_c0,-21.40690865,'ATP:acetate phosphotransferase'
rxn00237_c0,0.200510335,'ATP:GDP phosphotransferase'
rxn00239_c0,0.089748823,'ATP:GMP phosphotransferase'
rxn00247_c0,-4.324099981,'ATP:oxaloacetate carboxy-lyase (transphosphorylating;phosphoenolpyruvate-forming)'
rxn00248_c0,-3.098758572,'(S)-malate:NAD+ oxidoreductase'
rxn00256_c0,-0.400854555,'acetyl-CoA:oxaloacetate C-acetyltransferase (thioester-hydrolysing)'
rxn00260_c0,-0.871006846,'L-Aspartate:2-oxoglutarate aminotransferase'
rxn00283_c0,0.009807978,'alanine racemase'
rxn00293_c0,0.019615955,'UTP:N-acetyl-alpha-D-glucosamine-1-phosphate uridylyltransferase'
rxn00299_c0,0.0042078,"'GTP 7,8-8,9-dihydrolase'"
rxn00300_c0,0.0028052,"'GTP 7,8-8,9-dihydrolase (diphosphate-forming)'"
rxn00337_c0,0.272730965,'ATP:L-aspartate 4-phosphotransferase'
