ReactionID,Flux,Name
rxn00001_c0,0.7390983,'diphosphate phosphohydrolase'
rxn00018_c0,1.792313378,"'3-phospho-D-glycerate carboxy-lyase (dimerizing; D-ribulose-1,5-bisphosphate-forming)'"
rxn00068_c0,-0.277161863,'Fe2+:NAD+ oxidoreductase'
rxn00069_c0,0.36954915,'L-glutamate:NAD+ oxidoreductase (transaminating)'
rxn00097_c0,0.7390983,'ATP:AMP phosphotransferase'
rxn00138_c0,0.184774575,'deamido-NAD+:ammonia ligase (AMP-forming)'
rxn00182_c0,-0.092387288,'L-glutamate:NAD+ oxidoreductase (deaminating)'
rxn00237_c0,0.184774575,'ATP:GDP phosphotransferase'
rxn00247_c0,0.36954915,'ATP:oxaloacetate carboxy-lyase (transphosphorylating;phosphoenolpyruvate-forming)'
rxn00249_c0,0.923872875,'(S)-malate:NADP+ oxidoreductase'
rxn00260_c0,-0.554323725,'L-Aspartate:2-oxoglutarate aminotransferase'
rxn00275_c0,-0.277161863,'Glycine:2-oxoglutarate aminotransferase'
rxn00285_c0,-0.554323725,'Succinate:CoA ligase (ADP-forming)'
rxn00424_c0,-0.277161863,'L-Serine:glyoxylate aminotransferase'
rxn00459_c0,-0.36954915,'2-phospho-D-glycerate hydro-lyase (phosphoenolpyruvate-forming)'
rxn00549_c0,0.720620843,"'D-Fructose-1,6-bisphosphate 1-phosphohydrolase'"
rxn00627_c0,0.055432373,'ATP:D-fructose 1-phosphotransferase'
rxn00634_c0,0.027716186,'D-Glucitol:NAD+ 2-oxidoreductase'
rxn00692_c0,-0.277161863,"'5,10-Methylenetetrahydrofolate:glycine hydroxymethyltransferase'"
rxn00743_c0,0.22172949,'Glycerone phosphate phosphohydrolase'
rxn00747_c0,1.792313378,'D-glyceraldehyde-3-phosphate aldose-ketose-isomerase'
rxn00762_c0,-0.22172949,'glycerol:NAD+ 2-oxidoreductase'
rxn00763_c0,0.22172949,'Glycerol:NAD+ oxidoreductase'
rxn00770_c0,0.36954915,'ATP:D-ribose-5-phosphate diphosphotransferase'
rxn00777_c0,0.351071693,'D-ribose-5-phosphate aldose-ketose-isomerase'
rxn00781_c0,-1.579822616,'D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating)'
rxn00782_c0,-2.374353289,'D-glyceraldehyde-3-phosphate:NADP+ oxidoreductase (phosphorylating)'
rxn00786_c0,-0.720620843,"'D-fructose-1,6-bisphosphate D-glyceraldehyde-3-phosphate-lyase (glycerone-phosphate-forming)'"
rxn00790_c0,-0.184774575,'5-phosphoribosylamine:diphosphate phospho-alpha-D-ribosyltransferase (glutamate-amidating)'
rxn00799_c0,-0.923872875,'(S)-malate hydro-lyase (fumarate-forming)'
rxn00800_c0,0.184774575,"'N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming)'"
rxn00832_c0,-0.184774575,"'IMP 1,2-hydrolase (decyclizing)'"
rxn00838_c0,0.184774575,'IMP:L-aspartate ligase (GDP-forming)'
rxn00856_c0,0.554323725,'putrescine:2-oxoglutarate aminotransferase'
rxn00907_c0,0.36954915,"'5,10-methylenetetrahydrofolate:NADP+ oxidoreductase'"
rxn00908_c0,0.092387288,'glycine synthase'
