ReactionID,Flux,Name
rxn00001_c0,0.10436657,'diphosphate phosphohydrolase'
rxn00006_c0,5.55E-05,'hydrogen-peroxide:hydrogen-peroxide oxidoreductase'
rxn00018_c0,1.074345894,"'3-phospho-D-glycerate carboxy-lyase (dimerizing; D-ribulose-1,5-bisphosphate-forming)'"
rxn00029_c0,0.000888759,'5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming)'
rxn00048_c0,0.00022219,"'6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase'"
rxn00060_c0,0.00022219,'porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)'
rxn00068_c0,-8.43E-06,'Fe2+:NAD+ oxidoreductase'
rxn00078_c0,0.000111095,'ATP:NADH 2''-phosphotransferase'
rxn00097_c0,0.069868658,'ATP:AMP phosphotransferase'
rxn00100_c0,0.00022219,'ATP:dephospho-CoA 3''-phosphotransferase'
rxn00102_c0,-0.060677082,'carbonate hydro-lyase (carbon-dioxide-forming)'
rxn00104_c0,-0.000111095,'polyphosphate kinase'
rxn00113_c0,0.016711894,"'Carbon-dioxide:ammonia ligase (ADP-forming,carbamate-phosphorylating)'"
rxn00117_c0,0.011220719,'ATP:UDP phosphotransferase'
rxn00119_c0,0.008890155,'ATP:UMP phosphotransferase'
rxn00122_c0,0.000111095,'ATP:FMN adenylyltransferase'
rxn00126_c0,0.00044438,'ATP:L-methionine S-adenosyltransferase'
rxn00132_c0,0.000361526,'Adenosine 5''-monophosphate phosphohydrolase'
rxn00137_c0,0.000111095,"'Adenosine 3'',5''-bisphosphate 3''-phosphohydrolase'"
rxn00138_c0,0.00022219,'deamido-NAD+:ammonia ligase (AMP-forming)'
rxn00157_c0,-0.071997667,'Acetyl-CoA:formate C-acetyltransferase'
rxn00161_c0,0.10259959,'(S)-Malate:NADP+ oxidoreductase(oxaloacetate-decarboxylating)'
rxn00165_c0,0.030689471,'L-serine ammonia-lyase'
rxn00172_c0,0.067021067,'Acetate:CoA ligase (ADP-forming)'
rxn00179_c0,0.013810524,'ATP:L-glutamate 5-phosphotransferase'
rxn00182_c0,-0.32832161,'L-glutamate:NAD+ oxidoreductase (deaminating)'
rxn00187_c0,0.037817491,'L-Glutamate:ammonia ligase (ADP-forming)'
rxn00191_c0,-0.015113614,'L-Alanine:2-oxoglutarate aminotransferase'
rxn00193_c0,0.000388427,'glutamate racemase'
rxn00213_c0,0.001553709,'UTP:alpha-D-glucose-1-phosphate uridylyltransferase'
rxn00237_c0,0.014942107,'ATP:GDP phosphotransferase'
rxn00239_c0,0.006391275,'ATP:GMP phosphotransferase'
rxn00247_c0,-0.254008432,'ATP:oxaloacetate carboxy-lyase (transphosphorylating;phosphoenolpyruvate-forming)'
rxn00256_c0,-0.03048452,'acetyl-CoA:oxaloacetate C-acetyltransferase (thioester-hydrolysing)'
rxn00260_c0,-0.223523913,'L-Aspartate:2-oxoglutarate aminotransferase'
rxn00272_c0,0.000333285,'L-Alanine:glyoxylate aminotransferase'
rxn00283_c0,0.000776855,'alanine racemase'
rxn00293_c0,0.001553709,'UTP:N-acetyl-alpha-D-glucosamine-1-phosphate uridylyltransferase'
rxn00299_c0,0.000333285,"'GTP 7,8-8,9-dihydrolase'"
rxn00300_c0,0.00022219,"'GTP 7,8-8,9-dihydrolase (diphosphate-forming)'"
rxn00313_c0,0.009169513,"'meso-2,6-diaminoheptanedioate carboxy-lyase (L-lysine-forming)'"
rxn00337_c0,0.0990117,'ATP:L-aspartate 4-phosphotransferase'
rxn00340_c0,0.006441161,'L-aspartate:ammonia ligase (AMP-forming)'
rxn00347_c0,0.073128018,'L-Aspartate ammonia-lyase'
rxn00351_c0,0.000111095,'gamma-L-glutamyl-L-cysteine:glycine ligase (ADP-forming)'
rxn00364_c0,0.009174668,'ATP:CMP phosphotransferase'
rxn00379_c0,0.006886955,'ATP:sulfate adenylyltransferase'
rxn00392_c0,0.000111095,'ATP:riboflavin 5''-phosphotransferase'
rxn00409_c0,0.008457261,'ATP:CDP phosphotransferase'
rxn00410_c0,0.004273125,'UTP:ammonia ligase (ADP-forming)'
rxn00438_c0,0.000111095,'ATP:thiamin-phosphate phosphotransferase'
rxn00459_c0,0.276794696,'2-phospho-D-glycerate hydro-lyase (phosphoenolpyruvate-forming)'
rxn00461_c0,0.000388427,'Phosphoenolpyruvate:UDP-N-acetyl-D-glucosamine 1-carboxyvinyl-transferase'
rxn00467_c0,-0.013810524,'L-Ornithine:2-oxo-acid aminotransferase'
rxn00471_c0,0.005906741,'L-ornithine ammonia-lyase (cyclizing; L-proline-forming)'
rxn00493_c0,-0.004950412,'L-Phenylalanine:2-oxoglutarate aminotransferase'
rxn00507_c0,0.066244212,'Acetaldehyde:NADP+ oxidoreductase'
rxn00526_c0,0.003684682,'L-arogenate:NADP+ oxidoreductase'
rxn00532_c0,-0.00022219,'3-oxopropanoate:NADP+ oxidoreductase (CoA-malonylating)'
rxn00533_c0,0.060677082,'Acetyl-CoA:carbon-dioxide ligase (ADP-forming)'
rxn00541_c0,0.068240147,'L-threonine acetaldehyde-lyase (glycine-forming)'
rxn00555_c0,0.001553709,'L-glutamine:D-fructose-6-phosphate isomerase (deaminating)'
rxn00611_c0,-0.005271743,'sn-Glycerol-3-phosphate:NAD+ 2-oxidoreductase'
rxn00615_c0,0.000878624,'ATP:glycerol 3-phosphotransferase'
rxn00623_c0,-0.006886955,'hydrogen-sulfide:NADP+ oxidoreductase'
rxn00646_c0,0.000111095,'L-glutamate:L-cysteine gamma-ligase (ADP-forming)'
rxn00657_c0,-0.00022219,'beta-alanine:2-oxoglutarate aminotransferase'
rxn00690_c0,0.073108616,'Formate:tetrahydrofolate ligase (ADP-forming)'
rxn00692_c0,0.038853076,"'5,10-Methylenetetrahydrofolate:glycine hydroxymethyltransferase'"
rxn00693_c0,0.004439876,'5-Methyltetrahydrofolate:L-homocysteine S-methyltransferase'
rxn00708_c0,0.000694811,'Uridine 5''-monophosphate phosphohydrolase'
rxn00710_c0,0.008808111,'orotidine-5''-phosphate carboxy-lyase (UMP-forming)'
rxn00726_c0,0.001518876,'chorismate pyruvate-lyase (amino-accepting; anthranilate-forming)'
rxn00737_c0,0.010106143,'L-threonine ammonia-lyase (2-oxobutanoate-forming)'
rxn00747_c0,0.748017497,'D-glyceraldehyde-3-phosphate aldose-ketose-isomerase'
rxn00763_c0,-0.16283887,'Glycerol:NAD+ oxidoreductase'
rxn00765_c0,0.16283887,'Glycerol:NADP+ oxidoreductase'
rxn00770_c0,0.025489134,'ATP:D-ribose-5-phosphate diphosphotransferase'
rxn00777_c0,0.337294046,'D-ribose-5-phosphate aldose-ketose-isomerase'
rxn00781_c0,-1.869005635,'D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating)'
rxn00784_c0,-0.002107029,'2-deoxy-D-ribose-5-phosphate acetaldehyde-lyase (D-glyceraldehyde-3-phosphate-forming)'
rxn00789_c0,-0.002531461,'1-(5-phospho-D-ribosyl)-ATP:diphosphate phospho-alpha-D-ribosyl-transferase'
rxn00790_c0,-0.013128053,'5-phosphoribosylamine:diphosphate phospho-alpha-D-ribosyltransferase (glutamate-amidating)'
rxn00791_c0,-0.001518876,'N-(5-Phospho-D-ribosyl)anthranilate:pyrophosphate phosphoribosyl-transferase'
rxn00799_c0,-0.10259959,'(S)-malate hydro-lyase (fumarate-forming)'
rxn00800_c0,0.008550832,"'N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming)'"
rxn00802_c0,0.007903783,'2-(Nomega-L-arginino)succinate arginine-lyase (fumarate-forming)'
rxn00806_c0,-0.012038502,'L-Leucine:2-oxoglutarate aminotransferase'
rxn00830_c0,0.000388427,'Isopentenyl-diphosphate delta3-delta2-isomerase'
rxn00832_c0,-0.015548419,"'IMP 1,2-hydrolase (decyclizing)'"
rxn00838_c0,0.008550832,'IMP:L-aspartate ligase (GDP-forming)'
rxn00840_c0,-0.000694811,'dATP:pyruvate 2-O-phosphotransferase'
rxn00863_c0,0.002531461,'L-histidinal:NAD+ oxidoreductase'
rxn00902_c0,-0.014381498,"'acetyl-CoA:3-methyl-2-oxobutanoate C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming)'"
rxn00903_c0,-0.011307191,'L-Valine:2-oxoglutarate aminotransferase'
rxn00907_c0,-0.044321049,"'5,10-methylenetetrahydrofolate:NADP+ oxidoreductase'"
rxn00912_c0,0.00022219,"'5,10-Methylenetetrahydrofolate:3-methyl-2-oxobutanoate hydroxymethyltransferase'"
rxn00913_c0,0.000717407,'Guanosine 5''-monophosphate phosphohydrolase'
rxn00916_c0,0.006997587,'Xanthosine-5''-phosphate:ammonia ligase (AMP-forming)'
rxn00979_c0,0.000333285,'glycolaldehyde:NAD+ oxidoreductase'
rxn01000_c0,0.004950412,'prephenate hydro-lyase (decarboxylating; phenylpyruvate-forming)'
rxn01018_c0,0.008808111,'carbamoyl-phosphate:L-aspartate carbamoyltransferase'
rxn01019_c0,0.007903783,'Carbamoyl-phosphate:L-ornithine carbamoyltransferase'
rxn01069_c0,0.085124978,'O-phospho-L-homoserine phosphate-lyase (adding water;L-threonine-forming)'
rxn01100_c0,1.869005635,'ATP:3-phospho-D-glycerate 1-phosphotransferase'
rxn01101_c0,0.002891458,'3-Phospho-D-glycerate:NAD+ 2-oxidoreductase'
rxn01106_c0,-0.276794696,"'2-Phospho-D-glycerate 2,3-phosphomutase'"
rxn01111_c0,1.074345894,'ATP:D-ribulose-5-phosphate 1-phosphotransferase'
rxn01116_c0,-0.737607323,'D-Ribulose-5-phosphate 3-epimerase'
rxn01127_c0,0.000694811,'ATP:dAMP phosphotransferase'
rxn01138_c0,0.000830652,'Adenosine:phosphate alpha-D-ribosyltransferase'
rxn01169_c0,1.11E-05,'ATP:beta-D-glucose 6-phosphotransferase'
rxn01171_c0,1.11E-05,'D-glucose 1-epimerase'
rxn01200_c0,0.36278318,'Sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glycolaldehyde transferase'
rxn01211_c0,-0.044321049,"'5,10-Methenyltetrahydrofolate 5-hydrolase (decyclizing)'"
rxn01213_c0,0.000388427,'GPPSYN-RXN'
rxn01226_c0,0.001165282,'Guanosine ribohydrolase'
rxn01241_c0,-0.031331028,'Dihydrolipoamide:NAD+ oxidoreductase'
rxn01255_c0,0.010487254,'5-O-(1-Carboxyvinyl)-3-phosphoshikimate phosphate-lyase (chorismate-forming)'
rxn01256_c0,0.008635093,'Chorismate pyruvatemutase'
rxn01257_c0,0.000333285,'chorismate:L-glutamine aminotransferase'
rxn01265_c0,-0.000111095,'Nicotinate D-ribonucleotide:diphosphate phosphoribosyltransferase'
rxn01300_c0,0.085124978,'ATP:L-homoserine O-phosphotransferase'
rxn01301_c0,-0.085124978,'L-Homoserine:NAD+ oxidoreductase'
rxn01332_c0,0.010487254,"'Phosphoenolpyruvate:D-erythrose-4-phosphate C-(1-carboxyvinyl)transferase (phosphate hydrolysing, 2-carboxy-2-oxoethyl-forming)'"
rxn01333_c0,0.003473627,'sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase'
rxn01334_c0,-0.367810516,"'Sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase'"
rxn01345_c0,0.367810516,"'Sedoheptulose 1,7-bisphosphate 1-phosphohydrolase'"
rxn01354_c0,-0.000717407,'dGTP:pyruvate 2-O-phosphotransferase'
rxn01362_c0,-0.008808111,'Orotidine-5''-phosphate:diphosphate phospho-alpha-D-ribosyl-transferase'
rxn01434_c0,0.007903783,'L-Citrulline:L-aspartate ligase (AMP-forming)'
rxn01446_c0,-0.000717407,'Deoxyguanosine:orthophosphate ribosyltransferase'
rxn01465_c0,-0.008808111,'(S)-dihydroorotate amidohydrolase'
rxn01466_c0,0.000388427,'Geranyl-diphosphate:isopentenyl-diphosphate geranyltrans-transferase'
rxn01483_c0,0.001553709,'acetyl-CoA:D-glucosamine-6-phosphate N-acetyltransferase'
rxn01505_c0,0.001553709,"'N-Acetyl-D-glucosamine 1-phosphate 1,6-phosphomutase'"
rxn01509_c0,0.000717407,'ATP:dGMP phosphotransferase'
rxn01512_c0,0.001083239,'ATP:dTDP phosphotransferase'
rxn01513_c0,0.000694811,'ATP:dTMP phosphotransferase'
rxn01575_c0,-0.007763146,'L-Isoleucine:2-oxoglutarate aminotransferase'
rxn01601_c0,0.000333285,'dihydrofolate:NAD+ oxidoreductase'
rxn01603_c0,0.000333285,"'7,8-dihydropteroate:L-glutamate ligase (ADP-forming)'"
rxn01629_c0,-0.001777519,"'(S)-4-Amino-5-oxopentanoate 4,5-aminomutase'"
rxn01643_c0,-0.0990117,'L-Aspartate-4-semialdehyde:NADP+ oxidoreductase (phosphorylating)'
rxn01644_c0,0.00955794,'L-Aspartate-4-semialdehyde hydro-lyase (adding pyruvate and cyclizing)'
rxn01673_c0,0.000717407,'ATP:dCDP phosphotransferase'
rxn01675_c0,0.000388427,'dTTP:alpha-D-glucose-1-phosphate thymidylyltransferase'
rxn01739_c0,0.010487254,'ATP:shikimate 3-phosphotransferase'
rxn01740_c0,-0.010487254,'Shikimate:NADP+ 3-oxidoreductase'
rxn01790_c0,-0.00022219,'(R)-Pantoate:NADP+ 2-oxidoreductase'
rxn01791_c0,0.00022219,'(R)-Pantoate:beta-alanine ligase (AMP-forming)'
rxn01799_c0,-0.000694811,'deoxyuridine:orthophosphate 2-deoxy-D-ribosyltransferase'
rxn01859_c0,-0.000694811,'Deoxyadenosine:orthophosphate ribosyltransferase'
rxn01871_c0,0.036017021,'acetyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-acetyltransferase'
rxn01964_c0,0.001518876,'L-serine hydro-lyase [adding 1-C-(indol-3-yl)glycerol 3-phosphate; L-tryptophan and glyceraldehyde-3-phosphate-forming]'
rxn01986_c0,-0.002107029,"'2-deoxy-D-ribose 1-phosphate 1,5-phosphomutase'"
rxn01997_c0,0.000388427,"'dTDPglucose 4,6-hydro-lyase'"
rxn02000_c0,0.000388427,"'dTDP-4-dehydro-6-deoxy-D-glucose 3,5-epimerase'"
rxn02003_c0,-0.000388427,'dTDP-6-deoxy-L-mannose:NADP+ 4-oxidoreductase'
rxn02008_c0,0.000388427,'UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase(ADP-forming)'
rxn02011_c0,0.000388427,"'UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:(L)-meso-2,6-diaminoheptanedioate gamma-ligase (ADP-forming)'"
rxn02155_c0,0.00022219,'ATP:nicotinamide-nucleotide adenylyltransferase'
rxn02159_c0,0.002531461,'L-Histidinol:NAD+ oxidoreductase'
rxn02160_c0,0.002531461,'L-Histidinol-phosphate phosphohydrolase'
rxn02175_c0,0.00022219,'ATP:pantetheine-4''-phosphate adenylyltransferase'
rxn02200_c0,0.000333285,"'2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine:4-aminobenzoate 2-amino-4-hydroxydihydropteridine-6-methenyltransferase'"
rxn02212_c0,0.010487254,'2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate phosphate-lyase (cyclyzing)'
rxn02213_c0,0.010487254,'3-Dehydroquinate hydro-lyase'
rxn02264_c0,0.00022219,'Hydroxymethylbilane hydro-lyase(cyclizing)'
rxn02284_c0,-0.000388427,'UDP-N-acetylmuramate:NADP+ oxidoreductase'
rxn02286_c0,0.000388427,'UDP-N-acetylmuramate:L-alanine ligase (ADP-forming)'
rxn02288_c0,0.000111095,'Uroporphyrinogen-III carboxy-lyase'
rxn02303_c0,0.000111095,'Coproporphyrinogen:oxygen oxidoreductase(decarboxylating)'
rxn02320_c0,-0.002531461,'5-Amino-2-oxopentanoate:2-oxoglutarate aminotransferase'
rxn02341_c0,0.00022219,'N-[(R)-4''-Phosphopantothenoyl]-L-cysteine carboxy-lyase'
rxn02342_c0,-0.036017021,'R03270'
rxn02373_c0,-0.013810524,'L-glutamate-5-semialdehyde:NADP+ 5-oxidoreductase (phosphorylating)'
rxn02380_c0,-0.001931027,'beta-D-Glucose 6-phosphate ketol-isomerase'
rxn02402_c0,-0.00022219,'Nicotinate-nucleotide:pyrophosphate phosphoribosyltransferase (carboxylating)'
rxn02473_c0,0.002531461,'D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate hydro-lyase'
