ReactionID,Flux,Name
rxn00001_c0,78.74015748,'diphosphate phosphohydrolase'
rxn00068_c0,-205.7086614,'Fe2+:NAD+ oxidoreductase'
rxn00097_c0,119.8818898,'ATP:AMP phosphotransferase'
rxn00146_c0,847.8346457,'(R)-Lactate:ferricytochrome-c 2-oxidoreductase'
rxn00157_c0,-186.9094488,'Acetyl-CoA:formate C-acetyltransferase'
rxn00184_c0,670.8661417,'L-Glutamate:NADP+ oxidoreductase (deaminating)'
rxn00247_c0,-82.28346457,'ATP:oxaloacetate carboxy-lyase (transphosphorylating;phosphoenolpyruvate-forming)'
rxn00260_c0,-82.28346457,'L-Aspartate:2-oxoglutarate aminotransferase'
rxn00285_c0,-411.4173228,'Succinate:CoA ligase (ADP-forming)'
rxn00313_c0,82.28346457,"'meso-2,6-diaminoheptanedioate carboxy-lyase (L-lysine-forming)'"
rxn00337_c0,82.28346457,'ATP:L-aspartate 4-phosphotransferase'
rxn00379_c0,119.8818898,'ATP:sulfate adenylyltransferase'
rxn00459_c0,82.28346457,'2-phospho-D-glycerate hydro-lyase (phosphoenolpyruvate-forming)'
rxn00491_c0,69.68503937,'L-phenylalanine:pyruvate aminotransferase'
rxn00493_c0,-69.68503937,'L-Phenylalanine:2-oxoglutarate aminotransferase'
rxn00499_c0,338.8779528,'(S)-Lactate:NAD+ oxidoreductase'
rxn00500_c0,-847.8346457,'(R)-Lactate:NAD+ oxidoreductase'
rxn00536_c0,-186.9094488,'Ethanol:NADP+ oxidoreductase'
rxn00544_c0,-186.9094488,'R00755'
rxn00551_c0,20.57086614,'diphosphate:D-fructose-6-phosphate 1-phosphotransferase'
rxn00571_c0,-100,'nitrite:NAD+ oxidoreductase'
rxn00623_c0,-119.8818898,'hydrogen-sulfide:NADP+ oxidoreductase'
rxn00747_c0,-41.14173228,'D-glyceraldehyde-3-phosphate aldose-ketose-isomerase'
rxn00781_c0,82.28346457,'D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating)'
rxn00786_c0,20.57086614,"'D-fructose-1,6-bisphosphate D-glyceraldehyde-3-phosphate-lyase (glycerone-phosphate-forming)'"
rxn00799_c0,-338.8779528,'(S)-malate hydro-lyase (fumarate-forming)'
rxn00856_c0,411.4173228,'putrescine:2-oxoglutarate aminotransferase'
rxn00997_c0,168.996063,'Phenyllactate:NAD+ oxidoreductase'
rxn00998_c0,-168.996063,'Phenyllactate:NADP+ oxidoreductase'
rxn01100_c0,-82.28346457,'ATP:3-phospho-D-glycerate 1-phosphotransferase'
rxn01106_c0,-82.28346457,"'2-Phospho-D-glycerate 2,3-phosphomutase'"
rxn01169_c0,20.57086614,'ATP:beta-D-glucose 6-phosphotransferase'
rxn01171_c0,20.57086614,'D-glucose 1-epimerase'
rxn01204_c0,411.4173228,'4-aminobutanoate:2-oxoglutarate aminotransferase'
rxn01241_c0,-186.9094488,'Dihydrolipoamide:NAD+ oxidoreductase'
rxn01643_c0,-82.28346457,'L-Aspartate-4-semialdehyde:NADP+ oxidoreductase (phosphorylating)'
rxn01644_c0,82.28346457,'L-Aspartate-4-semialdehyde hydro-lyase (adding pyruvate and cyclizing)'
rxn01851_c0,411.4173228,'4-aminobutanal:NAD+ 1-oxidoreductase'
rxn01871_c0,186.9094488,'acetyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-acetyltransferase'
rxn02342_c0,-186.9094488,'R03270'
rxn02380_c0,20.57086614,'beta-D-Glucose 6-phosphate ketol-isomerase'
rxn02929_c0,-82.28346457,"'2,3,4,5-Tetrahydrodipicolinate:NADP+ oxidoreductase'"
rxn05256_c0,119.8818898,"'AMP,sulfite:thioredoxin-disulfide oxidoreductase(adenosine-5''-phosphosulfate-forming)'"
rxn05289_c0,119.8818898,'NADPH:oxidized-thioredoxin oxidoreductase'
rxn05466_c0,-1000,'TRANS-RXN-173.ce'
rxn05514_c0,411.4173228,'calcium transport in/out via proton antiporter'
rxn05595_c0,-411.4173228,'TRANS-RXN-3.ce'
rxn05625_c0,-100,"'nitrite transport in via proton symport, reversible'"
rxn05627_c0,100,'nitrate transport in via proton symport'
rxn05651_c0,-291.5354331,'sulfate transport in via proton symport'
rxn05654_c0,-72.53937008,"'Transport of succinate, extracellular'"
rxn08233_c0,-205.7086614,'Chloride/proton antiport'
rxn08240_c0,411.4173228,'cobalt (Co+2) transport out via proton antiport (periplasm)'
rxn08275_c0,411.4173228,'copper transport out via proton antiport'
rxn08428_c0,186.9094488,'ethanol transport via diffusion (extracellular to periplasm)'
rxn08854_c0,-82.28346457,'Lysine transporter'
rxn08921_c0,-411.4173228,'magnesium (Mg+2) transport in/out via proton antiport (periplasm)'
rxn09272_c0,338.8779528,"'fumarate reductase complex (i.e. FRD, involved in anaerobic respiration, repressed in aerobic respiration)'"
rxn09389_c0,411.4173228,'TRANS-RXN0-200.cp'
rxn10043_c0,847.8346457,'cytochrome-c oxidase (H+/e- = 2)'
rxn11132_c0,338.8779528,'malolactic enzyme'
rxn13766_c0,-212.7952756,'ATP synthase (three protons for one ATP)'
rxn15081_c0,20.57086614,'ATP:D-fructose 6-phosphotransferase'
rxn15116_c0,20.57086614,"'beta-D-fructose-1,6-bisphosphate D-glyceraldehyde-3-phosphate-lyase (glycerone-phosphate-forming)'"
rxn15298_c0,20.57086614,'diphosphate:beta-D-fructose-6-phosphate 1-phosphotransferase'
rxn16140_c0,-411.4173228,'succinate-semialdehyde:NADP+ oxidoreductase (CoA-acylating)'
rxn90072_c0,-186.9094488,'formate dehydrogenase (hydrogenase)'
rxn05319_c0,-253.0511811,'TRANS-RXNBWI-115401.ce.maizeexp.OH_OH'
rxn05467_c0,-525.7874016,'CO2 transporter via diffusion'
rxn05468_c0,12.5,'TRANS-RXNAVI-26568.ce'
rxn08689_c0,531.2992126,'h2s transport (periplasm)'
rxn08691_c0,186.9094488,'hydrogen transport via diffusion (extracellular to periplasm)'
EX_cpd00009_e0,411.4173228,'Phosphate-e0 Exchange'
EX_cpd00034_e0,411.4173228,'Zn2+-e0 Exchange'
EX_cpd00039_e0,82.28346457,'L-Lysine-e0 Exchange'
EX_cpd00048_e0,291.5354331,'Sulfate-e0 Exchange'
EX_cpd00149_e0,411.4173228,'Co2+-e0 Exchange'
EX_cpd00209_e0,-100,'Nitrate-e0 Exchange'
EX_cpd00067_e0,1000,'H+-e0 Exchange'
EX_cpd00971_e0,411.4173228,'Na+-e0 Exchange'
EX_cpd00013_e0,1000,'NH3-e0 Exchange'
EX_cpd00063_e0,411.4173228,'Ca2+-e0 Exchange'
