rxn00248_c0,EX_cpd00067_e0
rxn00347_c0,EX_cpd00013_e0
rxn00146_c0,EX_cpd10515_e0
rxn10043_c0,EX_cpd11640_e0
rxn07441_c0,EX_cpd00009_e0
rxn10484_c0,EX_cpd00034_e0
rxn08691_c0,EX_cpd00149_e0
rxn00509_c0,EX_cpd00063_e0
rxn00856_c0,EX_cpd00058_e0
rxn01851_c0,EX_cpd00205_e0
rxn05514_c0,EX_cpd00971_e0
rxn08240_c0,EX_cpd00048_e0
rxn08275_c0,EX_cpd00099_e0
rxn09389_c0,EX_cpd00254_e0
rxn01204_c0,EX_cpd00036_e0
rxn00693_c0,EX_cpd00324_e0
rxn14359_c0,EX_cpd00011_e0
rxn90057_c0,EX_cpd00239_e0
rxn08173_c0,EX_cpd00064_e0
rxn00491_c0,EX_cpd00007_e0
rxn00908_c0,EX_cpd00001_e0
rxn01286_c0,
rxn01011_c0,
rxn05319_c0,
rxn00743_c0,
rxn00765_c0,
rxn08689_c0,
rxn00247_c0,
rxn00747_c0,
rxn01100_c0,
rxn01106_c0,
rxn09272_c0,
rxn00627_c0,
rxn01870_c0,
rxn00690_c0,
rxn00179_c0,
rxn00285_c0,
rxn31312_c0,
rxn00223_c0,
rxn05468_c0,
rxn00467_c0,
rxn02373_c0,
rxn05628_c0,
rxn00907_c0,
rxn01211_c0,
rxn90070_c0,
rxn00459_c0,
rxn00781_c0,
rxn08972_c0,
rxn00762_c0,
rxn05467_c0,
rxn00493_c0,
rxn00692_c0,
rxn00422_c0,
rxn05887_c0,
rxn00068_c0,
rxn05651_c0,
rxn08233_c0,
rxn12811_c0,
rxn14246_c0,
rxn10470_c0,
rxn90071_c0,
rxn05654_c0,
rxn05595_c0,
rxn08921_c0,
rxn05312_c0,
rxn01974_c0,
rxn08473_c0,
rxn00500_c0,
rxn00260_c0,
rxn00799_c0,
rxn05466_c0,
