ReactionID,Flux,name
rxn00001_c0,0.102884749,'diphosphate phosphohydrolase'
rxn00006_c0,5.38E-05,'hydrogen-peroxide:hydrogen-peroxide oxidoreductase'
rxn00029_c0,0.000860898,'5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming)'
rxn00048_c0,0.000215224,"'6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase'"
rxn00060_c0,0.000215224,'porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)'
rxn00069_c0,0.042763574,'L-glutamate:NAD+ oxidoreductase (transaminating)'
rxn00078_c0,0.000107612,'ATP:NADH 2''-phosphotransferase'
rxn00097_c0,0.944752267,'ATP:AMP phosphotransferase'
rxn00100_c0,0.000215224,'ATP:dephospho-CoA 3''-phosphotransferase'
rxn00102_c0,-0.414131961,'carbonate hydro-lyase (carbon-dioxide-forming)'
rxn00104_c0,-0.000107612,'polyphosphate kinase'
rxn00113_c0,0.016187992,"'Carbon-dioxide:ammonia ligase (ADP-forming,carbamate-phosphorylating)'"
rxn00117_c0,0.01086896,'ATP:UDP phosphotransferase'
rxn00119_c0,0.009284486,'ATP:UMP phosphotransferase'
rxn00122_c0,0.000107612,'ATP:FMN adenylyltransferase'
rxn00126_c0,0.000322837,'ATP:L-methionine S-adenosyltransferase'
rxn00134_c0,0.000215224,'ATP:adenosine 5''-phosphotransferase'
rxn00138_c0,0.000215224,'deamido-NAD+:ammonia ligase (AMP-forming)'
rxn00147_c0,0.874610924,"'ATP:pyruvate,water phosphotransferase'"
rxn00178_c0,0.004527049,'Acetyl-CoA:acetyl-CoA C-acetyltransferase'
rxn00179_c0,0.013393907,'ATP:L-glutamate 5-phosphotransferase'
rxn00182_c0,-1.886856666,'L-glutamate:NAD+ oxidoreductase (deaminating)'
rxn00191_c0,-0.053061627,'L-Alanine:2-oxoglutarate aminotransferase'
rxn00193_c0,0.021882745,'glutamate racemase'
rxn00213_c0,0.001505002,'UTP:alpha-D-glucose-1-phosphate uridylyltransferase'
rxn00237_c0,0.014473686,'ATP:GDP phosphotransferase'
rxn00239_c0,0.006885832,'ATP:GMP phosphotransferase'
rxn00247_c0,-0.775562173,'ATP:oxaloacetate carboxy-lyase (transphosphorylating;phosphoenolpyruvate-forming)'
rxn00249_c0,1.242861482,'(S)-malate:NADP+ oxidoreductase'
rxn00259_c0,0.343733325,'(3S)-citryl-CoA oxaloacetate-lyase (acetyl-CoA-forming)'
rxn00260_c0,-1.670741744,'L-Aspartate:2-oxoglutarate aminotransferase'
rxn00272_c0,0.039497148,'L-Alanine:glyoxylate aminotransferase'
rxn00285_c0,-0.268435306,'Succinate:CoA ligase (ADP-forming)'
rxn00293_c0,0.001505002,'UTP:N-acetyl-alpha-D-glucosamine-1-phosphate uridylyltransferase'
rxn00299_c0,0.000322837,"'GTP 7,8-8,9-dihydrolase'"
rxn00300_c0,0.000215224,"'GTP 7,8-8,9-dihydrolase (diphosphate-forming)'"
rxn00324_c0,0.000322837,'glycolate:NADP+ oxidoreductase'
rxn00336_c0,0.039174311,'isocitrate glyoxylate-lyase (succinate-forming)'
rxn00337_c0,0.715909243,'ATP:L-aspartate 4-phosphotransferase'
rxn00347_c0,0.90148998,'L-Aspartate ammonia-lyase'
rxn00351_c0,0.000107612,'gamma-L-glutamyl-L-cysteine:glycine ligase (ADP-forming)'
rxn00361_c0,0.006687385,'ATP:adenylylsulfate 3''-phosphotransferase'
rxn00364_c0,0.008887051,'ATP:CMP phosphotransferase'
rxn00379_c0,0.006687385,'ATP:sulfate adenylyltransferase'
rxn00392_c0,0.000107612,'ATP:riboflavin 5''-phosphotransferase'
rxn00409_c0,0.008192134,'ATP:CDP phosphotransferase'
rxn00410_c0,0.004139166,'UTP:ammonia ligase (ADP-forming)'
rxn00438_c0,0.000107612,'ATP:thiamin-phosphate phosphotransferase'
rxn00459_c0,-0.07722677,'2-phospho-D-glycerate hydro-lyase (phosphoenolpyruvate-forming)'
rxn00461_c0,0.000376251,'Phosphoenolpyruvate:UDP-N-acetyl-D-glucosamine 1-carboxyvinyl-transferase'
rxn00467_c0,-0.013393907,'L-Ornithine:2-oxo-acid aminotransferase'
rxn00471_c0,0.005721571,'L-ornithine ammonia-lyase (cyclizing; L-proline-forming)'
rxn00493_c0,-0.004795221,'L-Phenylalanine:2-oxoglutarate aminotransferase'
rxn00511_c0,0.008882057,"'N6-(L-1,3-Dicarboxypropyl)-L-lysine:NADP+ oxidoreductase (L-lysine-forming)'"
rxn00526_c0,0.00356917,'L-arogenate:NADP+ oxidoreductase'
rxn00532_c0,-0.000215224,'3-oxopropanoate:NADP+ oxidoreductase (CoA-malonylating)'
rxn00533_c0,0.031224325,'Acetyl-CoA:carbon-dioxide ligase (ADP-forming)'
rxn00555_c0,0.001505002,'L-glutamine:D-fructose-6-phosphate isomerase (deaminating)'
rxn00602_c0,0.694984406,'(R)-Methylmalonyl-CoA CoA-carbonylmutase'
