ReactionID,Flux,Name
rxn00001_c0,0.111531643,diphosphate phosphohydrolase'
rxn00006_c0,0.000146671,hydrogen-peroxide:hydrogen-peroxide oxidoreductase'
rxn00018_c0,0.992156747,"3-phospho-D-glycerate carboxy-lyase (dimerizing; D-ribulose-1,5-bisphosphate-forming)'"
rxn00029_c0,0.000782245,'5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming)'
rxn00048_c0,0.000195561,"'6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase'"
rxn00060_c0,0.000195561,'porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)'
rxn00069_c0,0.038223488,'L-glutamate:NAD+ oxidoreductase (transaminating)'
rxn00078_c0,9.78E-05,'ATP:NADH 2''-phosphotransferase'
rxn00097_c0,0.073842531,'ATP:AMP phosphotransferase'
rxn00100_c0,0.000195561,'ATP:dephospho-CoA 3''-phosphotransferase'
rxn00102_c0,-0.033016759,'carbonate hydro-lyase (carbon-dioxide-forming)'
rxn00104_c0,-9.78E-05,'polyphosphate kinase'
rxn00114_c0,0.017133979,'ATP:carbamate phosphotransferase'
rxn00117_c0,0.011504116,'ATP:UDP phosphotransferase'
rxn00119_c0,0.00911469,'ATP:UMP phosphotransferase'
rxn00122_c0,9.78E-05,'ATP:FMN adenylyltransferase'
rxn00126_c0,0.000488903,'ATP:L-methionine S-adenosyltransferase'
rxn00127_c0,9.78E-05,'S-adenosyl-L-methionine carboxy-lyase [(5-deoxy-5-adenosyl)(3-aminopropyl)methylsulfonium-forming]'
rxn00134_c0,0.000391123,'ATP:adenosine 5''-phosphotransferase'
rxn00137_c0,9.78E-05,"'Adenosine 3'',5''-bisphosphate 3''-phosphohydrolase'"
rxn00138_c0,0.000195561,'deamido-NAD+:ammonia ligase (AMP-forming)'
rxn00143_c0,0.000293342,'S-Adenosyl-L-homocysteine homocysteinylribohydrolase'
rxn00171_c0,-0.00071236,'acetaldehyde:NAD+ oxidoreductase (CoA-acetylating)'
rxn00178_c0,0.004791599,'Acetyl-CoA:acetyl-CoA C-acetyltransferase'
rxn00179_c0,0.014159331,'ATP:L-glutamate 5-phosphotransferase'
rxn00191_c0,-0.059666122,'L-Alanine:2-oxoglutarate aminotransferase'
rxn00193_c0,0.001194713,'glutamate racemase'
rxn00213_c0,0.001592951,'UTP:alpha-D-glucose-1-phosphate uridylyltransferase'
rxn00237_c0,0.015126052,'ATP:GDP phosphotransferase'
rxn00239_c0,0.007191502,'ATP:GMP phosphotransferase'
rxn00247_c0,-0.224693114,'ATP:oxaloacetate carboxy-lyase (transphosphorylating;phosphoenolpyruvate-forming)'
rxn00248_c0,-0.666895866,'(S)-malate:NAD+ oxidoreductase'
rxn00249_c0,0.605260151,'(S)-malate:NADP+ oxidoreductase'
rxn00259_c0,0.036083483,'(3S)-citryl-CoA oxaloacetate-lyase (acetyl-CoA-forming)'
rxn00260_c0,0.196750798,'L-Aspartate:2-oxoglutarate aminotransferase'
rxn00272_c0,0.041515104,'L-Alanine:glyoxylate aminotransferase'
rxn00293_c0,0.001592951,'UTP:N-acetyl-alpha-D-glucosamine-1-phosphate uridylyltransferase'
rxn00299_c0,0.000293342,"'GTP 7,8-8,9-dihydrolase'"
rxn00300_c0,0.000195561,"'GTP 7,8-8,9-dihydrolase (diphosphate-forming)'"
rxn00317_c0,-0.009401103,'L-Lysine:2-oxoglutarate 6-aminotransferase'
rxn00324_c0,0.000293342,'glycolate:NADP+ oxidoreductase'
rxn00331_c0,0.077305245,'(3S)-3-carboxy-3-hydroxypropanoyl-CoA glyoxylate-lyase (acetyl-CoA-forming)'
rxn00337_c0,0.084440287,'ATP:L-aspartate 4-phosphotransferase'
rxn00340_c0,0.006603843,'L-aspartate:ammonia ligase (AMP-forming)'
rxn00351_c0,9.78E-05,'gamma-L-glutamyl-L-cysteine:glycine ligase (ADP-forming)'
rxn00364_c0,0.010938639,'ATP:CMP phosphotransferase'
rxn00379_c0,0.00709536,'ATP:sulfate adenylyltransferase'
rxn00392_c0,9.78E-05,'ATP:riboflavin 5''-phosphotransferase'
rxn00409_c0,0.010203113,'ATP:CDP phosphotransferase'
rxn00410_c0,0.004381049,'UTP:ammonia ligase (ADP-forming)'
rxn00438_c0,9.78E-05,'ATP:thiamin-phosphate phosphotransferase'
rxn00459_c0,0.24808472,'2-phospho-D-glycerate hydro-lyase (phosphoenolpyruvate-forming)'
rxn00461_c0,0.000398238,'Phosphoenolpyruvate:UDP-N-acetyl-D-glucosamine 1-carboxyvinyl-transferase'
rxn00467_c0,-0.008103405,'L-Ornithine:2-oxo-acid aminotransferase'
rxn00474_c0,0.001557238,'L-serine hydro-lyase (adding indole; L-tryptophan-forming)'
rxn00508_c0,1.50E-05,'Succinate-semialdehyde:NAD+ oxidoreductase'
rxn00515_c0,0.045332826,'ATP:IDP phosphotransferase'
rxn00520_c0,0.045332826,'Succinate:CoA ligase (IDP-forming)'
rxn00532_c0,-0.000195561,'3-oxopropanoate:NADP+ oxidoreductase (CoA-malonylating)'
rxn00555_c0,0.001592951,'L-glutamine:D-fructose-6-phosphate isomerase (deaminating)'
rxn00612_c0,-0.006305704,'sn-Glycerol-3-phosphate:NADP+ 2-oxidoreductase'
rxn00623_c0,-0.00709536,'hydrogen-sulfide:NADP+ oxidoreductase'
rxn00646_c0,9.78E-05,'L-glutamate:L-cysteine gamma-ligase (ADP-forming)'
rxn00657_c0,-0.000195561,'beta-alanine:2-oxoglutarate aminotransferase'
rxn00669_c0,0.000796475,'Propanoate:CoA ligase (ADP-forming)'
rxn00676_c0,0.002402173,'acetyl-CoA:propanoyl-CoA 2-C-acetyltransferase'
rxn00677_c0,-0.000796475,'Acetyl-CoA:propanoate CoA-transferase'
rxn00679_c0,-0.062324893,"'propanoyl-CoA:oxaloacetate C-propanoyltransferase (thioester-hydrolysing, 1-carboxyethyl-forming)'"
