ReactionID,Flux,Name
rxn00068_c0,-194.8051948,'Fe2+:NAD+ oxidoreductase'
rxn00148_c0,-77.92207792,'ATP:pyruvate 2-O-phosphotransferase'
rxn00199_c0,77.92207792,'oxalosuccinate carboxy-lyase (2-oxoglutarate-forming)'
rxn00216_c0,19.48051948,'ATP:D-glucose 6-phosphotransferase'
rxn00248_c0,77.92207792,'(S)-malate:NAD+ oxidoreductase'
rxn00256_c0,-77.92207792,'acetyl-CoA:oxaloacetate C-acetyltransferase (thioester-hydrolysing)'
rxn00285_c0,-77.92207792,'Succinate:CoA ligase (ADP-forming)'
rxn00459_c0,77.92207792,'2-phospho-D-glycerate hydro-lyase (phosphoenolpyruvate-forming)'
rxn00545_c0,19.48051948,'ATP:D-fructose-6-phosphate 1-phosphotransferase'
rxn00558_c0,19.48051948,'D-glucose-6-phosphate aldose-ketose-isomerase'
rxn00747_c0,-38.96103896,'D-glyceraldehyde-3-phosphate aldose-ketose-isomerase'
rxn00781_c0,77.92207792,'D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating)'
rxn00786_c0,19.48051948,"'D-fructose-1,6-bisphosphate D-glyceraldehyde-3-phosphate-lyase (glycerone-phosphate-forming)'"
rxn00799_c0,-77.92207792,'(S)-malate hydro-lyase (fumarate-forming)'
rxn00973_c0,77.92207792,'citrate hydroxymutase'
rxn01100_c0,-77.92207792,'ATP:3-phospho-D-glycerate 1-phosphotransferase'
rxn01106_c0,-77.92207792,"'2-Phospho-D-glycerate 2,3-phosphomutase'"
rxn01387_c0,77.92207792,'Isocitrate:NADP+ oxidoreductase'
rxn04996_c0,-77.92207792,'dimethyallyl diphosphate:NADP+ oxidoreductase'
rxn05210_c0,-389.6103896,'phosphate Na+ symporter'
rxn05466_c0,-279.2207792,'TRANS-RXN-173.ce'
rxn05513_c0,389.6103896,'TRANS-RXN-194.ce'
rxn05625_c0,-110.3896104,"'nitrite transport in via proton symport, reversible'"
rxn05651_c0,-389.6103896,'sulfate transport in via proton symport'
rxn05938_c0,-77.92207792,'pyruvate ferredoxin oxidoreductase'
rxn08173_c0,233.7662338,'F(1)-ATPase'
rxn08233_c0,-194.8051948,'Chloride/proton antiport'
rxn08240_c0,389.6103896,'cobalt (Co+2) transport out via proton antiport (periplasm)'
rxn08275_c0,389.6103896,'copper transport out via proton antiport'
rxn08352_c0,-77.92207792,'R08210'
rxn08473_c0,-779.2207792,'Transport of Fe2+'
rxn08734_c0,155.8441558,'hydrogenase (ubiquinone-8: 2 protons) (periplasm)'
rxn09272_c0,77.92207792,"'fumarate reductase complex (i.e. FRD, involved in anaerobic respiration, repressed in aerobic respiration)'"
rxn09389_c0,389.6103896,'TRANS-RXN0-200.cp'
rxn10043_c0,383.1168831,'cytochrome-c oxidase (H+/e- = 2)'
rxn10820_c0,389.6103896,'TRANS-RXN-188.ce'
rxn13392_c0,-389.6103896,"'putrescine transport in via proton antiport, irreversible'"
rxn13689_c0,162.3376623,'cytochrome-c reductase (ubiquinol8: 4 protons translocated)'
rxn15081_c0,19.48051948,'ATP:D-fructose 6-phosphotransferase'
rxn15116_c0,19.48051948,"'beta-D-fructose-1,6-bisphosphate D-glyceraldehyde-3-phosphate-lyase (glycerone-phosphate-forming)'"
rxn15493_c0,19.48051948,'ATP:D-fructose-6-phosphate 1-phosphotransferase'
rxn31312_c0,-77.92207792,'2-oxoglutarate synthase'
rxn90057_c0,155.8441558,'ferredoxin hydrogenase (chemiosmosis)'
rxn05319_c0,-538.961039,'TRANS-RXNBWI-115401.ce.maizeexp.OH_OH'
rxn05467_c0,-233.7662338,'CO2 transporter via diffusion'
rxn05468_c0,-87.66233766,'TRANS-RXNAVI-26568.ce'
rxn08689_c0,389.6103896,'h2s transport (periplasm)'
EX_cpd00009_e0,389.6103896,'Phosphate-e0 Exchange'
EX_cpd00034_e0,389.6103896,'Zn2+-e0 Exchange'
EX_cpd00048_e0,389.6103896,'Sulfate-e0 Exchange'
EX_cpd00118_e0,389.6103896,'Putrescine-e0 Exchange'
EX_cpd00149_e0,389.6103896,'Co2+-e0 Exchange'
EX_cpd00067_e0,1000,'H+-e0 Exchange'
EX_cpd00971_e0,389.6103896,'Na+-e0 Exchange'
EX_cpd00013_e0,279.2207792,'NH3-e0 Exchange'
EX_cpd00063_e0,389.6103896,'Ca2+-e0 Exchange'
EX_cpd00058_e0,389.6103896,'Cu2+-e0 Exchange'
EX_cpd10515_e0,779.2207792,'Fe2+-e0 Exchange'
EX_cpd00205_e0,389.6103896,'K+-e0 Exchange'
EX_cpd00075_e0,110.3896104,'Nitrite-e0 Exchange'
EX_cpd00099_e0,389.6103896,'Cl--e0 Exchange'
EX_cpd00001_e0,538.961039,'H2O-e0 Exchange'
EX_cpd00011_e0,233.7662338,'CO2-e0 Exchange'
EX_cpd00007_e0,87.66233766,'O2-e0 Exchange'
EX_cpd00239_e0,389.6103896,'H2S-e0 Exchange'
EX_cpd00254_e0,389.6103896,'Mg Exchange'
rxn08921_c0,-389.6103896,'magnesium (Mg+2) transport in/out via proton antiport (periplasm)'
rxn08972_c0,38.96103896,'NADH dehydrogenase (ubiquinone-8 & 3 protons) (periplasm)'
rxn40053_c0,110.3896104,'hydroxylamine dehydrogenase'
rxn90090_c0,110.3896104,'ammonia monooxygenase'
BIOMASS_PSEUDO,3.896103896,'Biomass pseudo reaction'
