ReactionID,Flux,Name
rxn00006_c0,7.58E-05,hydrogen-peroxide:hydrogen-peroxide oxidoreductase
rxn00015_c0,0.000151648,putrescine:putrescine 4-aminobutyltransferase (ammonia-forming)
rxn00029_c0,0.001213188,5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming)
rxn00048_c0,0.000303297,"6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase"
rxn00060_c0,0.000303297,porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)
rxn00069_c0,0.051622201,L-glutamate:NAD+ oxidoreductase (transaminating)
rxn00078_c0,0.000151648,ATP:NADH 2-phosphotransferase
rxn00097_c0,1.376119167,ATP:AMP phosphotransferase
rxn00100_c0,0.000303297,ATP:dephospho-CoA 3-phosphotransferase
rxn00102_c0,-1.464721131,carbonate hydro-lyase (carbon-dioxide-forming)
rxn00104_c0,-0.000151648,polyphosphate kinase
rxn00114_c0,0.022812321,ATP:carbamate phosphotransferase
rxn00117_c0,0.015316674,ATP:UDP phosphotransferase
rxn00119_c0,0.013083814,ATP:UMP phosphotransferase
rxn00122_c0,0.000151648,ATP:FMN adenylyltransferase
rxn00126_c0,0.000454945,ATP:L-methionine S-adenosyltransferase
rxn00137_c0,0.000151648,"Adenosine 3,5-bisphosphate 3-phosphohydrolase"
rxn00138_c0,0.000303297,deamido-NAD+:ammonia ligase (AMP-forming)
rxn00139_c0,-0.000303297,AMP:diphosphate phospho-D-ribosyltransferase
rxn00147_c0,0.322866865,"ATP:pyruvate,water phosphotransferase"
rxn00177_c0,0.484292199,(3S)-citramalyl-CoA pyruvate-lyase (acetyl-CoA-forming)
rxn00178_c0,0.006379574,Acetyl-CoA:acetyl-CoA C-acetyltransferase
rxn00184_c0,-0.360061609,L-Glutamate:NADP+ oxidoreductase (deaminating)
rxn00191_c0,-0.098027739,L-Alanine:2-oxoglutarate aminotransferase
rxn00193_c0,0.000530217,glutamate racemase
rxn00213_c0,0.002120868,UTP:alpha-D-glucose-1-phosphate uridylyltransferase
rxn00216_c0,2.80E-05,ATP:D-glucose 6-phosphotransferase
rxn00237_c0,0.0203965,ATP:GDP phosphotransferase
rxn00239_c0,0.0097036,ATP:GMP phosphotransferase
rxn00247_c0,-0.183235578,ATP:oxaloacetate carboxy-lyase (transphosphorylating;phosphoenolpyruvate-forming)
rxn00248_c0,-0.086805081,(S)-malate:NAD+ oxidoreductase
rxn00260_c0,-0.096430497,L-Aspartate:2-oxoglutarate aminotransferase
rxn00272_c0,0.055659875,L-Alanine:glyoxylate aminotransferase
rxn00283_c0,0.001060434,alanine racemase
rxn00285_c0,0.134382751,Succinate:CoA ligase (ADP-forming)
rxn00286_c0,0.539497129,succinyl-CoA:malate CoA-transferase
rxn00293_c0,0.002120868,UTP:N-acetyl-alpha-D-glucosamine-1-phosphate uridylyltransferase
rxn00299_c0,0.000454945,"GTP 7,8-8,9-dihydrolase"
rxn00300_c0,0.000303297,"GTP 7,8-8,9-dihydrolase (diphosphate-forming)"
rxn00317_c0,-0.012516706,L-Lysine:2-oxoglutarate 6-aminotransferase
rxn00324_c0,0.000454945,glycolate:NADP+ oxidoreductase
rxn00331_c0,0.539497129,(3S)-3-carboxy-3-hydroxypropanoyl-CoA glyoxylate-lyase (acetyl-CoA-forming)
rxn00337_c0,0.02628927,ATP:L-aspartate 4-phosphotransferase
rxn00340_c0,0.00879241,L-aspartate:ammonia ligase (AMP-forming)
rxn00351_c0,0.000151648,gamma-L-glutamyl-L-cysteine:glycine ligase (ADP-forming)
rxn00364_c0,0.012523743,ATP:CMP phosphotransferase
rxn00379_c0,0.009423947,ATP:sulfate adenylyltransferase
rxn00392_c0,0.000151648,ATP:riboflavin 5-phosphotransferase
rxn00409_c0,0.011544458,ATP:CDP phosphotransferase
rxn00410_c0,0.005832965,UTP:ammonia ligase (ADP-forming)
