ReactionID,Flux,Name
rxn00068_c0,-236.6863905,'Fe2+:NAD+ oxidoreductase'
rxn00097_c0,159.7633136,'ATP:AMP phosphotransferase'
rxn00162_c0,94.67455621,'oxaloacetate carboxy-lyase (pyruvate-forming)'
rxn00172_c0,-159.7633136,'Acetate:CoA ligase (ADP-forming)'
rxn00176_c0,159.7633136,'acetyl adenylate:CoA acetyltransferase'
rxn00226_c0,159.7633136,'ATP:acetate adenylyltransferase'
rxn00247_c0,-94.67455621,'ATP:oxaloacetate carboxy-lyase (transphosphorylating;phosphoenolpyruvate-forming)'
rxn00248_c0,94.67455621,'(S)-malate:NAD+ oxidoreductase'
rxn00256_c0,-94.67455621,'acetyl-CoA:oxaloacetate C-acetyltransferase (thioester-hydrolysing)'
rxn00285_c0,-94.67455621,'Succinate:CoA ligase (ADP-forming)'
rxn00459_c0,94.67455621,'2-phospho-D-glycerate hydro-lyase (phosphoenolpyruvate-forming)'
rxn00505_c0,94.67455621,'Isocitrate:NAD+ oxidoreductase (decarboxylating)'
rxn00545_c0,47.33727811,'ATP:D-fructose-6-phosphate 1-phosphotransferase'
rxn00547_c0,23.66863905,'ATP:D-fructose 6-phosphotransferase'
rxn00567_c0,-213.0177515,'nitric-oxide:ferricytochrome-c oxidoreductase'
rxn00747_c0,-47.33727811,'D-glyceraldehyde-3-phosphate aldose-ketose-isomerase'
rxn00781_c0,94.67455621,'D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating)'
rxn00786_c0,47.33727811,"'D-fructose-1,6-bisphosphate D-glyceraldehyde-3-phosphate-lyase (glycerone-phosphate-forming)'"
rxn00799_c0,-94.67455621,'(S)-malate hydro-lyase (fumarate-forming)'
rxn00973_c0,94.67455621,'citrate hydroxymutase'
rxn01100_c0,-94.67455621,'ATP:3-phospho-D-glycerate 1-phosphotransferase'
rxn01106_c0,-94.67455621,"'2-Phospho-D-glycerate 2,3-phosphomutase'"
rxn01169_c0,23.66863905,'ATP:beta-D-glucose 6-phosphotransferase'
rxn01171_c0,23.66863905,'D-glucose 1-epimerase'
rxn02380_c0,23.66863905,'beta-D-Glucose 6-phosphate ketol-isomerase'
rxn05312_c0,-153.8461538,'Inorganic phosphate transporter'
rxn05466_c0,-260.3550296,'TRANS-RXN-173.ce'
rxn05513_c0,473.3727811,'TRANS-RXN-194.ce'
rxn05595_c0,-473.3727811,'TRANS-RXN-3.ce'
rxn05625_c0,-213.0177515,"'nitrite transport in via proton symport, reversible'"
rxn05651_c0,-236.6863905,'sulfate transport in via proton symport'
rxn05887_c0,189.3491124,'Hydrogen:NAD+ oxidoreductase'
rxn05938_c0,-94.67455621,'pyruvate ferredoxin oxidoreductase'
rxn08173_c0,443.7869822,'F(1)-ATPase'
rxn08233_c0,-236.6863905,'Chloride/proton antiport'
rxn08240_c0,473.3727811,'cobalt (Co+2) transport out via proton antiport (periplasm)'
rxn08275_c0,473.3727811,'copper transport out via proton antiport'
rxn08473_c0,-946.7455621,'Transport of Fe2+'
rxn08921_c0,-473.3727811,'magnesium (Mg+2) transport in/out via proton antiport (periplasm)'
rxn09272_c0,94.67455621,"'fumarate reductase complex (i.e. FRD, involved in anaerobic respiration, repressed in aerobic respiration)'"
rxn09389_c0,473.3727811,'TRANS-RXN0-200.cp'
rxn10043_c0,437.8698225,'cytochrome-c oxidase (H+/e- = 2)'
rxn11268_c0,-159.7633136,'phosphate ABC transporter permease protein'
rxn12811_c0,-236.6863905,'sulfate transport via sodium symport'
rxn13689_c0,118.3431953,'cytochrome-c reductase (ubiquinol8: 4 protons translocated)'
rxn31312_c0,-94.67455621,'2-oxoglutarate synthase'
rxn90057_c0,189.3491124,'ferredoxin hydrogenase (chemiosmosis)'
rxn05319_c0,-786.9822485,'TRANS-RXNBWI-115401.ce.maizeexp.OH_OH'
rxn05467_c0,-284.0236686,'CO2 transporter via diffusion'
rxn05468_c0,-41.42011834,'TRANS-RXNAVI-26568.ce'
rxn08689_c0,473.3727811,'h2s transport (periplasm)'
EX_cpd00001_e0,1000,'H2O-e0 Exchange'
EX_cpd00418_e0,213.0177515,'NO-e0 Exchange'
EX_cpd00009_e0,153.8461538,'Phosphate-e0 Exchange'
EX_cpd00034_e0,473.3727811,'Zn2+-e0 Exchange'
EX_cpd00048_e0,473.3727811,'Sulfate-e0 Exchange'
EX_cpd00118_e0,473.3727811,'Putrescine-e0 Exchange'
EX_cpd00149_e0,473.3727811,'Co2+-e0 Exchange'
EX_cpd00067_e0,1000,'H+-e0 Exchange'
EX_cpd00971_e0,473.3727811,'Na+-e0 Exchange'
EX_cpd00013_e0,260.3550296,'NH3-e0 Exchange'
EX_cpd00063_e0,473.3727811,'Ca2+-e0 Exchange'
EX_cpd00058_e0,473.3727811,'Cu2+-e0 Exchange'
EX_cpd10515_e0,946.7455621,'Fe2+-e0 Exchange'
EX_cpd00205_e0,473.3727811,'K+-e0 Exchange'
EX_cpd00012_e0,159.7633136,'PPi-e0 Exchange'
EX_cpd00099_e0,473.3727811,'Cl--e0 Exchange'
EX_cpd00254_e0,473.3727811,'Mg-e0 Exchange'
EX_cpd00011_e0,284.0236686,'CO2-e0 Exchange'
EX_cpd00007_e0,41.42011834,'O2-e0 Exchange'
EX_cpd00239_e0,473.3727811,'H2S-e0 Exchange'
rxn08972_c0,236.6863905,'NADH dehydrogenase (ubiquinone-8 & 3 protons) (periplasm)'
rxn40053_c0,213.0177515,'hydroxylamine dehydrogenase'
rxn90090_c0,213.0177515,'ammonia monooxygenase'
rxn13392_c0,-473.3727811,"'putrescine transport in via proton antiport, irreversible'"
BIOMASS_PSEUDO,4.733727811,#N/A
