ReactionID,Flux,Name
rxn00006_c0,6.59E-05,'hydrogen-peroxide:hydrogen-peroxide oxidoreductase'
rxn00029_c0,0.001054108,'5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming)'
rxn00048_c0,0.000263527,"'6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase'"
rxn00060_c0,0.000263527,'porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)'
rxn00069_c0,0.04485323,'L-glutamate:NAD+ oxidoreductase (transaminating)'
rxn00070_c0,-0.00818823,'glutathione:NAD+ oxidoreductase'
rxn00078_c0,0.000131764,'ATP:NADH 2''-phosphotransferase'
rxn00097_c0,2.082948379,'ATP:AMP phosphotransferase'
rxn00100_c0,0.000263527,'ATP:dephospho-CoA 3''-phosphotransferase'
rxn00101_c0,2.00E-05,'Urea amidohydrolase'
rxn00102_c0,-0.05367067,'carbonate hydro-lyase (carbon-dioxide-forming)'
rxn00104_c0,-0.000131764,'polyphosphate kinase'
rxn00114_c0,0.019841046,'ATP:carbamate phosphotransferase'
rxn00117_c0,0.013308273,'ATP:UDP phosphotransferase'
rxn00119_c0,0.01054412,'ATP:UMP phosphotransferase'
rxn00122_c0,0.000131764,'ATP:FMN adenylyltransferase'
rxn00126_c0,0.000395291,'ATP:L-methionine S-adenosyltransferase'
rxn00137_c0,0.000131764,"'Adenosine 3'',5''-bisphosphate 3''-phosphohydrolase'"
rxn00138_c0,0.000263527,'deamido-NAD+:ammonia ligase (AMP-forming)'
rxn00139_c0,-0.000263527,'AMP:diphosphate phospho-D-ribosyltransferase'
rxn00147_c0,1.996781745,"'ATP:pyruvate,water phosphotransferase'"
rxn00165_c0,0.426131599,'L-serine ammonia-lyase'
rxn00171_c0,-0.000824077,'acetaldehyde:NAD+ oxidoreductase (CoA-acetylating)'
rxn00178_c0,0.010610665,'Acetyl-CoA:acetyl-CoA C-acetyltransferase'
rxn00179_c0,0.016399892,'ATP:L-glutamate 5-phosphotransferase'
rxn00182_c0,-2.02093149,'L-glutamate:NAD+ oxidoreductase (deaminating)'
rxn00193_c0,0.001382076,'glutamate racemase'
rxn00202_c0,-0.010875451,"'acetyl-CoA:2-oxoglutarate C-acetyltransferase (thioester-hydrolysing, carboxymethyl forming)'"
rxn00237_c0,0.017722005,'ATP:GDP phosphotransferase'
rxn00239_c0,0.008431214,'ATP:GMP phosphotransferase'
rxn00247_c0,-1.882458712,'ATP:oxaloacetate carboxy-lyase (transphosphorylating;phosphoenolpyruvate-forming)'
rxn00249_c0,0.819199719,'(S)-malate:NADP+ oxidoreductase'
rxn00260_c0,-1.880623466,'L-Aspartate:2-oxoglutarate aminotransferase'
rxn00274_c0,-0.952520367,'Acetyl-CoA:glycine C-acetyltransferase'
rxn00285_c0,-0.813257917,'Succinate:CoA ligase (ADP-forming)'
rxn00293_c0,0.001842769,'UTP:N-acetyl-alpha-D-glucosamine-1-phosphate uridylyltransferase'
rxn00300_c0,0.000263527,"'GTP 7,8-8,9-dihydrolase (diphosphate-forming)'"
rxn00302_c0,0.000395291,"'GTP 8,9-hydrolase'"
rxn00317_c0,-0.010875451,'L-Lysine:2-oxoglutarate 6-aminotransferase'
rxn00326_c0,0.030414867,'Glyoxylate:NADP+ oxidoreductase (CoA-oxalylating)'
rxn00337_c0,1.80941792,'ATP:L-aspartate 4-phosphotransferase'
rxn00340_c0,0.007639504,'L-aspartate:ammonia ligase (AMP-forming)'
rxn00351_c0,0.000131764,'gamma-L-glutamyl-L-cysteine:glycine ligase (ADP-forming)'
rxn00364_c0,0.005813951,'ATP:CMP phosphotransferase'
rxn00373_c0,0.030414867,'Oxalate carboxy-lyase'
rxn00379_c0,0.00818823,'ATP:sulfate adenylyltransferase'
rxn00392_c0,0.000131764,'ATP:riboflavin 5''-phosphotransferase'
rxn00405_c0,2.00E-05,'L-arginine carboxy-lyase (agmatine-forming)'
rxn00409_c0,0.004963075,'ATP:CDP phosphotransferase'
rxn00410_c0,0.005068116,'UTP:ammonia ligase (ADP-forming)'
rxn00422_c0,0.030019577,'L-Serine:pyruvate aminotransferase'
rxn00438_c0,0.000131764,'ATP:thiamin-phosphate phosphotransferase'
rxn00459_c0,-0.088985639,'2-phospho-D-glycerate hydro-lyase (phosphoenolpyruvate-forming)'
rxn00461_c0,0.000460692,'Phosphoenolpyruvate:UDP-N-acetyl-D-glucosamine 1-carboxyvinyl-transferase'
rxn00467_c0,-0.009394233,'L-Ornithine:2-oxo-acid aminotransferase'
rxn00490_c0,0.005871409,'L-arogenate hydro-lyase (decarboxylating; L-phenylalanine-forming)'
rxn00526_c0,0.004370197,'L-arogenate:NADP+ oxidoreductase'
rxn00532_c0,-0.000263527,'3-oxopropanoate:NADP+ oxidoreductase (CoA-malonylating)'
rxn00536_c0,1.196091647,'Ethanol:NADP+ oxidoreductase'
rxn00543_c0,-1.196091647,'ethanol:NAD+ oxidoreductase'
rxn00547_c0,1.22E-05,'ATP:D-fructose 6-phosphotransferase'
rxn00549_c0,0.010172588,"'D-Fructose-1,6-bisphosphate 1-phosphohydrolase'"
rxn00602_c0,0.831276571,'(R)-Methylmalonyl-CoA CoA-carbonylmutase'
rxn00612_c0,-0.006252522,'sn-Glycerol-3-phosphate:NADP+ 2-oxidoreductase'
rxn00615_c0,0.001042087,'ATP:glycerol 3-phosphotransferase'
