ReactionID,Flux,Name
rxn00006_c0,4.46E-05,'hydrogen-peroxide:hydrogen-peroxide oxidoreductase'
rxn00029_c0,0.000713164,'5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming)'
rxn00048_c0,0.000178291,"'6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase'"
rxn00060_c0,0.000178291,'porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)'
rxn00078_c0,1.515648694,'ATP:NADH 2''-phosphotransferase'
rxn00088_c0,1.515559549,'NADP+ 2''-phosphohydrolase'
rxn00097_c0,1.037789265,'ATP:AMP phosphotransferase'
rxn00100_c0,0.000178291,'ATP:dephospho-CoA 3''-phosphotransferase'
rxn00102_c0,-0.344758785,'carbonate hydro-lyase (carbon-dioxide-forming)'
rxn00104_c0,-8.91E-05,'polyphosphate kinase'
rxn00113_c0,0.013410059,"'Carbon-dioxide:ammonia ligase (ADP-forming,carbamate-phosphorylating)'"
rxn00117_c0,0.009003797,'ATP:UDP phosphotransferase'
rxn00119_c0,0.007691226,'ATP:UMP phosphotransferase'
rxn00122_c0,8.91E-05,'ATP:FMN adenylyltransferase'
rxn00126_c0,0.000267436,'ATP:L-methionine S-adenosyltransferase'
rxn00137_c0,8.91E-05,"'Adenosine 3'',5''-bisphosphate 3''-phosphohydrolase'"
rxn00138_c0,0.000178291,'deamido-NAD+:ammonia ligase (AMP-forming)'
rxn00139_c0,-0.000178291,'AMP:diphosphate phospho-D-ribosyltransferase'
rxn00147_c0,0.980932534,"'ATP:pyruvate,water phosphotransferase'"
rxn00161_c0,0.269867155,'(S)-Malate:NADP+ oxidoreductase(oxaloacetate-decarboxylating)'
rxn00178_c0,0.003750187,'Acetyl-CoA:acetyl-CoA C-acetyltransferase'
rxn00179_c0,0.011095451,'ATP:L-glutamate 5-phosphotransferase'
rxn00184_c0,-0.745724998,'L-Glutamate:NADP+ oxidoreductase (deaminating)'
rxn00187_c0,0.030256594,'L-Glutamate:ammonia ligase (ADP-forming)'
rxn00191_c0,-0.046005705,'L-Alanine:2-oxoglutarate aminotransferase'
rxn00193_c0,0.000311684,'glutamate racemase'
rxn00196_c0,0.000267436,"'2,5-dioxopentanoate:NADP+ 5-oxidoreductase'"
rxn00213_c0,0.001246737,'UTP:alpha-D-glucose-1-phosphate uridylyltransferase'
rxn00216_c0,8.24E-06,'ATP:D-glucose 6-phosphotransferase'
rxn00237_c0,0.011989936,'ATP:GDP phosphotransferase'
rxn00239_c0,0.005704191,'ATP:GMP phosphotransferase'
rxn00247_c0,-0.898881002,'ATP:oxaloacetate carboxy-lyase (transphosphorylating;phosphoenolpyruvate-forming)'
rxn00259_c0,0.284747113,'(3S)-citryl-CoA oxaloacetate-lyase (acetyl-CoA-forming)'
rxn00260_c0,-0.62405377,'L-Aspartate:2-oxoglutarate aminotransferase'
rxn00272_c0,0.034145584,'L-Alanine:glyoxylate aminotransferase'
rxn00283_c0,0.000623368,'alanine racemase'
rxn00293_c0,0.001246737,'UTP:N-acetyl-alpha-D-glucosamine-1-phosphate uridylyltransferase'
rxn00299_c0,0.000267436,"'GTP 7,8-8,9-dihydrolase'"
rxn00300_c0,0.000178291,"'GTP 7,8-8,9-dihydrolase (diphosphate-forming)'"
rxn00317_c0,-0.007357856,'L-Lysine:2-oxoglutarate 6-aminotransferase'
rxn00336_c0,0.034145584,'isocitrate glyoxylate-lyase (succinate-forming)'
rxn00337_c0,0.579865069,'ATP:L-aspartate 4-phosphotransferase'
rxn00340_c0,0.005168555,'L-aspartate:ammonia ligase (AMP-forming)'
rxn00351_c0,8.91E-05,'gamma-L-glutamyl-L-cysteine:glycine ligase (ADP-forming)'
rxn00364_c0,0.007361992,'ATP:CMP phosphotransferase'
rxn00379_c0,0.005539799,'ATP:sulfate adenylyltransferase'
rxn00392_c0,8.91E-05,'ATP:riboflavin 5''-phosphotransferase'
rxn00409_c0,0.006786326,'ATP:CDP phosphotransferase'
rxn00410_c0,0.003428866,'UTP:ammonia ligase (ADP-forming)'
rxn00438_c0,8.91E-05,'ATP:thiamin-phosphate phosphotransferase'
rxn00453_c0,0.211137761,'O-acetyl-L-homoserine:methanethiol 3-amino-3-carboxypropyltransferase'
rxn00456_c0,0.20775338,'L-methionine methanethiol-lyase (deaminating;2-oxobutanoate-forming)'
rxn00459_c0,-0.063974303,'2-phospho-D-glycerate hydro-lyase (phosphoenolpyruvate-forming)'
