ReactionID,Flux,Name
rxn00001_c0,0.139620985,'diphosphate phosphohydrolase'
rxn00006_c0,7.40E-05,'hydrogen-peroxide:hydrogen-peroxide oxidoreductase'
rxn00010_c0,0.47571313,'glyoxylate carboxy-lyase (dimerizing; tartronate-semialdehyde-forming)'
rxn00029_c0,0.001183633,'5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming)'
rxn00048_c0,0.000295908,"'6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase'"
rxn00060_c0,0.000295908,'porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)'
rxn00078_c0,1.623056889,'ATP:NADH 2''-phosphotransferase'
rxn00088_c0,1.622908935,'NADP+ 2''-phosphohydrolase'
rxn00097_c0,0.094602665,'ATP:AMP phosphotransferase'
rxn00100_c0,0.000295908,'ATP:dephospho-CoA 3''-phosphotransferase'
rxn00102_c0,-0.858824743,'carbonate hydro-lyase (carbon-dioxide-forming)'
rxn00104_c0,-0.000147954,'polyphosphate kinase'
rxn00117_c0,0.014943538,'ATP:UDP phosphotransferase'
rxn00119_c0,0.012765074,'ATP:UMP phosphotransferase'
rxn00122_c0,0.000147954,'ATP:FMN adenylyltransferase'
rxn00126_c0,0.000443862,'ATP:L-methionine S-adenosyltransferase'
rxn00137_c0,0.000147954,"'Adenosine 3'',5''-bisphosphate 3''-phosphohydrolase'"
rxn00138_c0,0.000295908,'deamido-NAD+:ammonia ligase (AMP-forming)'
rxn00139_c0,-0.000295908,'AMP:diphosphate phospho-D-ribosyltransferase'
rxn00173_c0,-0.006651634,'acetyl-CoA:phosphate acetyltransferase'
rxn00177_c0,-0.003120358,'(3S)-citramalyl-CoA pyruvate-lyase (acetyl-CoA-forming)'
rxn00178_c0,0.006224159,'Acetyl-CoA:acetyl-CoA C-acetyltransferase'
rxn00179_c0,0.007866485,'ATP:L-glutamate 5-phosphotransferase'
rxn00187_c0,0.352067366,'L-Glutamate:ammonia ligase (ADP-forming)'
rxn00191_c0,-0.077576587,'L-Alanine:2-oxoglutarate aminotransferase'
rxn00193_c0,0.0005173,'glutamate racemase'
rxn00202_c0,-0.012211781,"'acetyl-CoA:2-oxoglutarate C-acetyltransferase (thioester-hydrolysing, carboxymethyl forming)'"
rxn00213_c0,0.0020692,'UTP:alpha-D-glucose-1-phosphate uridylyltransferase'
rxn00216_c0,1.37E-05,'ATP:D-glucose 6-phosphotransferase'
rxn00225_c0,0.006651634,'ATP:acetate phosphotransferase'
rxn00237_c0,0.019899611,'ATP:GDP phosphotransferase'
rxn00239_c0,0.009467206,'ATP:GMP phosphotransferase'
rxn00247_c0,-0.339532782,'ATP:oxaloacetate carboxy-lyase (transphosphorylating;phosphoenolpyruvate-forming)'
rxn00248_c0,-1.018116479,'(S)-malate:NAD+ oxidoreductase'
rxn00250_c0,0.772665007,'Pyruvate:carbon-dioxide ligase (ADP-forming)'
rxn00260_c0,-0.09408131,'L-Aspartate:2-oxoglutarate aminotransferase'
rxn00272_c0,0.056671184,'L-Alanine:glyoxylate aminotransferase'
rxn00283_c0,0.001959936,'alanine racemase'
rxn00285_c0,1.057883454,'Succinate:CoA ligase (ADP-forming)'
rxn00286_c0,1.004533223,'succinyl-CoA:malate CoA-transferase'
rxn00293_c0,0.0020692,'UTP:N-acetyl-alpha-D-glucosamine-1-phosphate uridylyltransferase'
rxn00300_c0,0.000295908,"'GTP 7,8-8,9-dihydrolase (diphosphate-forming)'"
rxn00302_c0,0.000443862,"'GTP 8,9-hydrolase'"
rxn00317_c0,-0.012211781,'L-Lysine:2-oxoglutarate 6-aminotransferase'
rxn00324_c0,0.000443862,'glycolate:NADP+ oxidoreductase'
rxn00331_c0,1.004533223,'(3S)-3-carboxy-3-hydroxypropanoyl-CoA glyoxylate-lyase (acetyl-CoA-forming)'
rxn00337_c0,0.025648825,'ATP:L-aspartate 4-phosphotransferase'
rxn00340_c0,0.008578214,'L-aspartate:ammonia ligase (AMP-forming)'
rxn00351_c0,0.000147954,'gamma-L-glutamyl-L-cysteine:glycine ligase (ADP-forming)'
rxn00364_c0,0.012218646,'ATP:CMP phosphotransferase'
rxn00379_c0,0.009194366,'ATP:sulfate adenylyltransferase'
rxn00392_c0,0.000147954,'ATP:riboflavin 5''-phosphotransferase'
rxn00409_c0,0.011263218,'ATP:CDP phosphotransferase'
rxn00410_c0,0.005690865,'UTP:ammonia ligase (ADP-forming)'
rxn00453_c0,0.005617034,'O-acetyl-L-homoserine:methanethiol 3-amino-3-carboxypropyltransferase'
rxn00459_c0,0.369535431,'2-phospho-D-glycerate hydro-lyase (phosphoenolpyruvate-forming)'
rxn00461_c0,0.0005173,'Phosphoenolpyruvate:UDP-N-acetyl-D-glucosamine 1-carboxyvinyl-transferase'
rxn00474_c0,0.00202281,'L-serine hydro-lyase (adding indole; L-tryptophan-forming)'
rxn00493_c0,-0.006592863,'L-Phenylalanine:2-oxoglutarate aminotransferase'
rxn00526_c0,0.004907188,'L-arogenate:NADP+ oxidoreductase'
rxn00532_c0,-0.000295908,'3-oxopropanoate:NADP+ oxidoreductase (CoA-malonylating)'
rxn00533_c0,0.046567422,'Acetyl-CoA:carbon-dioxide ligase (ADP-forming)'
rxn00547_c0,1.37E-05,'ATP:D-fructose 6-phosphotransferase'
rxn00599_c0,0.002367265,'succinyl-CoA:glycine C-succinyltransferase (decarboxylating)'
rxn00612_c0,-0.007020806,'sn-Glycerol-3-phosphate:NADP+ 2-oxidoreductase'
rxn00615_c0,0.001170134,'ATP:glycerol 3-phosphotransferase'
rxn00646_c0,0.000147954,'L-glutamate:L-cysteine gamma-ligase (ADP-forming)'
rxn00656_c0,0.000295908,'L-Alanine:3-oxopropanoate aminotransferase'
rxn00676_c0,0.003120358,'acetyl-CoA:propanoyl-CoA 2-C-acetyltransferase'
rxn00682_c0,-0.003120358,'L-erythro-3-Methylmalyl-CoA glyoxylate-lyase (propanoyl-CoA-forming)'
rxn00684_c0,-0.000443862,"'5,6,7,8-tetrahydrofolate:NAD+ oxidoreductase'"
rxn00690_c0,0.060343791,'Formate:tetrahydrofolate ligase (ADP-forming)'
rxn00692_c0,0.014722921,"'5,10-Methylenetetrahydrofolate:glycine hydroxymethyltransferase'"
rxn00704_c0,-1.37E-05,"'alpha-D-Glucose 1-phosphate 1,6-phosphomutase'"
rxn00710_c0,0.011730473,'orotidine-5''-phosphate carboxy-lyase (UMP-forming)'
rxn00726_c0,0.00202281,'chorismate pyruvate-lyase (amino-accepting; anthranilate-forming)'
rxn00737_c0,0.010338809,'L-threonine ammonia-lyase (2-oxobutanoate-forming)'
rxn00747_c0,0.044206164,'D-glyceraldehyde-3-phosphate aldose-ketose-isomerase'
rxn00770_c0,0.028048178,'ATP:D-ribose-5-phosphate diphosphotransferase'
rxn00777_c0,-0.028048178,'D-ribose-5-phosphate aldose-ketose-isomerase'
rxn00781_c0,-0.106177699,'D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating)'
rxn00789_c0,-0.003371351,'1-(5-phospho-D-ribosyl)-ATP:diphosphate phospho-alpha-D-ribosyl-transferase'
rxn00790_c0,-0.017483689,'5-phosphoribosylamine:diphosphate phospho-alpha-D-ribosyltransferase (glutamate-amidating)'
