# gapseq version: 1.4.0 27684cdd
# Transporter sequence DB md5sum: b99a77e (2025-02-28)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|P73797|1.A.10.2.1	1.A.10.2.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P73797|1.A.10.2.1	29.464	5.93e-38	144	83	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	2990230	2991207	transporter
gnl|TC-DB|B5FDH7|1.A.10.2.4	1.A.10.2.4	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|B5FDH7|1.A.10.2.4	32.743	2.43e-42	155	90	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	2990224	2991210	transporter
gnl|TC-DB|A7K9J5|1.A.1.12.2	1.A.1.12.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|A7K9J5|1.A.1.12.2	33.333	0.004	32.0	79	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	3246282	3246485	transporter
gnl|TC-DB|AET84893|1.A.1.12.5	1.A.1.12.5	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|AET84893|1.A.1.12.5	29.577	0.19	27.3	79	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	2990584	2990787	transporter
gnl|TC-DB|Q58752|1.A.1.13.10	1.A.1.13.10	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q58752|1.A.1.13.10	33.127	6.10e-54	188	95	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	2793677	2792730	transporter
gnl|TC-DB|P74405|1.A.1.13.6	1.A.1.13.6	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P74405|1.A.1.13.6	63.309	0.0	743	98	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	2276699	2275032	transporter
gnl|TC-DB|P73132|1.A.1.13.7	1.A.1.13.7	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P73132|1.A.1.13.7	66.570	1.16e-142	444	94	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	2793686	2792655	transporter
gnl|TC-DB|Q57604|1.A.1.13.8	1.A.1.13.8	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q57604|1.A.1.13.8	35.691	2.90e-53	186	91	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	2793608	2792703	transporter
gnl|TC-DB|E8QNY4|1.A.1.13.9	1.A.1.13.9	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|E8QNY4|1.A.1.13.9	26.398	1.36e-25	106	84	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	2793605	2792670	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	30.769	5.51e-25	101	98	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	3330450	3331208	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	26.695	5.24e-12	63.9	81	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	1794680	1794021	transporter
gnl|TC-DB|Q8F2Y8|1.A.12.2.2	1.A.12.2.2	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q8F2Y8|1.A.12.2.2	29.386	9.33e-14	67.4	97	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	4936578	4935928	transporter
gnl|TC-DB|Q08U57|1.A.1.24.2	1.A.1.24.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q08U57|1.A.1.24.2	27.670	1.40e-18	82.0	88	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	4821592	4822179	transporter
gnl|TC-DB|B7K3R7|1.A.1.24.4	1.A.1.24.4	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|B7K3R7|1.A.1.24.4	54.580	1.83e-69	230	97	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	4821418	4822203	transporter
gnl|TC-DB|Q57603|1.A.1.6.1	1.A.1.6.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q57603|1.A.1.6.1	36.196	7.02e-18	79.3	76	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	4821520	4822005	transporter
gnl|TC-DB|YP_009174599.1|1.A.1.7.8	1.A.1.7.8	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|YP_009174599.1|1.A.1.7.8	30.337	0.004	32.3	86	NC_019765.1 Stanieria cyanosphaera PCC 7437 plasmid pSTA7437.01, complete sequence	301526	301783	transporter
gnl|TC-DB|Q92806|1.A.2.1.19	1.A.2.1.19	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q92806|1.A.2.1.19	26.603	1.92e-21	94.7	77	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	3246138	3246977	transporter
gnl|TC-DB|P63252|1.A.2.1.2	1.A.2.1.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P63252|1.A.2.1.2	28.267	3.90e-32	127	76	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	3246129	3247034	transporter
gnl|TC-DB|O60928|1.A.2.1.8	1.A.2.1.8	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|O60928|1.A.2.1.8	24.351	3.60e-16	77.8	85	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	3246129	3246974	transporter
gnl|TC-DB|P83698|1.A.2.2.1	1.A.2.2.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P83698|1.A.2.2.1	37.124	6.66e-60	205	89	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	3246102	3246980	transporter
gnl|TC-DB|P83698|1.A.2.2.1	1.A.2.2.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P83698|1.A.2.2.1	37.124	6.66e-60	205	89	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	3246102	3246980	transporter
gnl|TC-DB|D9N164|1.A.2.2.2	1.A.2.2.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|D9N164|1.A.2.2.2	40.925	2.02e-69	231	93	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	3246129	3246968	transporter
gnl|TC-DB|Q7NZ13|1.A.2.2.3	1.A.2.2.3	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q7NZ13|1.A.2.2.3	36.823	2.29e-57	196	92	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	3246180	3247010	transporter
gnl|TC-DB|Q6ZEQ2|1.A.2.2.4	1.A.2.2.4	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q6ZEQ2|1.A.2.2.4	44.231	1.93e-74	246	83	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	3246195	3246974	transporter
gnl|TC-DB|Q146M9|1.A.2.2.5	1.A.2.2.5	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q146M9|1.A.2.2.5	38.491	1.39e-50	178	82	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	3246189	3246983	transporter
gnl|TC-DB|P72604|1.A.30.2.10	1.A.30.2.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P72604|1.A.30.2.10	66.986	4.31e-78	252	99	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	3000728	3000108	transporter
gnl|TC-DB|Q9XG70|1.A.8.10.2	1.A.8.10.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q9XG70|1.A.8.10.2	29.339	5.45e-14	68.9	87	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	2884948	2885664	transporter
gnl|TC-DB|P25818|1.A.8.10.3	1.A.8.10.3	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P25818|1.A.8.10.3	28.968	1.57e-14	70.5	90	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	2884948	2885685	transporter
gnl|TC-DB|P0AER0|1.A.8.1.1	1.A.8.1.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P0AER0|1.A.8.1.1	27.027	1.62e-10	59.3	87	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	2884954	2885661	transporter
gnl|TC-DB|P08995|1.A.8.12.1	1.A.8.12.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P08995|1.A.8.12.1	35.983	9.30e-32	121	78	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	2884948	2885661	transporter
gnl|TC-DB|Q8W037|1.A.8.12.4	1.A.8.12.4	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q8W037|1.A.8.12.4	25.391	1.04e-22	95.9	82	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	2884948	2885715	transporter
gnl|TC-DB|O28846|1.A.8.13.1	1.A.8.13.1	GLYCEROL	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|O28846|1.A.8.13.1	33.624	1.96e-20	87.8	88	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	2884951	2885610	transporter
gnl|TC-DB|Q9C4Z5|1.A.8.13.2	1.A.8.13.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q9C4Z5|1.A.8.13.2	38.800	1.22e-30	117	98	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	2884951	2885670	transporter
gnl|TC-DB|D7VF10|1.A.8.13.3	1.A.8.13.3	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7VF10|1.A.8.13.3	31.950	1.53e-19	84.3	99	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	2884948	2885670	transporter
gnl|TC-DB|P18156|1.A.8.2.1	1.A.8.2.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P18156|1.A.8.2.1	29.555	3.65e-07	48.9	85	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	2884948	2885664	transporter
gnl|TC-DB|C6VJ63|1.A.8.2.4	1.A.8.2.4	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|C6VJ63|1.A.8.2.4	23.387	2.36e-09	54.7	98	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	2884948	2885664	transporter
gnl|TC-DB|D7V7W8|1.A.8.2.5	1.A.8.2.5	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7V7W8|1.A.8.2.5	26.961	4.72e-07	47.8	81	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	2884948	2885553	transporter
gnl|TC-DB|D7V8E7|1.A.8.2.6	1.A.8.2.6	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7V8E7|1.A.8.2.6	30.198	1.65e-14	70.1	79	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	2884954	2885559	transporter
gnl|TC-DB|D7VEY8|1.A.8.2.7	1.A.8.2.7	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7VEY8|1.A.8.2.7	32.536	6.33e-09	53.9	80	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	2884954	2885568	transporter
gnl|TC-DB|B5L019|1.A.8.8.15	1.A.8.8.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|B5L019|1.A.8.8.15	34.921	8.76e-32	121	87	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	2884951	2885697	transporter
gnl|TC-DB|729057658|1.A.8.8.17	1.A.8.8.17	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|729057658|1.A.8.8.17	23.381	1.99e-06	46.6	92	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	2884900	2885724	transporter
gnl|TC-DB|XP_014257049.1|1.A.8.8.27	1.A.8.8.27	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|XP_014257049.1|1.A.8.8.27	25.664	5.81e-05	42.0	75	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	2884906	2885577	transporter
gnl|TC-DB|O43315|1.A.8.9.14	1.A.8.9.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|O43315|1.A.8.9.14	29.197	1.06e-16	78.2	88	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	2884951	2885715	transporter
gnl|TC-DB|806392255|1.A.8.9.10	1.A.8.9.10	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|806392255|1.A.8.9.10	30.935	1.56e-15	74.7	89	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	2884951	2885724	transporter
gnl|TC-DB|Q8WPZ6|1.A.8.9.13	1.A.8.9.13	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q8WPZ6|1.A.8.9.13	25.455	7.78e-07	47.4	97	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	2884945	2885697	transporter
gnl|TC-DB|O43315|1.A.8.9.14	1.A.8.9.14	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|O43315|1.A.8.9.14	29.197	1.06e-16	78.2	88	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	2884951	2885715	transporter
gnl|TC-DB|ALA27401|1.A.8.9.17	1.A.8.9.17	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|ALA27401|1.A.8.9.17	28.794	1.63e-11	63.2	75	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	2884933	2885655	transporter
gnl|TC-DB|Q388I5|1.A.8.9.19	1.A.8.9.19	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q388I5|1.A.8.9.19	26.255	3.56e-08	52.4	78	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	2884930	2885655	transporter
gnl|TC-DB|P56627|1.A.8.9.2	1.A.8.9.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P56627|1.A.8.9.2	28.070	5.13e-15	73.2	91	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	2884942	2885724	transporter
gnl|TC-DB|Q6ZXT2|1.A.8.9.21	1.A.8.9.21	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q6ZXT2|1.A.8.9.21	30.400	7.78e-13	66.6	76	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	2884945	2885643	transporter
gnl|TC-DB|F6QEC2|1.A.8.9.9	1.A.8.9.9	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|F6QEC2|1.A.8.9.9	27.536	1.58e-15	74.7	89	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	2884951	2885724	transporter
gnl|TC-DB|P72602|1.B.14.1.29	1.B.14.1.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P72602|1.B.14.1.29	38.971	8.53e-136	444	94	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	3044158	3046566	transporter
gnl|TC-DB|P0C931|1.C.32.2.2	1.C.32.2.2	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0C931|1.C.32.2.2	42.857	10.0	18.5	93	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	2768960	2769001	transporter
gnl|TC-DB|P0C931|1.C.32.2.2	1.C.32.2.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P0C931|1.C.32.2.2	42.857	10.0	18.5	93	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	2768960	2769001	transporter
gnl|TC-DB|Q8TDX7|1.I.1.1.3	1.I.1.1.3	Potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q8TDX7|1.I.1.1.3	29.661	1.28e-19	87.0	75	NC_019749.1 Stanieria cyanosphaera PCC 7437 plasmid pSTA7437.02, complete sequence	17918	18610	transporter
gnl|TC-DB|Q8EDB6|2.A.102.3.4	2.A.102.3.4	glycine	EX_cpd00033_e0	rxn05582,rxn08660,rxn08661,rxn09748,rxn10537,rxn12379,rxn34381,rxn34382,rxn34466,rxn34502	gnl|TC-DB|Q8EDB6|2.A.102.3.4	25.108	2.76e-05	42.7	88	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	3778747	3778073	transporter
gnl|TC-DB|P76264|2.A.107.1.1	2.A.107.1.1	manganese	EX_cpd00030_e0	rxn05618,rxn08946,rxn08951,rxn05149,rxn08947	gnl|TC-DB|P76264|2.A.107.1.1	34.731	2.42e-26	102	89	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	578825	579316	transporter
gnl|TC-DB|O27840|2.A.107.1.2	2.A.107.1.2	manganese	EX_cpd00030_e0	rxn05618,rxn08946,rxn08951,rxn05149,rxn08947	gnl|TC-DB|O27840|2.A.107.1.2	44.848	2.86e-34	125	88	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	578825	579316	transporter
gnl|TC-DB|WP_100324686.1|2.A.107.1.4	2.A.107.1.4	manganese	EX_cpd00030_e0	rxn05618,rxn08946,rxn08951,rxn05149,rxn08947	gnl|TC-DB|WP_100324686.1|2.A.107.1.4	27.528	2.20e-13	65.1	95	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	578828	579361	transporter
gnl|TC-DB|WP_089030044.1|2.A.107.1.5	2.A.107.1.5	manganese	EX_cpd00030_e0	rxn05618,rxn08946,rxn08951,rxn05149,rxn08947	gnl|TC-DB|WP_089030044.1|2.A.107.1.5	29.282	2.05e-13	65.5	96	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	578828	579367	transporter
gnl|TC-DB|Q1P9T1|2.A.108.1.7	2.A.108.1.7	iron	EX_cpd10515_e0	rxn08473,rxn08474,rxn12504,rxn29259,rxn08476,rxn10963,rxn13286,rxn33142,rxn34369	gnl|TC-DB|Q1P9T1|2.A.108.1.7	23.279	7.84e-19	89.0	76	NC_019750.1 Stanieria cyanosphaera PCC 7437 plasmid pSTA7437.03, complete sequence	50034	48781	transporter
gnl|TC-DB|Q1P9T1|2.A.108.1.7	2.A.108.1.7	iron	EX_cpd10516_e0	rxn29260	gnl|TC-DB|Q1P9T1|2.A.108.1.7	23.279	7.84e-19	89.0	76	NC_019750.1 Stanieria cyanosphaera PCC 7437 plasmid pSTA7437.03, complete sequence	50034	48781	transporter
gnl|TC-DB|P15729|2.A.1.1.32	2.A.1.1.32	fructose	EX_cpd00082_e0	rxn09681	gnl|TC-DB|P15729|2.A.1.1.32	69.293	1.05e-132	421	79	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	3146441	3147520	transporter
gnl|TC-DB|P15729|2.A.1.1.32	2.A.1.1.32	glucose	EX_cpd00027_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|TC-DB|P15729|2.A.1.1.32	69.293	1.05e-132	421	79	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	3146441	3147520	transporter
gnl|TC-DB|P0A6J3|2.A.121.1.1	2.A.121.1.1	sulfate	EX_cpd00048_e0	rxn05651,rxn12369,rxn12811,rxn13116,rxn34447,rxn34531,rxn05238,rxn31171,rxn31183,rxn32972,rxn32975,rxn34545	gnl|TC-DB|P0A6J3|2.A.121.1.1	26.141	1.18e-17	79.7	87	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	1470026	1469316	transporter
gnl|TC-DB|Q5QUJ8|2.A.121.1.3	2.A.121.1.3	cysteine	EX_cpd00084_e0	rxn09690	gnl|TC-DB|Q5QUJ8|2.A.121.1.3	24.554	4.79e-08	51.2	81	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	1470065	1469406	transporter
gnl|TC-DB|M4XKU7|2.A.121.1.4	2.A.121.1.4	sulfate	EX_cpd00048_e0	rxn05651,rxn12369,rxn12811,rxn13116,rxn34447,rxn34531,rxn05238,rxn31171,rxn31183,rxn32972,rxn32975,rxn34545	gnl|TC-DB|M4XKU7|2.A.121.1.4	26.699	2.87e-10	57.8	80	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	1469897	1469301	transporter
gnl|TC-DB|WP_068464567.1|2.A.1.2.118	2.A.1.2.118	potassium	EX_cpd00205_e0	rxn05595,rxn05596,rxn08769,rxn08770,rxn10820,rxn38724	gnl|TC-DB|WP_068464567.1|2.A.1.2.118	21.716	5.00e-08	53.1	85	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	4260223	4259201	transporter
gnl|TC-DB|WP_068464567.1|2.A.1.2.118	2.A.1.2.118	sodium	EX_cpd00971_e0	rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|TC-DB|WP_068464567.1|2.A.1.2.118	21.716	5.00e-08	53.1	85	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	4260223	4259201	transporter
gnl|TC-DB|Q89G85|2.A.123.2.14	2.A.123.2.14	sucrose	EX_cpd00076_e0	rxn09658	gnl|TC-DB|Q89G85|2.A.123.2.14	45.122	7.80e-14	62.4	95	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	1082499	1082744	transporter
gnl|TC-DB|P0DMV3|2.A.123.2.16	2.A.123.2.16	glucose	EX_cpd00027_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|TC-DB|P0DMV3|2.A.123.2.16	41.558	1.32e-10	53.5	87	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	1082493	1082723	transporter
gnl|TC-DB|P0DMV3|2.A.123.2.16	2.A.123.2.16	sucrose	EX_cpd00076_e0	rxn09658	gnl|TC-DB|P0DMV3|2.A.123.2.16	41.558	1.32e-10	53.5	87	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	1082493	1082723	transporter
gnl|TC-DB|B0SHL1|2.A.123.2.6	2.A.123.2.6	glucose	EX_cpd00027_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|TC-DB|B0SHL1|2.A.123.2.6	45.000	5.30e-20	80.1	94	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	1082505	1082744	transporter
gnl|TC-DB|L0A2L0|2.A.1.2.81	2.A.1.2.8	chloride	EX_cpd00099_e0	rxn08233,rxn30474	gnl|TC-DB|L0A2L0|2.A.1.2.81	28.686	1.34e-18	86.7	80	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	4796444	4795341	transporter
gnl|TC-DB|L0A2L0|2.A.1.2.81	2.A.1.2.8	phenylacetate	EX_cpd00489_e0	rxn10559,rxn30233,rxn30234	gnl|TC-DB|L0A2L0|2.A.1.2.81	28.686	1.34e-18	86.7	80	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	4796444	4795341	transporter
gnl|TC-DB|L0A2L0|2.A.1.2.81	2.A.1.2.8	spermidine	EX_cpd00264_e0	rxn05652,rxn09660,rxn29135,rxn34532,rxn34533,rxn11262	gnl|TC-DB|L0A2L0|2.A.1.2.81	28.686	1.34e-18	86.7	80	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	4796444	4795341	transporter
gnl|TC-DB|C5W790|2.A.1.3.36	2.A.1.3.36	cysteine	EX_cpd00084_e0	rxn09690	gnl|TC-DB|C5W790|2.A.1.3.36	23.824	5.80e-09	55.8	78	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	2763795	2762965	transporter
gi|ref|WP_082754163.1|2.A.14.1.1	2.A.14.1.1	glycolate	EX_cpd00139_e0	rxn05470,rxn08651,rxn08652,rxn12367	gi|ref|WP_082754163.1|2.A.14.1.1	27.372	8.62e-30	122	95	NC_019765.1 Stanieria cyanosphaera PCC 7437 plasmid pSTA7437.01, complete sequence	204186	202573	transporter
gi|ref|WP_082754163.1|2.A.14.1.1	2.A.14.1.1	lactate	EX_cpd00159_e0	rxn05602,rxn08794,rxn10818,rxn12365,rxn13334	gi|ref|WP_082754163.1|2.A.14.1.1	27.372	8.62e-30	122	95	NC_019765.1 Stanieria cyanosphaera PCC 7437 plasmid pSTA7437.01, complete sequence	204186	202573	transporter
gi|ref|WP_082754163.1|2.A.14.1.1	2.A.14.1.1	lactate	EX_cpd00221_e0	rxn08350,rxn09772,rxn10171,rxn12366	gi|ref|WP_082754163.1|2.A.14.1.1	27.372	8.62e-30	122	95	NC_019765.1 Stanieria cyanosphaera PCC 7437 plasmid pSTA7437.01, complete sequence	204186	202573	transporter
gnl|TC-DB|Q46839|2.A.14.1.2	2.A.14.1.2	glycolate	EX_cpd00139_e0	rxn05470,rxn08651,rxn08652,rxn12367	gnl|TC-DB|Q46839|2.A.14.1.2	26.560	1.75e-23	103	94	NC_019765.1 Stanieria cyanosphaera PCC 7437 plasmid pSTA7437.01, complete sequence	204156	202531	transporter
gnl|TC-DB|Q46839|2.A.14.1.2	2.A.14.1.2	lactate	EX_cpd00159_e0	rxn05602,rxn08794,rxn10818,rxn12365,rxn13334	gnl|TC-DB|Q46839|2.A.14.1.2	26.560	1.75e-23	103	94	NC_019765.1 Stanieria cyanosphaera PCC 7437 plasmid pSTA7437.01, complete sequence	204156	202531	transporter
gnl|TC-DB|Q46839|2.A.14.1.2	2.A.14.1.2	lactate	EX_cpd00221_e0	rxn08350,rxn09772,rxn10171,rxn12366	gnl|TC-DB|Q46839|2.A.14.1.2	26.560	1.75e-23	103	94	NC_019765.1 Stanieria cyanosphaera PCC 7437 plasmid pSTA7437.01, complete sequence	204156	202531	transporter
