# gapseq version: 1.4.0 27684cdd
# Transporter sequence DB md5sum: b99a77e (2025-02-28)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|P76298|1.A.104.1.1	1.A.104.1.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P76298|1.A.104.1.1	39.493	3.59e-84	288	79	NC_022997.1 Hyphomicrobium nitrativorans NL23, complete sequence	831289	832929	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	33.955	3.79e-31	119	95	NC_022997.1 Hyphomicrobium nitrativorans NL23, complete sequence	1210245	1211030	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	32.432	3.26e-23	96.7	87	NC_022997.1 Hyphomicrobium nitrativorans NL23, complete sequence	674914	674141	transporter
gnl|TC-DB|P0ACA3|1.A.12.3.1	1.A.12.3.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0ACA3|1.A.12.3.1	24.862	9.59e-05	39.7	76	NC_022997.1 Hyphomicrobium nitrativorans NL23, complete sequence	1123696	1124217	transporter
gnl|TC-DB|P54710|1.A.27.2.1	1.A.27.2.1	POTASSIUM	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P54710|1.A.27.2.1	30.357	2.6	22.7	85	NC_022997.1 Hyphomicrobium nitrativorans NL23, complete sequence	1861148	1861297	transporter
gnl|TC-DB|P54710|1.A.27.2.1	1.A.27.2.1	SODIUM	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P54710|1.A.27.2.1	30.357	2.6	22.7	85	NC_022997.1 Hyphomicrobium nitrativorans NL23, complete sequence	1861148	1861297	transporter
gnl|TC-DB|P55891|1.A.30.1.7	1.A.30.1.7	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P55891|1.A.30.1.7	42.545	8.13e-61	206	93	NC_022997.1 Hyphomicrobium nitrativorans NL23, complete sequence	838996	839820	transporter
gnl|TC-DB|P0ABU7|1.A.30.2.1	1.A.30.2.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABU7|1.A.30.2.1	55.066	1.31e-71	234	93	NC_022997.1 Hyphomicrobium nitrativorans NL23, complete sequence	898710	898036	transporter
gnl|TC-DB|P0ABU9|1.A.30.2.2	1.A.30.2.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABU9|1.A.30.2.2	41.743	1.82e-45	159	95	NC_022997.1 Hyphomicrobium nitrativorans NL23, complete sequence	1760178	1760822	transporter
gnl|TC-DB|Q41951|1.A.8.10.10	1.A.8.10.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q41951|1.A.8.10.10	35.814	1.26e-18	82.0	81	NC_022997.1 Hyphomicrobium nitrativorans NL23, complete sequence	3145415	3146023	transporter
gnl|TC-DB|Q9XG70|1.A.8.10.2	1.A.8.10.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q9XG70|1.A.8.10.2	32.099	8.20e-19	82.4	89	NC_022997.1 Hyphomicrobium nitrativorans NL23, complete sequence	3145337	3146038	transporter
gnl|TC-DB|P25818|1.A.8.10.3	1.A.8.10.3	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P25818|1.A.8.10.3	30.709	2.63e-14	69.3	93	NC_022997.1 Hyphomicrobium nitrativorans NL23, complete sequence	3145337	3146065	transporter
