# gapseq version: 1.4.0 27684cdd
# Transporter sequence DB md5sum: b99a77e (2025-02-28)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|Q84568|1.A.1.12.1	1.A.1.12.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q84568|1.A.1.12.1	27.711	1.45e-05	40.8	95	NZ_CP016211.1 Minicystis rosea strain DSM 24000 chromosome, complete genome	3699839	3699597	transporter
gnl|TC-DB|A7K9J5|1.A.1.12.2	1.A.1.12.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|A7K9J5|1.A.1.12.2	31.343	0.006	32.7	82	NZ_CP016211.1 Minicystis rosea strain DSM 24000 chromosome, complete genome	3699764	3699585	transporter
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|QOC69403.1|1.A.1.12.6	23.077	0.64	27.7	77	NZ_CP016211.1 Minicystis rosea strain DSM 24000 chromosome, complete genome	3699809	3699576	transporter
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|QOC69403.1|1.A.1.12.6	23.077	0.64	27.7	77	NZ_CP016211.1 Minicystis rosea strain DSM 24000 chromosome, complete genome	3699809	3699576	transporter
gnl|TC-DB|O27564|1.A.1.13.2	1.A.1.13.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|O27564|1.A.1.13.2	24.074	1.03e-07	52.8	76	NZ_CP016211.1 Minicystis rosea strain DSM 24000 chromosome, complete genome	1898878	1898090	transporter
gnl|TC-DB|P74405|1.A.1.13.6	1.A.1.13.6	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P74405|1.A.1.13.6	27.237	2.59e-36	144	87	NZ_CP016211.1 Minicystis rosea strain DSM 24000 chromosome, complete genome	1899436	1898054	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	37.165	1.61e-25	104	98	NZ_CP016211.1 Minicystis rosea strain DSM 24000 chromosome, complete genome	9190395	9189637	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	50.877	9.21e-71	236	100	NZ_CP016211.1 Minicystis rosea strain DSM 24000 chromosome, complete genome	1075885	1075031	transporter
gnl|TC-DB|Q9FWR4|1.A.12.2.1	1.A.12.2.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q9FWR4|1.A.12.2.1	27.014	3.50e-09	55.1	84	NZ_CP016211.1 Minicystis rosea strain DSM 24000 chromosome, complete genome	11229418	11228798	transporter
gnl|TC-DB|Q8F2Y8|1.A.12.2.2	1.A.12.2.2	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q8F2Y8|1.A.12.2.2	26.012	2.42e-09	55.8	82	NZ_CP016211.1 Minicystis rosea strain DSM 24000 chromosome, complete genome	2311063	2311581	transporter
gnl|TC-DB|P0ACA3|1.A.12.3.1	1.A.12.3.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0ACA3|1.A.12.3.1	24.599	0.002	37.7	91	NZ_CP016211.1 Minicystis rosea strain DSM 24000 chromosome, complete genome	4829324	4829860	transporter
gnl|TC-DB|P78508|1.A.2.1.16	1.A.2.1.16	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P78508|1.A.2.1.16	27.972	5.24e-24	103	75	NZ_CP016211.1 Minicystis rosea strain DSM 24000 chromosome, complete genome	11421896	11421111	transporter
gnl|TC-DB|O60928|1.A.2.1.8	1.A.2.1.8	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|O60928|1.A.2.1.8	27.891	1.27e-20	92.8	80	NZ_CP016211.1 Minicystis rosea strain DSM 24000 chromosome, complete genome	3699851	3699057	transporter
gnl|TC-DB|P83698|1.A.2.2.1	1.A.2.2.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P83698|1.A.2.2.1	37.049	1.57e-64	220	92	NZ_CP016211.1 Minicystis rosea strain DSM 24000 chromosome, complete genome	11422016	11421117	transporter
gnl|TC-DB|P83698|1.A.2.2.1	1.A.2.2.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P83698|1.A.2.2.1	37.049	1.57e-64	220	92	NZ_CP016211.1 Minicystis rosea strain DSM 24000 chromosome, complete genome	11422016	11421117	transporter
gnl|TC-DB|D9N164|1.A.2.2.2	1.A.2.2.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|D9N164|1.A.2.2.2	46.809	4.35e-81	266	94	NZ_CP016211.1 Minicystis rosea strain DSM 24000 chromosome, complete genome	11421947	11421114	transporter
gnl|TC-DB|Q7NZ13|1.A.2.2.3	1.A.2.2.3	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q7NZ13|1.A.2.2.3	36.458	4.55e-63	214	99	NZ_CP016211.1 Minicystis rosea strain DSM 24000 chromosome, complete genome	11421953	11421114	transporter
gnl|TC-DB|Q6ZEQ2|1.A.2.2.4	1.A.2.2.4	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q6ZEQ2|1.A.2.2.4	40.493	7.15e-76	251	92	NZ_CP016211.1 Minicystis rosea strain DSM 24000 chromosome, complete genome	11421965	11421114	transporter
