# gapseq version: 1.4.0 27684cdd
# Transporter sequence DB md5sum: b99a77e (2025-02-28)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|P73797|1.A.10.2.1	1.A.10.2.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P73797|1.A.10.2.1	32.840	3.36e-38	144	85	NZ_AP017367.1 Leptolyngbya sp. O-77 chromosome, complete genome	5128215	5127241	transporter
gnl|TC-DB|B5FDH7|1.A.10.2.4	1.A.10.2.4	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|B5FDH7|1.A.10.2.4	29.240	4.91e-32	125	92	NZ_AP017367.1 Leptolyngbya sp. O-77 chromosome, complete genome	5128221	5127235	transporter
gnl|TC-DB|M1I9Q3|1.A.1.12.4	1.A.1.12.4	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|M1I9Q3|1.A.1.12.4	25.532	0.050	29.3	98	NZ_AP017367.1 Leptolyngbya sp. O-77 chromosome, complete genome	4085965	4085711	transporter
gnl|TC-DB|Q58752|1.A.1.13.10	1.A.1.13.10	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q58752|1.A.1.13.10	33.127	7.24e-41	150	90	NZ_AP017367.1 Leptolyngbya sp. O-77 chromosome, complete genome	902001	902942	transporter
gnl|TC-DB|P74405|1.A.1.13.6	1.A.1.13.6	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P74405|1.A.1.13.6	58.318	0.0	612	98	NZ_AP017367.1 Leptolyngbya sp. O-77 chromosome, complete genome	3840468	3842135	transporter
gnl|TC-DB|P73132|1.A.1.13.7	1.A.1.13.7	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P73132|1.A.1.13.7	32.110	1.33e-41	153	86	NZ_AP017367.1 Leptolyngbya sp. O-77 chromosome, complete genome	901968	902942	transporter
gnl|TC-DB|Q57604|1.A.1.13.8	1.A.1.13.8	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q57604|1.A.1.13.8	31.746	2.61e-43	157	89	NZ_AP017367.1 Leptolyngbya sp. O-77 chromosome, complete genome	902034	902966	transporter
gnl|TC-DB|E8QNY4|1.A.1.13.9	1.A.1.13.9	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|E8QNY4|1.A.1.13.9	24.038	9.79e-19	85.9	78	NZ_AP017367.1 Leptolyngbya sp. O-77 chromosome, complete genome	902040	902936	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	29.060	3.19e-17	79.0	96	NZ_AP017367.1 Leptolyngbya sp. O-77 chromosome, complete genome	4518375	4517674	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	36.726	4.42e-30	117	78	NZ_AP017367.1 Leptolyngbya sp. O-77 chromosome, complete genome	3625311	3624649	transporter
gnl|TC-DB|P0ACA3|1.A.12.3.1	1.A.12.3.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0ACA3|1.A.12.3.1	23.445	3.60e-06	44.7	92	NZ_AP017367.1 Leptolyngbya sp. O-77 chromosome, complete genome	1615130	1615744	transporter
gnl|TC-DB|Q08U57|1.A.1.24.2	1.A.1.24.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q08U57|1.A.1.24.2	30.457	4.14e-12	62.8	84	NZ_AP017367.1 Leptolyngbya sp. O-77 chromosome, complete genome	4086178	4085618	transporter
gnl|TC-DB|Q1D027|1.A.1.24.3	1.A.1.24.3	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q1D027|1.A.1.24.3	30.855	1.90e-16	77.0	96	NZ_AP017367.1 Leptolyngbya sp. O-77 chromosome, complete genome	4086382	4085618	transporter
gnl|TC-DB|B7K3R7|1.A.1.24.4	1.A.1.24.4	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|B7K3R7|1.A.1.24.4	48.669	1.16e-56	193	98	NZ_AP017367.1 Leptolyngbya sp. O-77 chromosome, complete genome	4086388	4085600	transporter
gnl|TC-DB|Q55834|1.A.30.2.11	1.A.30.2.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q55834|1.A.30.2.11	68.599	4.84e-71	234	87	NZ_AP017367.1 Leptolyngbya sp. O-77 chromosome, complete genome	2539248	2539868	transporter
gnl|TC-DB|P0ABU9|1.A.30.2.2	1.A.30.2.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABU9|1.A.30.2.2	25.221	1.62e-06	46.2	94	NZ_AP017367.1 Leptolyngbya sp. O-77 chromosome, complete genome	2539248	2539862	transporter
gnl|TC-DB|W9BH30|1.A.46.2.8	1.A.46.2.8	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|W9BH30|1.A.46.2.8	32.026	2.18e-33	127	95	NZ_AP017367.1 Leptolyngbya sp. O-77 chromosome, complete genome	4674325	4673423	transporter
