# gapseq version: 1.4.0 27684cdd
# Transporter sequence DB md5sum: b99a77e (2025-02-28)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|P76298|1.A.104.1.1	1.A.104.1.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P76298|1.A.104.1.1	45.427	1.08e-104	348	94	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	276149	274185	transporter
gnl|TC-DB|Q84568|1.A.1.12.1	1.A.1.12.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q84568|1.A.1.12.1	34.483	0.021	30.0	91	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	475427	475666	transporter
gnl|TC-DB|AET84893|1.A.1.12.5	1.A.1.12.5	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|AET84893|1.A.1.12.5	28.571	0.011	30.4	80	NZ_CP028919.1 Gemmobacter aquarius strain HYN0069 plasmid unnamed1, complete sequence	241421	241630	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	36.735	8.48e-18	80.1	97	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	2271113	2270529	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	32.636	1.77e-20	89.0	86	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	379801	379097	transporter
gnl|TC-DB|O00299|1.A.12.1.2	1.A.12.1.2	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|O00299|1.A.12.1.2	24.576	0.23	30.0	91	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	3033965	3033327	transporter
gnl|TC-DB|Q8F2Y8|1.A.12.2.2	1.A.12.2.2	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q8F2Y8|1.A.12.2.2	29.609	5.28e-16	73.6	75	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	3509557	3510075	transporter
gnl|TC-DB|P0ACA3|1.A.12.3.1	1.A.12.3.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0ACA3|1.A.12.3.1	24.272	1.73e-07	48.1	91	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	3509557	3510171	transporter
gnl|TC-DB|Q08U57|1.A.1.24.2	1.A.1.24.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q08U57|1.A.1.24.2	26.562	6.52e-09	53.1	97	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	475085	475789	transporter
gnl|TC-DB|Q1D027|1.A.1.24.3	1.A.1.24.3	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q1D027|1.A.1.24.3	27.559	1.38e-19	85.9	89	NZ_CP028919.1 Gemmobacter aquarius strain HYN0069 plasmid unnamed1, complete sequence	240950	241705	transporter
gnl|TC-DB|P54710|1.A.27.2.1	1.A.27.2.1	POTASSIUM	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P54710|1.A.27.2.1	30.769	9.9	21.6	79	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	1943005	1942871	transporter
gnl|TC-DB|P54710|1.A.27.2.1	1.A.27.2.1	SODIUM	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P54710|1.A.27.2.1	30.769	9.9	21.6	79	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	1943005	1942871	transporter
gnl|TC-DB|O06873|1.A.30.1.2	1.A.30.1.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|O06873|1.A.30.1.2	43.697	7.99e-57	192	94	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	517035	516322	transporter
gnl|TC-DB|P39063|1.A.30.1.4	1.A.30.1.4	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P39063|1.A.30.1.4	38.117	8.12e-42	150	82	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	516948	516286	transporter
gnl|TC-DB|Q8EGR6|1.A.30.1.6	1.A.30.1.6	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q8EGR6|1.A.30.1.6	44.223	2.42e-44	157	97	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	517035	516283	transporter
gnl|TC-DB|P55891|1.A.30.1.7	1.A.30.1.7	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P55891|1.A.30.1.7	38.462	4.04e-52	181	96	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	3668975	3669829	transporter
gnl|TC-DB|P0ABU7|1.A.30.2.1	1.A.30.2.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABU7|1.A.30.2.1	38.158	1.46e-32	122	90	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	672298	672957	transporter
gnl|TC-DB|P0ABU9|1.A.30.2.2	1.A.30.2.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABU9|1.A.30.2.2	44.954	6.65e-54	183	95	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	672304	672951	transporter
gnl|TC-DB|Q50E47|1.A.98.1.2	1.A.98.1.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q50E47|1.A.98.1.2	40.000	0.020	28.5	95	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	1537274	1537149	transporter
gnl|TC-DB|P33369|1.B.17.3.10	1.B.17.3.10	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P33369|1.B.17.3.10	22.381	3.34e-06	47.0	83	NZ_CP028919.1 Gemmobacter aquarius strain HYN0069 plasmid unnamed1, complete sequence	190172	191269	transporter
gnl|TC-DB|P71469|1.C.29.1.1	1.C.29.1.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P71469|1.C.29.1.1	35.417	0.092	26.6	98	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	2930872	2930729	transporter
gnl|TC-DB|P0C931|1.C.32.2.2	1.C.32.2.2	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0C931|1.C.32.2.2	42.857	7.6	18.5	93	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	3535094	3535053	transporter
gnl|TC-DB|P0C931|1.C.32.2.2	1.C.32.2.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P0C931|1.C.32.2.2	42.857	7.6	18.5	93	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	3535094	3535053	transporter
gnl|TC-DB|Q8EDB6|2.A.102.3.4	2.A.102.3.4	glycine	EX_cpd00033_e0	rxn05582,rxn08660,rxn08661,rxn09748,rxn10537,rxn12379,rxn34381,rxn34382,rxn34466,rxn34502	gnl|TC-DB|Q8EDB6|2.A.102.3.4	45.148	2.52e-51	177	88	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	264471	265178	transporter
gnl|TC-DB|P64534|2.A.113.1.1	2.A.113.1.1	cobalt	EX_cpd00149_e0	rxn08240,rxn13681,rxn08242,rxn10474	gnl|TC-DB|P64534|2.A.113.1.1	22.549	0.77	26.2	90	NZ_CP028919.1 Gemmobacter aquarius strain HYN0069 plasmid unnamed1, complete sequence	207954	208253	transporter
gnl|TC-DB|P64534|2.A.113.1.1	2.A.113.1.1	nickel	EX_cpd00244_e0	rxn08990,rxn08992,rxn10581,rxn13730	gnl|TC-DB|P64534|2.A.113.1.1	22.549	0.77	26.2	90	NZ_CP028919.1 Gemmobacter aquarius strain HYN0069 plasmid unnamed1, complete sequence	207954	208253	transporter
gnl|TC-DB|Q87QJ4|2.A.117.1.13	2.A.117.1.13	chloride	EX_cpd00099_e0	rxn08233,rxn30474	gnl|TC-DB|Q87QJ4|2.A.117.1.13	28.571	1.13e-14	67.0	89	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	2274087	2274464	transporter
gnl|TC-DB|Q8XG43|2.A.117.1.3	2.A.117.1.3	cadaverine	EX_cpd01155_e0	rxn27376	gnl|TC-DB|Q8XG43|2.A.117.1.3	36.090	5.40e-17	74.3	82	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	2274063	2274458	transporter
gnl|TC-DB|Q8XG43|2.A.117.1.3	2.A.117.1.3	spermidine	EX_cpd00264_e0	rxn05652,rxn09660,rxn29135,rxn34532,rxn34533,rxn11262	gnl|TC-DB|Q8XG43|2.A.117.1.3	36.090	5.40e-17	74.3	82	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	2274063	2274458	transporter
gnl|TC-DB|P31436|2.A.1.20.3	2.A.1.20.3	arabinose	EX_cpd00185_e0	rxn12574	gnl|TC-DB|P31436|2.A.1.20.3	24.290	2.45e-05	43.9	77	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	3030096	3030992	transporter
gnl|TC-DB|P31436|2.A.1.20.3	2.A.1.20.3	arabinose	EX_cpd00224_e0	rxn05500,rxn08140,rxn08141	gnl|TC-DB|P31436|2.A.1.20.3	24.290	2.45e-05	43.9	77	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	3030096	3030992	transporter
gnl|TC-DB|P0A6J3|2.A.121.1.1	2.A.121.1.1	sulfate	EX_cpd00048_e0	rxn05651,rxn12369,rxn12811,rxn13116,rxn34447,rxn34531,rxn05238,rxn31171,rxn31183,rxn32972,rxn32975,rxn34545	gnl|TC-DB|P0A6J3|2.A.121.1.1	24.324	0.23	30.0	85	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	2660768	2661385	transporter
gnl|TC-DB|Q56RY7|2.A.1.2.38	2.A.1.2.3	arabinose	EX_cpd00185_e0	rxn12574	gnl|TC-DB|Q56RY7|2.A.1.2.38	48.571	5.54e-112	357	97	NZ_CP028920.1 Gemmobacter aquarius strain HYN0069 plasmid unnamed2, complete sequence	123846	122692	transporter
gnl|TC-DB|Q56RY7|2.A.1.2.38	2.A.1.2.3	arabinose	EX_cpd00224_e0	rxn05500,rxn08140,rxn08141	gnl|TC-DB|Q56RY7|2.A.1.2.38	48.571	5.54e-112	357	97	NZ_CP028920.1 Gemmobacter aquarius strain HYN0069 plasmid unnamed2, complete sequence	123846	122692	transporter
gnl|TC-DB|Q56RY7|2.A.1.2.38	2.A.1.2.3	potassium	EX_cpd00205_e0	rxn05595,rxn05596,rxn08769,rxn08770,rxn10820,rxn38724	gnl|TC-DB|Q56RY7|2.A.1.2.38	48.571	5.54e-112	357	97	NZ_CP028920.1 Gemmobacter aquarius strain HYN0069 plasmid unnamed2, complete sequence	123846	122692	transporter
gnl|TC-DB|P37597|2.A.1.2.62	2.A.1.2.62	adenosine	EX_cpd00182_e0	rxn05318,rxn08068,rxn12381	gnl|TC-DB|P37597|2.A.1.2.62	29.118	2.68e-28	115	81	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	1392127	1391123	transporter
gnl|TC-DB|P37597|2.A.1.2.62	2.A.1.2.62	arabinose	EX_cpd00185_e0	rxn12574	gnl|TC-DB|P37597|2.A.1.2.62	29.118	2.68e-28	115	81	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	1392127	1391123	transporter
gnl|TC-DB|P37597|2.A.1.2.62	2.A.1.2.62	arabinose	EX_cpd00224_e0	rxn05500,rxn08140,rxn08141	gnl|TC-DB|P37597|2.A.1.2.62	29.118	2.68e-28	115	81	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	1392127	1391123	transporter
gnl|TC-DB|P37597|2.A.1.2.62	2.A.1.2.62	guanosine	EX_cpd00311_e0	rxn05204,rxn08671,rxn09747,rxn12427,rxn28613	gnl|TC-DB|P37597|2.A.1.2.62	29.118	2.68e-28	115	81	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	1392127	1391123	transporter
