# gapseq version: 1.4.0 27684cdd
# Sequence DB md5sum: 954ab58 (2024-11-06, Bacteria)
# Genome format: nucl
rxn	name	ec	bihit	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	status	pathway.status	dbhit	complex	exception	complex.status
DHLAXANAU-RXN	1,2-dichloroethane dehalogenase	3.8.1.5	NA	UniRef90_P59336	28.269	1.44e-13	68.2	94	NC_022997.1 Hyphomicrobium nitrativorans NL23, complete sequence	3461556	3460771	|12DICHLORETHDEG-PWY|	bad_blast	NA	rxn03596 rxn03668 rxn03669 rxn03670 rxn03671 rxn06155 rxn07484 rxn07485 rxn19882 	NA	0	NA
MOXXANAU-RXN	2-chloroethanol dehydrogenase	1.1.2.7		UniRef90_P12293	76.412	0.0	983	95	NC_022997.1 Hyphomicrobium nitrativorans NL23, complete sequence	3025359	3023554	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00847 rxn01796 rxn12745 rxn14207 rxn15989 rxn15990 rxn21641 rxn23811 	Subunit 1	0	1
MOXXANAU-RXN	2-chloroethanol dehydrogenase	1.1.2.7		UniRef90_P12293	45.757	3.00e-166	524	95	NC_022997.1 Hyphomicrobium nitrativorans NL23, complete sequence	2766230	2764458	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00847 rxn01796 rxn12745 rxn14207 rxn15989 rxn15990 rxn21641 rxn23811 	Subunit 1	0	1
MOXXANAU-RXN	2-chloroethanol dehydrogenase	1.1.2.7		UniRef90_P12293	39.444	3.91e-124	402	95	NC_022997.1 Hyphomicrobium nitrativorans NL23, complete sequence	706641	708437	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00847 rxn01796 rxn12745 rxn14207 rxn15989 rxn15990 rxn21641 rxn23811 	Subunit 1	0	1
MOXXANAU-RXN	2-chloroethanol dehydrogenase	1.1.2.7		UniRef90_P12293	37.340	1.61e-116	380	95	NC_022997.1 Hyphomicrobium nitrativorans NL23, complete sequence	3368372	3366543	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00847 rxn01796 rxn12745 rxn14207 rxn15989 rxn15990 rxn21641 rxn23811 	Subunit 1	0	1
MOXXANAU-RXN	2-chloroethanol dehydrogenase	1.1.2.7		UniRef90_P12293	31.313	4.57e-65	230	95	NC_022997.1 Hyphomicrobium nitrativorans NL23, complete sequence	2637795	2636095	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00847 rxn01796 rxn12745 rxn14207 rxn15989 rxn15990 rxn21641 rxn23811 	Subunit 1	0	1
MOXXANAU-RXN	2-chloroethanol dehydrogenase	1.1.2.7		UniRef90_P12293	30.993	4.72e-62	221	95	NC_022997.1 Hyphomicrobium nitrativorans NL23, complete sequence	1470310	1468703	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00847 rxn01796 rxn12745 rxn14207 rxn15989 rxn15990 rxn21641 rxn23811 	Subunit 1	0	1
MOXXANAU-RXN	2-chloroethanol dehydrogenase	1.1.2.7		UniRef90_P29898	61.250	1.59e-27	101	78	NC_022997.1 Hyphomicrobium nitrativorans NL23, complete sequence	3021571	3021332	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00847 rxn01796 rxn12745 rxn14207 rxn15989 rxn15990 rxn21641 rxn23811 	Subunit 2	0	1
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4		UniRef90_P37685	71.006	0.0	735	99	NC_022997.1 Hyphomicrobium nitrativorans NL23, complete sequence	2652121	2653641	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	1
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4		UniRef90_P37685	32.106	7.48e-65	226	99	NC_022997.1 Hyphomicrobium nitrativorans NL23, complete sequence	1481154	1479730	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	1
