# gapseq version: 1.4.0 27684cdd
# Transporter sequence DB md5sum: b99a77e (2025-02-28)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	34.450	1.90e-13	67.0	96	NZ_CP043808.1 Serinicoccus marinus DSM 15273 chromosome, complete genome	1899167	1898574	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	30.568	1.54e-09	55.8	80	NZ_CP043808.1 Serinicoccus marinus DSM 15273 chromosome, complete genome	117104	116451	transporter
gnl|TC-DB|Q8Y5K1|1.A.1.17.2	1.A.1.17.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q8Y5K1|1.A.1.17.2	32.653	1.53e-22	93.2	75	NZ_CP043808.1 Serinicoccus marinus DSM 15273 chromosome, complete genome	1079032	1078466	transporter
gnl|TC-DB|P54710|1.A.27.2.1	1.A.27.2.1	POTASSIUM	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P54710|1.A.27.2.1	30.357	0.089	26.9	85	NZ_CP043808.1 Serinicoccus marinus DSM 15273 chromosome, complete genome	3013069	3013206	transporter
gnl|TC-DB|P54710|1.A.27.2.1	1.A.27.2.1	SODIUM	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P54710|1.A.27.2.1	30.357	0.089	26.9	85	NZ_CP043808.1 Serinicoccus marinus DSM 15273 chromosome, complete genome	3013069	3013206	transporter
gnl|TC-DB|AJP61612.1|1.A.40.1.2	1.A.40.1.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|AJP61612.1|1.A.40.1.2	32.000	1.1	24.3	98	NZ_CP043808.1 Serinicoccus marinus DSM 15273 chromosome, complete genome	178878	179102	transporter
gnl|TC-DB|AJP61612.1|1.A.40.1.2	1.A.40.1.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|AJP61612.1|1.A.40.1.2	32.000	1.1	24.3	98	NZ_CP043808.1 Serinicoccus marinus DSM 15273 chromosome, complete genome	178878	179102	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q981D4|1.A.62.3.1	35.814	8.41e-13	63.5	95	NZ_CP043808.1 Serinicoccus marinus DSM 15273 chromosome, complete genome	1445088	1445720	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q981D4|1.A.62.3.1	35.814	8.41e-13	63.5	95	NZ_CP043808.1 Serinicoccus marinus DSM 15273 chromosome, complete genome	1445088	1445720	transporter
gnl|TC-DB|Q9XG70|1.A.8.10.2	1.A.8.10.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q9XG70|1.A.8.10.2	27.919	1.80e-05	42.4	77	NZ_CP043808.1 Serinicoccus marinus DSM 15273 chromosome, complete genome	2886951	2887508	transporter
