# gapseq version: 1.4.0 27684cdd
# Sequence DB md5sum: 954ab58 (2024-11-06, Bacteria)
# Genome format: nucl
rxn	name	ec	bihit	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	status	pathway.status	dbhit	complex	exception	complex.status
DHLAXANAU-RXN	1,2-dichloroethane dehalogenase	3.8.1.5	NA	UniRef90_Q73Y99	29.008	3.85e-19	85.5	88	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	3945514	3946269	|12DICHLORETHDEG-PWY|	bad_blast	NA	rxn03596 rxn03668 rxn03669 rxn03670 rxn03671 rxn06155 rxn07484 rxn07485 rxn19882 	NA	0	NA
MOXXANAU-RXN	2-chloroethanol dehydrogenase	1.1.2.7	NA									|12DICHLORETHDEG-PWY|	no_blast	NA	rxn00847 rxn01796 rxn12745 rxn14207 rxn15989 rxn15990 rxn21641 rxn23811 	Subunit 1	0	NA
MOXXANAU-RXN	2-chloroethanol dehydrogenase	1.1.2.7	NA	UniRef90_Q09053	42.857	6.9	19.2	100	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	3710523	3710482	|12DICHLORETHDEG-PWY|	bad_blast	NA	rxn00847 rxn01796 rxn12745 rxn14207 rxn15989 rxn15990 rxn21641 rxn23811 	Subunit 2	0	NA
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4		UniRef90_P37685	32.143	4.00e-48	177	94	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	2866348	2867724	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	1
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4		UniRef90_P37685	27.826	1.99e-42	160	94	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	561541	562887	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	1
DHLBXANAU-RXN	chloroacetate dehalogenase	3.8.1.3		UniRef90_Q1JU72	43.945	1.24e-81	266	97	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	1722643	1723506	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn02050 rxn03599 rxn06154 rxn19881 	NA	0	1
DIOXYXANFL-RXN	1,4-dichlorobenzene dioxygenase	1.14.12.26	NA									|14DICHLORBENZDEG-PWY|	no_blast	NA	rxn04646 rxn04671 rxn25893 rxn25906 	Subunit 1	0	1
DIOXYXANFL-RXN	1,4-dichlorobenzene dioxygenase	1.14.12.26	NA									|14DICHLORBENZDEG-PWY|	no_blast	NA	rxn04646 rxn04671 rxn25893 rxn25906 	Subunit 2	0	1
DIOXYXANFL-RXN	1,4-dichlorobenzene dioxygenase	1.14.12.26		sp|O24679|TECA4_CUPXP	31.232	1.44e-45	166	84	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	979872	978826	|14DICHLORBENZDEG-PWY|	good_blast	NA	rxn04646 rxn04671 rxn25893 rxn25906 	Subunit undefined	0	1
CHLOROBENDDH-RXN	1,4-dichlorobenzene cis-dihydrodiol dehydrogenase	1.3.1.119	NA	UniRef90_O69264	30.213	2.27e-15	73.6	89	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	2458501	2459148	|14DICHLORBENZDEG-PWY|	bad_blast	NA	rxn04647 rxn04672 rxn25894 rxn25907 	NA	0	NA
CHLOROCATDIOXY-RXN	3,6-dichlorocatechol 1,2-dioxygenase		NA									|14DICHLORBENZDEG-PWY|	no_blast	NA	 	NA	0	NA
DIENELACHYDRO-RXN	2-chloro-trans-dienelactone hydrolase	3.1.1.45		UniRef90_Q8ZAL4	32.489	5.39e-32	122	87	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	2195421	2194750	|14DICHLORBENZDEG-PWY|	good_blast	NA	rxn02747 rxn03800 rxn03801 rxn04650 rxn04653 rxn07908 rxn07909 rxn15998 rxn16082 rxn16084 rxn31706 rxn31716 	NA	0	1
DIENELACHYDRO-RXN	2-chloro-trans-dienelactone hydrolase	3.1.1.45		UniRef90_Q8ZAL4	27.426	5.88e-29	113	87	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	835967	835284	|14DICHLORBENZDEG-PWY|	good_blast	NA	rxn02747 rxn03800 rxn03801 rxn04650 rxn04653 rxn07908 rxn07909 rxn15998 rxn16082 rxn16084 rxn31706 rxn31716 	NA	0	1
DIENELACHYDRO-RXN	2-chloro-trans-dienelactone hydrolase	3.1.1.45		UniRef90_Q8Z3B8	28.509	5.39e-27	107	96	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	2195421	2194750	|14DICHLORBENZDEG-PWY|	good_blast	NA	rxn02747 rxn03800 rxn03801 rxn04650 rxn04653 rxn07908 rxn07909 rxn15998 rxn16082 rxn16084 rxn31706 rxn31716 	NA	0	1
DIENELACHYDRO-RXN	2-chloro-trans-dienelactone hydrolase	3.1.1.45		UniRef90_Q8Z3B8	26.613	2.36e-25	102	96	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	835991	835275	|14DICHLORBENZDEG-PWY|	good_blast	NA	rxn02747 rxn03800 rxn03801 rxn04650 rxn04653 rxn07908 rxn07909 rxn15998 rxn16082 rxn16084 rxn31706 rxn31716 	NA	0	1
CHLOROMALERED-RXN	2-chloromaleylacetate reductase	1.3.1.32	NA	tr|Q471H8|Q471H8_CUPPJ	25.543	2.94e-22	96.3	86	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	3755990	3757084	|14DICHLORBENZDEG-PWY|	bad_blast	NA	rxn02141 rxn02142 rxn03656 rxn16086 rxn20159 	NA	0	NA
MALEYLACETATE-REDUCTASE-RXN	2-maleylacetate reductase	1.3.1.32		tr|C1I208|C1I208_PSEWB	33.814	3.49e-63	220	97	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	2866372	2867790	|14DICHLORBENZDEG-PWY|	good_blast	NA	rxn02141 rxn02142 rxn03656 rxn16086 rxn20159 	NA	0	1
MALEYLACETATE-REDUCTASE-RXN	2-maleylacetate reductase	1.3.1.32		tr|C1I208|C1I208_PSEWB	31.296	3.77e-58	206	97	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	561694	562890	|14DICHLORBENZDEG-PWY|	good_blast	NA	rxn02141 rxn02142 rxn03656 rxn16086 rxn20159 	NA	0	1
RXN-18360	2,4-dichloro-cis,cis-muconate dehalogenase	5.5.1.11	NA									|14DICHLORBENZDEG-PWY|	no_blast	NA	rxn03018 rxn03694 	NA	0	NA
RXN-18361	RXN-18361		NA									|14DICHLORBENZDEG-PWY|	spontaneous	NA	 	NA	0	NA
RXN-18362	RXN-18362		NA									|14DICHLORBENZDEG-PWY|	spontaneous	NA	 	NA	0	NA
DIHYDROFOLATEREDUCT-RXN	dihydrofolate reductase	1.5.1.3/1.5.1.4	NA									|1CMET2-PWY|	no_blast	NA	rxn00684 rxn00685 rxn00686 rxn00687 rxn01601 rxn01602 rxn12649 rxn14120 rxn32434 	Subunit 2	0	1
DIHYDROFOLATEREDUCT-RXN	dihydrofolate reductase	1.5.1.3/1.5.1.4		UniRef50_A0A1C9W6H2	33.493	3.04e-25	101	84	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	2458534	2459145	|1CMET2-PWY|	good_blast	NA	rxn00684 rxn00685 rxn00686 rxn00687 rxn01601 rxn01602 rxn12649 rxn14120 rxn32434 	Subunit undefined	0	1
5-FORMYL-THF-CYCLO-LIGASE-RXN	5-formyltetrahydrofolate cyclo-ligase	6.3.3.2	NA	UniRef90_P0AC28	29.348	5.42e-15	69.7	98	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	2467625	2468137	|1CMET2-PWY|	bad_blast	NA	rxn01653 	NA	0	NA
RXN-22438	5,10-methylenetetrahydrofolate reductase	1.5.1.54	NA									|1CMET2-PWY|	no_blast	NA	 	Subunit 1	0	1
RXN-22438	5,10-methylenetetrahydrofolate reductase	1.5.1.54	NA									|1CMET2-PWY|	no_blast	NA	 	Subunit 3	0	1
RXN-22438	5,10-methylenetetrahydrofolate reductase	1.5.1.54		tr|H6LBX9|H6LBX9_ACEWD	39.024	7.42e-48	169	96	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	2638208	2639056	|1CMET2-PWY|	good_blast	NA	 	Subunit undefined	0	1
HOMOCYSMETB12-RXN	cobalamin-dependent methionine synthase	2.1.1.13		UniRef90_Q49775	46.337	0.0	1044	99	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	4887975	4891514	|1CMET2-PWY|	good_blast	NA	rxn00693 rxn16206 rxn33979 	NA	0	1
GCVMULTI-RXN	gcv system	1.4.1.27		sp|P73560|GCSH_SYNY3	58.333	1.12e-47	161	100	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	4458122	4458514	|1CMET2-PWY|	good_blast	NA	 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_A3PDH3	52.098	7.10e-96	307	96	NC_019748.1 Stanieria cyanosphaera PCC 7437, complete sequence	1893762	1892908	|1CMET2-PWY|	good_blast	NA	rxn01211 rxn24147 rxn34053 	NA	0	1
