# gapseq version: 1.4.0 27684cdd
# Sequence DB md5sum: 954ab58 (2024-11-06, Bacteria)
# Genome format: nucl
rxn	name	ec	bihit	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	status	pathway.status	dbhit	complex	exception	complex.status
DHLAXANAU-RXN	1,2-dichloroethane dehalogenase	3.8.1.5	NA	UniRef90_Q73Y99	22.180	5.93e-04	38.1	84	NZ_CP032707.1 Brevundimonas naejangsanensis strain BRV3 chromosome, complete genome	2422970	2422197	|12DICHLORETHDEG-PWY|	bad_blast	NA	rxn03596 rxn03668 rxn03669 rxn03670 rxn03671 rxn06155 rxn07484 rxn07485 rxn19882 	NA	0	NA
MOXXANAU-RXN	2-chloroethanol dehydrogenase	1.1.2.7	NA									|12DICHLORETHDEG-PWY|	no_blast	NA	rxn00847 rxn01796 rxn12745 rxn14207 rxn15989 rxn15990 rxn21641 rxn23811 	Subunit 1	0	NA
MOXXANAU-RXN	2-chloroethanol dehydrogenase	1.1.2.7	NA	UniRef90_Q09053	46.667	1.5	20.4	94	NZ_CP032707.1 Brevundimonas naejangsanensis strain BRV3 chromosome, complete genome	1829023	1828979	|12DICHLORETHDEG-PWY|	bad_blast	NA	rxn00847 rxn01796 rxn12745 rxn14207 rxn15989 rxn15990 rxn21641 rxn23811 	Subunit 2	0	NA
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4		UniRef90_P37685	32.083	4.11e-58	206	95	NZ_CP032707.1 Brevundimonas naejangsanensis strain BRV3 chromosome, complete genome	1634249	1632843	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	1
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4		UniRef90_P37685	34.383	3.47e-57	203	95	NZ_CP032707.1 Brevundimonas naejangsanensis strain BRV3 chromosome, complete genome	2027115	2025916	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	1
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4		UniRef90_P37685	32.091	4.42e-56	199	95	NZ_CP032707.1 Brevundimonas naejangsanensis strain BRV3 chromosome, complete genome	1326563	1327972	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	1
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4		UniRef90_P37685	27.347	1.23e-46	172	95	NZ_CP032707.1 Brevundimonas naejangsanensis strain BRV3 chromosome, complete genome	153532	152087	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	1
DHLBXANAU-RXN	chloroacetate dehalogenase	3.8.1.3	NA	UniRef90_Q1JU72	28.417	3.27e-08	51.6	88	NZ_CP032707.1 Brevundimonas naejangsanensis strain BRV3 chromosome, complete genome	1880176	1880958	|12DICHLORETHDEG-PWY|	bad_blast	NA	rxn02050 rxn03599 rxn06154 rxn19881 	NA	0	NA
DIOXYXANFL-RXN	1,4-dichlorobenzene dioxygenase	1.14.12.26	NA									|14DICHLORBENZDEG-PWY|	no_blast	NA	rxn04646 rxn04671 rxn25893 rxn25906 	Subunit 1	0	1
DIOXYXANFL-RXN	1,4-dichlorobenzene dioxygenase	1.14.12.26	NA									|14DICHLORBENZDEG-PWY|	no_blast	NA	rxn04646 rxn04671 rxn25893 rxn25906 	Subunit 2	0	1
DIOXYXANFL-RXN	1,4-dichlorobenzene dioxygenase	1.14.12.26		sp|O24679|TECA4_CUPXP	37.750	2.35e-53	188	97	NZ_CP032707.1 Brevundimonas naejangsanensis strain BRV3 chromosome, complete genome	1512176	1513363	|14DICHLORBENZDEG-PWY|	good_blast	NA	rxn04646 rxn04671 rxn25893 rxn25906 	Subunit undefined	0	1
DIOXYXANFL-RXN	1,4-dichlorobenzene dioxygenase	1.14.12.26		sp|O24679|TECA4_CUPXP	33.535	2.29e-34	132	97	NZ_CP032707.1 Brevundimonas naejangsanensis strain BRV3 chromosome, complete genome	2636000	2636977	|14DICHLORBENZDEG-PWY|	good_blast	NA	rxn04646 rxn04671 rxn25893 rxn25906 	Subunit undefined	0	1
CHLOROBENDDH-RXN	1,4-dichlorobenzene cis-dihydrodiol dehydrogenase	1.3.1.119	NA	UniRef90_O69264	28.571	1.24e-15	73.6	88	NZ_CP032707.1 Brevundimonas naejangsanensis strain BRV3 chromosome, complete genome	2025759	2025085	|14DICHLORBENZDEG-PWY|	bad_blast	NA	rxn04647 rxn04672 rxn25894 rxn25907 	NA	0	NA
CHLOROCATDIOXY-RXN	3,6-dichlorocatechol 1,2-dioxygenase		NA	sp|P27098|TCBC_PSESQ	29.741	3.71e-24	98.2	89	NZ_CP032707.1 Brevundimonas naejangsanensis strain BRV3 chromosome, complete genome	1315735	1316421	|14DICHLORBENZDEG-PWY|	bad_blast	NA	 	NA	0	NA
DIENELACHYDRO-RXN	2-chloro-trans-dienelactone hydrolase	3.1.1.45		UniRef90_Q8Z3B8	49.372	3.14e-64	214	84	NZ_CP032707.1 Brevundimonas naejangsanensis strain BRV3 chromosome, complete genome	1204299	1203589	|14DICHLORBENZDEG-PWY|	good_blast	NA	rxn02747 rxn03800 rxn03801 rxn04650 rxn04653 rxn07908 rxn07909 rxn15998 rxn16082 rxn16084 rxn31706 rxn31716 	NA	0	1
DIENELACHYDRO-RXN	2-chloro-trans-dienelactone hydrolase	3.1.1.45		UniRef90_Q8ZAL4	48.133	2.60e-63	211	85	NZ_CP032707.1 Brevundimonas naejangsanensis strain BRV3 chromosome, complete genome	1204299	1203586	|14DICHLORBENZDEG-PWY|	good_blast	NA	rxn02747 rxn03800 rxn03801 rxn04650 rxn04653 rxn07908 rxn07909 rxn15998 rxn16082 rxn16084 rxn31706 rxn31716 	NA	0	1
CHLOROMALERED-RXN	2-chloromaleylacetate reductase	1.3.1.32	NA									|14DICHLORBENZDEG-PWY|	no_blast	NA	rxn02141 rxn02142 rxn03656 rxn16086 rxn20159 	NA	0	NA
MALEYLACETATE-REDUCTASE-RXN	2-maleylacetate reductase	1.3.1.32		tr|C1I208|C1I208_PSEWB	38.407	2.61e-78	264	99	NZ_CP032707.1 Brevundimonas naejangsanensis strain BRV3 chromosome, complete genome	1326704	1327969	|14DICHLORBENZDEG-PWY|	good_blast	NA	rxn02141 rxn02142 rxn03656 rxn16086 rxn20159 	NA	0	1
MALEYLACETATE-REDUCTASE-RXN	2-maleylacetate reductase	1.3.1.32		tr|C1I208|C1I208_PSEWB	36.575	2.29e-76	258	99	NZ_CP032707.1 Brevundimonas naejangsanensis strain BRV3 chromosome, complete genome	1634252	1632849	|14DICHLORBENZDEG-PWY|	good_blast	NA	rxn02141 rxn02142 rxn03656 rxn16086 rxn20159 	NA	0	1
MALEYLACETATE-REDUCTASE-RXN	2-maleylacetate reductase	1.3.1.32		tr|C1I208|C1I208_PSEWB	37.905	4.22e-76	257	99	NZ_CP032707.1 Brevundimonas naejangsanensis strain BRV3 chromosome, complete genome	2027058	2025871	|14DICHLORBENZDEG-PWY|	good_blast	NA	rxn02141 rxn02142 rxn03656 rxn16086 rxn20159 	NA	0	1
MALEYLACETATE-REDUCTASE-RXN	2-maleylacetate reductase	1.3.1.32		tr|C1I208|C1I208_PSEWB	32.068	3.47e-63	219	99	NZ_CP032707.1 Brevundimonas naejangsanensis strain BRV3 chromosome, complete genome	153529	152114	|14DICHLORBENZDEG-PWY|	good_blast	NA	rxn02141 rxn02142 rxn03656 rxn16086 rxn20159 	NA	0	1
MALEYLACETATE-REDUCTASE-RXN	2-maleylacetate reductase	1.3.1.32		tr|C1I208|C1I208_PSEWB	30.549	7.00e-33	130	99	NZ_CP032707.1 Brevundimonas naejangsanensis strain BRV3 chromosome, complete genome	670065	668827	|14DICHLORBENZDEG-PWY|	good_blast	NA	rxn02141 rxn02142 rxn03656 rxn16086 rxn20159 	NA	0	1
RXN-18360	2,4-dichloro-cis,cis-muconate dehalogenase	5.5.1.11		sp|P27099|TCBD_PSESQ	43.396	4.83e-71	238	100	NZ_CP032707.1 Brevundimonas naejangsanensis strain BRV3 chromosome, complete genome	1314166	1315278	|14DICHLORBENZDEG-PWY|	good_blast	NA	rxn03018 rxn03694 	NA	0	1
RXN-18361	RXN-18361		NA									|14DICHLORBENZDEG-PWY|	spontaneous	NA	 	NA	0	NA
RXN-18362	RXN-18362		NA									|14DICHLORBENZDEG-PWY|	spontaneous	NA	 	NA	0	NA
