# gapseq version: 1.4.0 27684cdd
# Transporter sequence DB md5sum: b99a77e (2025-02-28)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|P76298|1.A.104.1.1	1.A.104.1.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P76298|1.A.104.1.1	67.334	0.0	640	93	NZ_CP004387.1 Isoalcanivorax pacificus W11-5 chromosome, complete genome	3281439	3279508	transporter
gnl|TC-DB|AET84893|1.A.1.12.5	1.A.1.12.5	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|AET84893|1.A.1.12.5	26.761	4.3	23.1	78	NZ_CP004387.1 Isoalcanivorax pacificus W11-5 chromosome, complete genome	2841502	2841696	transporter
gnl|TC-DB|Q8L1H6|1.A.1.14.2	1.A.1.14.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q8L1H6|1.A.1.14.2	52.091	1.29e-71	235	98	NZ_CP004387.1 Isoalcanivorax pacificus W11-5 chromosome, complete genome	3863487	3862699	transporter
gnl|TC-DB|Q6U8D0|1.A.1.14.3	1.A.1.14.3	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q6U8D0|1.A.1.14.3	32.922	1.82e-33	126	85	NZ_CP004387.1 Isoalcanivorax pacificus W11-5 chromosome, complete genome	3863406	3862699	transporter
gnl|TC-DB|Q6TMY8|1.A.1.14.4	1.A.1.14.4	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q6TMY8|1.A.1.14.4	50.192	6.37e-70	230	98	NZ_CP004387.1 Isoalcanivorax pacificus W11-5 chromosome, complete genome	3863484	3862702	transporter
gnl|TC-DB|A8EVM5|1.A.1.14.5	1.A.1.14.5	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|A8EVM5|1.A.1.14.5	43.307	4.33e-52	179	95	NZ_CP004387.1 Isoalcanivorax pacificus W11-5 chromosome, complete genome	3863481	3862741	transporter
gnl|TC-DB|A0L5S6|1.A.1.14.6	1.A.1.14.6	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|A0L5S6|1.A.1.14.6	47.529	2.30e-69	229	93	NZ_CP004387.1 Isoalcanivorax pacificus W11-5 chromosome, complete genome	3863484	3862699	transporter
gnl|TC-DB|F5L478|1.A.1.14.7	1.A.1.14.7	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|F5L478|1.A.1.14.7	43.515	5.49e-38	140	77	NZ_CP004387.1 Isoalcanivorax pacificus W11-5 chromosome, complete genome	3863520	3862834	transporter
gnl|TC-DB|J8TM36|1.A.1.14.8	1.A.1.14.8	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|J8TM36|1.A.1.14.8	32.540	1.80e-37	138	91	NZ_CP004387.1 Isoalcanivorax pacificus W11-5 chromosome, complete genome	3863445	3862699	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	30.435	4.27e-26	104	99	NZ_CP004387.1 Isoalcanivorax pacificus W11-5 chromosome, complete genome	1766513	1765761	transporter
