# gapseq version: 1.4.0 27684cdd
# Sequence DB md5sum: 954ab58 (2024-11-06, Bacteria)
# Genome format: nucl
rxn	name	ec	bihit	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	status	pathway.status	dbhit	complex	exception	complex.status
DHLAXANAU-RXN	1,2-dichloroethane dehalogenase	3.8.1.5	NA	UniRef90_D4Z2G1	28.383	4.83e-13	66.6	96	NZ_CP004372.1 Roseicyclus elongatus DSM 19469 strain DFL-43 chromosome, complete genome	788417	787578	|12DICHLORETHDEG-PWY|	bad_blast	NA	rxn03596 rxn03668 rxn03669 rxn03670 rxn03671 rxn06155 rxn07484 rxn07485 rxn19882 	NA	0	NA
MOXXANAU-RXN	2-chloroethanol dehydrogenase	1.1.2.7	NA									|12DICHLORETHDEG-PWY|	no_blast	NA	rxn00847 rxn01796 rxn12745 rxn14207 rxn15989 rxn15990 rxn21641 rxn23811 	Subunit 1	0	NA
MOXXANAU-RXN	2-chloroethanol dehydrogenase	1.1.2.7	NA	UniRef90_Q09053	50.000	0.31	22.7	100	NZ_CP004372.1 Roseicyclus elongatus DSM 19469 strain DFL-43 chromosome, complete genome	2978129	2978170	|12DICHLORETHDEG-PWY|	bad_blast	NA	rxn00847 rxn01796 rxn12745 rxn14207 rxn15989 rxn15990 rxn21641 rxn23811 	Subunit 2	0	NA
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4		UniRef90_P37685	35.597	3.44e-82	276	95	NZ_CP004372.1 Roseicyclus elongatus DSM 19469 strain DFL-43 chromosome, complete genome	2198519	2197095	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	1
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4		UniRef90_P37685	32.106	5.76e-68	234	95	NZ_CP004372.1 Roseicyclus elongatus DSM 19469 strain DFL-43 chromosome, complete genome	561566	560148	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	1
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4		UniRef90_P37685	33.264	7.66e-59	208	95	NZ_CP004372.1 Roseicyclus elongatus DSM 19469 strain DFL-43 chromosome, complete genome	776095	774692	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	1
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4		UniRef90_P37685	31.933	4.94e-53	191	95	NZ_CP004372.1 Roseicyclus elongatus DSM 19469 strain DFL-43 chromosome, complete genome	3537406	3536021	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	1
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4		UniRef90_P37685	28.448	3.30e-44	165	95	NZ_CP004372.1 Roseicyclus elongatus DSM 19469 strain DFL-43 chromosome, complete genome	2980621	2981985	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	1
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4		UniRef90_P37685	28.864	2.25e-40	153	95	NZ_CP004372.1 Roseicyclus elongatus DSM 19469 strain DFL-43 chromosome, complete genome	1262178	1260901	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	1
DHLBXANAU-RXN	chloroacetate dehalogenase	3.8.1.3		UniRef90_Q1JU72	36.268	5.39e-52	181	95	NZ_CP004372.1 Roseicyclus elongatus DSM 19469 strain DFL-43 chromosome, complete genome	788441	787596	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn02050 rxn03599 rxn06154 rxn19881 	NA	0	1
DIOXYXANFL-RXN	1,4-dichlorobenzene dioxygenase	1.14.12.26	NA									|14DICHLORBENZDEG-PWY|	no_blast	NA	rxn04646 rxn04671 rxn25893 rxn25906 	Subunit 1	0	1
DIOXYXANFL-RXN	1,4-dichlorobenzene dioxygenase	1.14.12.26	NA									|14DICHLORBENZDEG-PWY|	no_blast	NA	rxn04646 rxn04671 rxn25893 rxn25906 	Subunit 2	0	1
DIOXYXANFL-RXN	1,4-dichlorobenzene dioxygenase	1.14.12.26		sp|O24679|TECA4_CUPXP	35.310	2.12e-45	165	90	NZ_CP004372.1 Roseicyclus elongatus DSM 19469 strain DFL-43 chromosome, complete genome	1407763	1408863	|14DICHLORBENZDEG-PWY|	good_blast	NA	rxn04646 rxn04671 rxn25893 rxn25906 	Subunit undefined	0	1
CHLOROBENDDH-RXN	1,4-dichlorobenzene cis-dihydrodiol dehydrogenase	1.3.1.119	NA	UniRef90_O69264	28.033	1.78e-11	61.2	88	NZ_CP004372.1 Roseicyclus elongatus DSM 19469 strain DFL-43 chromosome, complete genome	1887111	1887773	|14DICHLORBENZDEG-PWY|	bad_blast	NA	rxn04647 rxn04672 rxn25894 rxn25907 	NA	0	NA
CHLOROCATDIOXY-RXN	3,6-dichlorocatechol 1,2-dioxygenase		NA									|14DICHLORBENZDEG-PWY|	no_blast	NA	 	NA	0	NA
DIENELACHYDRO-RXN	2-chloro-trans-dienelactone hydrolase	3.1.1.45	NA	UniRef90_Q8ZAL4	23.622	6.90e-07	47.4	94	NZ_CP004372.1 Roseicyclus elongatus DSM 19469 strain DFL-43 chromosome, complete genome	2419679	2420407	|14DICHLORBENZDEG-PWY|	bad_blast	NA	rxn02747 rxn03800 rxn03801 rxn04650 rxn04653 rxn07908 rxn07909 rxn15998 rxn16082 rxn16084 rxn31706 rxn31716 	NA	0	NA
CHLOROMALERED-RXN	2-chloromaleylacetate reductase	1.3.1.32	NA									|14DICHLORBENZDEG-PWY|	no_blast	NA	rxn02141 rxn02142 rxn03656 rxn16086 rxn20159 	NA	0	NA
MALEYLACETATE-REDUCTASE-RXN	2-maleylacetate reductase	1.3.1.32		tr|C1I208|C1I208_PSEWB	42.292	1.72e-108	351	99	NZ_CP004372.1 Roseicyclus elongatus DSM 19469 strain DFL-43 chromosome, complete genome	2198498	2197077	|14DICHLORBENZDEG-PWY|	good_blast	NA	rxn02141 rxn02142 rxn03656 rxn16086 rxn20159 	NA	0	1
MALEYLACETATE-REDUCTASE-RXN	2-maleylacetate reductase	1.3.1.32		tr|C1I208|C1I208_PSEWB	39.628	1.56e-80	270	99	NZ_CP004372.1 Roseicyclus elongatus DSM 19469 strain DFL-43 chromosome, complete genome	1632617	1631514	|14DICHLORBENZDEG-PWY|	good_blast	NA	rxn02141 rxn02142 rxn03656 rxn16086 rxn20159 	NA	0	1
MALEYLACETATE-REDUCTASE-RXN	2-maleylacetate reductase	1.3.1.32		tr|C1I208|C1I208_PSEWB	34.310	3.46e-77	261	99	NZ_CP004372.1 Roseicyclus elongatus DSM 19469 strain DFL-43 chromosome, complete genome	561563	560145	|14DICHLORBENZDEG-PWY|	good_blast	NA	rxn02141 rxn02142 rxn03656 rxn16086 rxn20159 	NA	0	1
MALEYLACETATE-REDUCTASE-RXN	2-maleylacetate reductase	1.3.1.32		tr|C1I208|C1I208_PSEWB	33.543	4.96e-74	251	99	NZ_CP004372.1 Roseicyclus elongatus DSM 19469 strain DFL-43 chromosome, complete genome	3537409	3536009	|14DICHLORBENZDEG-PWY|	good_blast	NA	rxn02141 rxn02142 rxn03656 rxn16086 rxn20159 	NA	0	1
MALEYLACETATE-REDUCTASE-RXN	2-maleylacetate reductase	1.3.1.32		tr|C1I208|C1I208_PSEWB	35.957	1.61e-71	244	99	NZ_CP004372.1 Roseicyclus elongatus DSM 19469 strain DFL-43 chromosome, complete genome	776092	774692	|14DICHLORBENZDEG-PWY|	good_blast	NA	rxn02141 rxn02142 rxn03656 rxn16086 rxn20159 	NA	0	1
MALEYLACETATE-REDUCTASE-RXN	2-maleylacetate reductase	1.3.1.32		tr|C1I208|C1I208_PSEWB	33.796	6.13e-65	225	99	NZ_CP004372.1 Roseicyclus elongatus DSM 19469 strain DFL-43 chromosome, complete genome	1262169	1260901	|14DICHLORBENZDEG-PWY|	good_blast	NA	rxn02141 rxn02142 rxn03656 rxn16086 rxn20159 	NA	0	1
