# gapseq version: 1.4.0 27684cdd
# Transporter sequence DB md5sum: b99a77e (2025-02-28)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|Q84568|1.A.1.12.1	1.A.1.12.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q84568|1.A.1.12.1	29.070	0.040	30.0	91	NC_019729.1 Oscillatoria nigro-viridis PCC 7112, complete sequence	295830	295582	transporter
gnl|TC-DB|A7K9J5|1.A.1.12.2	1.A.1.12.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|A7K9J5|1.A.1.12.2	26.471	0.029	30.0	79	NC_019729.1 Oscillatoria nigro-viridis PCC 7112, complete sequence	295746	295543	transporter
gnl|TC-DB|Q58752|1.A.1.13.10	1.A.1.13.10	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q58752|1.A.1.13.10	32.192	1.56e-50	179	85	NC_019729.1 Oscillatoria nigro-viridis PCC 7112, complete sequence	4639633	4640487	transporter
gnl|TC-DB|O27564|1.A.1.13.2	1.A.1.13.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|O27564|1.A.1.13.2	26.415	7.63e-23	97.8	90	NC_019729.1 Oscillatoria nigro-viridis PCC 7112, complete sequence	4639585	4640523	transporter
gnl|TC-DB|P74405|1.A.1.13.6	1.A.1.13.6	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P74405|1.A.1.13.6	59.279	0.0	644	98	NC_019729.1 Oscillatoria nigro-viridis PCC 7112, complete sequence	4918055	4916394	transporter
gnl|TC-DB|P73132|1.A.1.13.7	1.A.1.13.7	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P73132|1.A.1.13.7	61.111	4.93e-137	429	99	NC_019729.1 Oscillatoria nigro-viridis PCC 7112, complete sequence	4639477	4640547	transporter
gnl|TC-DB|Q57604|1.A.1.13.8	1.A.1.13.8	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q57604|1.A.1.13.8	35.526	1.32e-53	187	90	NC_019729.1 Oscillatoria nigro-viridis PCC 7112, complete sequence	4639609	4640514	transporter
gnl|TC-DB|E8QNY4|1.A.1.13.9	1.A.1.13.9	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|E8QNY4|1.A.1.13.9	28.165	2.13e-27	112	82	NC_019729.1 Oscillatoria nigro-viridis PCC 7112, complete sequence	4639612	4640523	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	33.074	1.07e-22	95.5	98	NC_019729.1 Oscillatoria nigro-viridis PCC 7112, complete sequence	5965454	5966212	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	39.273	1.84e-52	182	95	NC_019729.1 Oscillatoria nigro-viridis PCC 7112, complete sequence	2996827	2997630	transporter
