# gapseq version: 1.4.0 27684cdd
# Sequence DB md5sum: 954ab58 (2024-11-06, Bacteria)
# Genome format: nucl
rxn	name	ec	bihit	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	status	pathway.status	dbhit	complex	exception	complex.status
DHLAXANAU-RXN	1,2-dichloroethane dehalogenase	3.8.1.5	NA	UniRef90_B4RF90	24.653	6.03e-08	51.2	91	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	1128325	1127522	|12DICHLORETHDEG-PWY|	bad_blast	NA	rxn03596 rxn03668 rxn03669 rxn03670 rxn03671 rxn06155 rxn07484 rxn07485 rxn19882 	NA	0	NA
MOXXANAU-RXN	2-chloroethanol dehydrogenase	1.1.2.7	NA									|12DICHLORETHDEG-PWY|	no_blast	NA	rxn00847 rxn01796 rxn12745 rxn14207 rxn15989 rxn15990 rxn21641 rxn23811 	Subunit 1	0	NA
MOXXANAU-RXN	2-chloroethanol dehydrogenase	1.1.2.7	NA	UniRef90_Q09053	46.667	0.37	22.3	100	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	1147923	1147967	|12DICHLORETHDEG-PWY|	bad_blast	NA	rxn00847 rxn01796 rxn12745 rxn14207 rxn15989 rxn15990 rxn21641 rxn23811 	Subunit 2	0	NA
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4		UniRef90_Q56694	48.008	5.99e-119	382	93	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	473640	475070	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	1
DHLBXANAU-RXN	chloroacetate dehalogenase	3.8.1.3		UniRef90_Q01399	36.607	8.82e-41	145	98	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	2606757	2607425	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn02050 rxn03599 rxn06154 rxn19881 	NA	0	1
DIOXYXANFL-RXN	1,4-dichlorobenzene dioxygenase	1.14.12.26	NA									|14DICHLORBENZDEG-PWY|	no_blast	NA	rxn04646 rxn04671 rxn25893 rxn25906 	Subunit 1	0	1
DIOXYXANFL-RXN	1,4-dichlorobenzene dioxygenase	1.14.12.26	NA									|14DICHLORBENZDEG-PWY|	no_blast	NA	rxn04646 rxn04671 rxn25893 rxn25906 	Subunit 2	0	1
DIOXYXANFL-RXN	1,4-dichlorobenzene dioxygenase	1.14.12.26		sp|O24679|TECA4_CUPXP	36.883	4.46e-50	179	93	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	341017	339872	|14DICHLORBENZDEG-PWY|	good_blast	NA	rxn04646 rxn04671 rxn25893 rxn25906 	Subunit undefined	0	1
CHLOROBENDDH-RXN	1,4-dichlorobenzene cis-dihydrodiol dehydrogenase	1.3.1.119	NA	UniRef90_O69264	31.799	3.27e-13	67.0	93	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	998770	999450	|14DICHLORBENZDEG-PWY|	bad_blast	NA	rxn04647 rxn04672 rxn25894 rxn25907 	NA	0	NA
CHLOROCATDIOXY-RXN	3,6-dichlorocatechol 1,2-dioxygenase			sp|P27098|TCBC_PSESQ	31.395	1.02e-32	123	97	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	315210	315971	|14DICHLORBENZDEG-PWY|	good_blast	NA	 	NA	0	1
DIENELACHYDRO-RXN	2-chloro-trans-dienelactone hydrolase	3.1.1.45	NA									|14DICHLORBENZDEG-PWY|	no_blast	NA	rxn02747 rxn03800 rxn03801 rxn04650 rxn04653 rxn07908 rxn07909 rxn15998 rxn16082 rxn16084 rxn31706 rxn31716 	NA	0	NA
CHLOROMALERED-RXN	2-chloromaleylacetate reductase	1.3.1.32		UniRef90_A1IIX4	61.318	6.42e-113	358	99	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	301839	302882	|14DICHLORBENZDEG-PWY|	good_blast	NA	rxn02141 rxn02142 rxn03656 rxn16086 rxn20159 	NA	0	1
MALEYLACETATE-REDUCTASE-RXN	2-maleylacetate reductase	1.3.1.32		UniRef90_A1IIX4	61.318	6.42e-113	358	99	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	301839	302882	|14DICHLORBENZDEG-PWY|	good_blast	NA	rxn02141 rxn02142 rxn03656 rxn16086 rxn20159 	NA	0	1
MALEYLACETATE-REDUCTASE-RXN	2-maleylacetate reductase	1.3.1.32		UniRef90_O84992	48.433	2.19e-82	271	98	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	301830	302882	|14DICHLORBENZDEG-PWY|	good_blast	NA	rxn02141 rxn02142 rxn03656 rxn16086 rxn20159 	NA	0	1
RXN-18360	2,4-dichloro-cis,cis-muconate dehalogenase	5.5.1.11	NA	sp|P27099|TCBD_PSESQ	24.629	7.72e-09	54.7	83	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	2229058	2230038	|14DICHLORBENZDEG-PWY|	bad_blast	NA	rxn03018 rxn03694 	NA	0	NA
RXN-18361	RXN-18361		NA									|14DICHLORBENZDEG-PWY|	spontaneous	NA	 	NA	0	NA
RXN-18362	RXN-18362		NA									|14DICHLORBENZDEG-PWY|	spontaneous	NA	 	NA	0	NA
DIHYDROFOLATEREDUCT-RXN	dihydrofolate reductase	1.5.1.3/1.5.1.4	NA									|1CMET2-PWY|	no_blast	NA	rxn00684 rxn00685 rxn00686 rxn00687 rxn01601 rxn01602 rxn12649 rxn14120 rxn32434 	Subunit 2	0	1
DIHYDROFOLATEREDUCT-RXN	dihydrofolate reductase	1.5.1.3/1.5.1.4		UniRef50_A0A0A8TNS0	43.421	4.62e-32	118	87	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	2937419	2936976	|1CMET2-PWY|	good_blast	NA	rxn00684 rxn00685 rxn00686 rxn00687 rxn01601 rxn01602 rxn12649 rxn14120 rxn32434 	Subunit undefined	0	1
DIHYDROFOLATEREDUCT-RXN	dihydrofolate reductase	1.5.1.3/1.5.1.4		UniRef50_A0A095Y7B1	40.559	4.73e-30	111	92	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	768653	769081	|1CMET2-PWY|	good_blast	NA	rxn00684 rxn00685 rxn00686 rxn00687 rxn01601 rxn01602 rxn12649 rxn14120 rxn32434 	Subunit undefined	0	1
DIHYDROFOLATEREDUCT-RXN	dihydrofolate reductase	1.5.1.3/1.5.1.4		UniRef50_A0A0D5NNZ2	43.165	2.33e-29	110	85	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	768653	769066	|1CMET2-PWY|	good_blast	NA	rxn00684 rxn00685 rxn00686 rxn00687 rxn01601 rxn01602 rxn12649 rxn14120 rxn32434 	Subunit undefined	0	1
DIHYDROFOLATEREDUCT-RXN	dihydrofolate reductase	1.5.1.3/1.5.1.4		UniRef50_A0A059FQ58	44.444	2.58e-28	107	79	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	768653	769063	|1CMET2-PWY|	good_blast	NA	rxn00684 rxn00685 rxn00686 rxn00687 rxn01601 rxn01602 rxn12649 rxn14120 rxn32434 	Subunit undefined	0	1
DIHYDROFOLATEREDUCT-RXN	dihydrofolate reductase	1.5.1.3/1.5.1.4		UniRef50_A0A059XEP0	40.816	2.28e-27	103	93	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	768656	769087	|1CMET2-PWY|	good_blast	NA	rxn00684 rxn00685 rxn00686 rxn00687 rxn01601 rxn01602 rxn12649 rxn14120 rxn32434 	Subunit undefined	0	1
DIHYDROFOLATEREDUCT-RXN	dihydrofolate reductase	1.5.1.3/1.5.1.4		UniRef50_A0A0F0KAN1	46.715	1.84e-26	101	84	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	768665	769069	|1CMET2-PWY|	good_blast	NA	rxn00684 rxn00685 rxn00686 rxn00687 rxn01601 rxn01602 rxn12649 rxn14120 rxn32434 	Subunit undefined	0	1
5-FORMYL-THF-CYCLO-LIGASE-RXN	5-formyltetrahydrofolate cyclo-ligase	6.3.3.2	NA	UniRef90_A0R3H2	29.697	2.57e-08	50.4	94	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	2372975	2373442	|1CMET2-PWY|	bad_blast	NA	rxn01653 	NA	0	NA
RXN-22438	5,10-methylenetetrahydrofolate reductase	1.5.1.54	NA									|1CMET2-PWY|	no_blast	NA	 	Subunit 1	0	1
RXN-22438	5,10-methylenetetrahydrofolate reductase	1.5.1.54	NA									|1CMET2-PWY|	no_blast	NA	 	Subunit 3	0	1
RXN-22438	5,10-methylenetetrahydrofolate reductase	1.5.1.54		sp|P0AEZ1|METF_ECOLI	43.478	6.23e-69	229	91	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	2471075	2470251	|1CMET2-PWY|	good_blast	NA	 	Subunit undefined	0	1
HOMOCYSMETB12-RXN	cobalamin-dependent methionine synthase	2.1.1.13	NA									|1CMET2-PWY|	no_blast	NA	rxn00693 rxn16206 rxn33979 	NA	0	NA
GCVMULTI-RXN	gcv system	1.4.1.27		sp|P33195|GCSP_ECOLI	59.683	0.0	1036	98	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	2831570	2834344	|1CMET2-PWY|	good_blast	NA	 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_Q11M18	62.925	5.34e-100	318	99	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	684733	685593	|1CMET2-PWY|	good_blast	NA	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_B6IVC0	62.876	6.24e-96	307	98	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	684727	685602	|1CMET2-PWY|	good_blast	NA	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_A9BWT7	55.903	2.27e-90	290	100	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	684721	685581	|1CMET2-PWY|	good_blast	NA	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_A7HDC5	60.507	1.82e-89	288	98	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	684733	685557	|1CMET2-PWY|	good_blast	NA	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_B8GNT6	56.940	7.97e-88	283	98	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	684721	685563	|1CMET2-PWY|	good_blast	NA	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_P54382	51.056	4.43e-86	278	99	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	684721	685572	|1CMET2-PWY|	good_blast	NA	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_Q12A51	57.746	8.57e-86	277	99	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	684721	685572	|1CMET2-PWY|	good_blast	NA	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_A4VTM4	55.319	1.28e-85	276	99	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	684730	685575	|1CMET2-PWY|	good_blast	NA	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_Q5M583	51.590	5.99e-85	275	99	NZ_CP028918.1 Gemmobacter aquarius strain HYN0069 chromosome, complete genome	684727	685575	|1CMET2-PWY|	good_blast	NA	rxn01211 rxn24147 rxn34053 	NA	0	1
