# gapseq version: 1.4.0 27684cdd
# Transporter sequence DB md5sum: b99a77e (2025-02-28)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|P76298|1.A.104.1.1	1.A.104.1.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P76298|1.A.104.1.1	55.283	6.04e-167	529	94	NZ_CP016278.1 Diaphorobacter nitroreducens strain SL-205 chromosome, complete genome	3687841	3685895	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	33.977	2.44e-16	75.9	96	NZ_CP016278.1 Diaphorobacter nitroreducens strain SL-205 chromosome, complete genome	388649	389368	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	30.736	1.34e-15	74.3	89	NZ_CP016278.1 Diaphorobacter nitroreducens strain SL-205 chromosome, complete genome	1109549	1110202	transporter
gnl|TC-DB|Q53G01|1.A.12.1.3	1.A.12.1.3	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q53G01|1.A.12.1.3	19.324	3.24e-06	45.1	82	NZ_CP016278.1 Diaphorobacter nitroreducens strain SL-205 chromosome, complete genome	2389182	2388610	transporter
gnl|TC-DB|Q9Y696|1.A.12.1.6	1.A.12.1.6	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q9Y696|1.A.12.1.6	22.381	1.03e-06	46.6	81	NZ_CP016278.1 Diaphorobacter nitroreducens strain SL-205 chromosome, complete genome	2389182	2388613	transporter
gnl|TC-DB|Q8F2Y8|1.A.12.2.2	1.A.12.2.2	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q8F2Y8|1.A.12.2.2	30.811	7.20e-12	61.6	79	NZ_CP016278.1 Diaphorobacter nitroreducens strain SL-205 chromosome, complete genome	3381223	3381774	transporter
gnl|TC-DB|P0ACA3|1.A.12.3.1	1.A.12.3.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0ACA3|1.A.12.3.1	44.118	1.08e-49	170	97	NZ_CP016278.1 Diaphorobacter nitroreducens strain SL-205 chromosome, complete genome	2389212	2388604	transporter
gnl|TC-DB|P39063|1.A.30.1.4	1.A.30.1.4	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P39063|1.A.30.1.4	26.693	9.25e-08	50.1	82	NZ_CP016278.1 Diaphorobacter nitroreducens strain SL-205 chromosome, complete genome	3692159	3691410	transporter
gnl|TC-DB|Q8EGR5|1.A.30.1.6	1.A.30.1.6	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q8EGR5|1.A.30.1.6	24.585	9.51e-11	60.1	96	NZ_CP016278.1 Diaphorobacter nitroreducens strain SL-205 chromosome, complete genome	3691341	3690532	transporter
gnl|TC-DB|P55891|1.A.30.1.7	1.A.30.1.7	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P55891|1.A.30.1.7	50.350	3.06e-90	290	96	NZ_CP016278.1 Diaphorobacter nitroreducens strain SL-205 chromosome, complete genome	3692267	3691410	transporter
