# gapseq version: 1.4.0 27684cdd
# Transporter sequence DB md5sum: b99a77e (2025-02-28)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|O27564|1.A.1.13.2	1.A.1.13.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|O27564|1.A.1.13.2	21.933	9.55e-11	59.7	75	NZ_CP033898.1 Corynebacterium pseudopelargi strain 812CH chromosome, complete genome	1783401	1782631	transporter
gnl|TC-DB|Q8Y5K1|1.A.1.17.2	1.A.1.17.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q8Y5K1|1.A.1.17.2	32.367	4.01e-19	82.8	83	NZ_CP033898.1 Corynebacterium pseudopelargi strain 812CH chromosome, complete genome	215134	214568	transporter
gnl|TC-DB|Q9XG70|1.A.8.10.2	1.A.8.10.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q9XG70|1.A.8.10.2	25.670	1.31e-07	48.5	93	NZ_CP033898.1 Corynebacterium pseudopelargi strain 812CH chromosome, complete genome	1255143	1254373	transporter
gnl|TC-DB|P0AER0|1.A.8.1.1	1.A.8.1.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P0AER0|1.A.8.1.1	31.646	1.90e-14	70.1	83	NZ_CP033898.1 Corynebacterium pseudopelargi strain 812CH chromosome, complete genome	1255098	1254418	transporter
gnl|TC-DB|Q8W037|1.A.8.12.4	1.A.8.12.4	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q8W037|1.A.8.12.4	26.415	2.37e-09	54.7	81	NZ_CP033898.1 Corynebacterium pseudopelargi strain 812CH chromosome, complete genome	1255158	1254379	transporter
gnl|TC-DB|O28846|1.A.8.13.1	1.A.8.13.1	GLYCEROL	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|O28846|1.A.8.13.1	22.925	0.015	32.7	87	NZ_CP033898.1 Corynebacterium pseudopelargi strain 812CH chromosome, complete genome	1255131	1254499	transporter
gnl|TC-DB|P18156|1.A.8.2.1	1.A.8.2.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P18156|1.A.8.2.1	44.813	1.23e-44	157	84	NZ_CP033898.1 Corynebacterium pseudopelargi strain 812CH chromosome, complete genome	1255113	1254394	transporter
gnl|TC-DB|P22094|1.A.8.2.2	1.A.8.2.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P22094|1.A.8.2.2	29.010	1.27e-20	88.6	96	NZ_CP033898.1 Corynebacterium pseudopelargi strain 812CH chromosome, complete genome	1255131	1254418	transporter
gnl|TC-DB|P52280|1.A.8.2.3	1.A.8.2.3	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P52280|1.A.8.2.3	35.223	5.56e-26	102	93	NZ_CP033898.1 Corynebacterium pseudopelargi strain 812CH chromosome, complete genome	1255098	1254409	transporter
gnl|TC-DB|C6VJ63|1.A.8.2.4	1.A.8.2.4	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|C6VJ63|1.A.8.2.4	34.934	1.97e-26	103	91	NZ_CP033898.1 Corynebacterium pseudopelargi strain 812CH chromosome, complete genome	1255098	1254421	transporter
gnl|TC-DB|D7V7W8|1.A.8.2.5	1.A.8.2.5	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7V7W8|1.A.8.2.5	42.534	2.38e-30	115	90	NZ_CP033898.1 Corynebacterium pseudopelargi strain 812CH chromosome, complete genome	1255098	1254442	transporter
gnl|TC-DB|D7V8E7|1.A.8.2.6	1.A.8.2.6	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7V8E7|1.A.8.2.6	41.880	2.63e-31	118	92	NZ_CP033898.1 Corynebacterium pseudopelargi strain 812CH chromosome, complete genome	1255134	1254442	transporter
gnl|TC-DB|D7VEY8|1.A.8.2.7	1.A.8.2.7	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7VEY8|1.A.8.2.7	37.768	2.49e-27	107	86	NZ_CP033898.1 Corynebacterium pseudopelargi strain 812CH chromosome, complete genome	1255098	1254454	transporter
gnl|TC-DB|D7VC84|1.A.8.2.8	1.A.8.2.8	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7VC84|1.A.8.2.8	34.649	2.72e-17	77.4	91	NZ_CP033898.1 Corynebacterium pseudopelargi strain 812CH chromosome, complete genome	1255098	1254421	transporter
gnl|TC-DB|D0JBC9|1.A.8.2.9	1.A.8.2.9	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D0JBC9|1.A.8.2.9	38.618	2.15e-35	130	95	NZ_CP033898.1 Corynebacterium pseudopelargi strain 812CH chromosome, complete genome	1255098	1254403	transporter
gnl|TC-DB|G9NVB0|1.A.8.9.18	1.A.8.9.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|G9NVB0|1.A.8.9.18	38.430	4.72e-31	119	80	NZ_CP033898.1 Corynebacterium pseudopelargi strain 812CH chromosome, complete genome	1255098	1254388	transporter
gnl|TC-DB|806392255|1.A.8.9.10	1.A.8.9.10	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|806392255|1.A.8.9.10	30.534	4.91e-14	68.9	85	NZ_CP033898.1 Corynebacterium pseudopelargi strain 812CH chromosome, complete genome	1255179	1254415	transporter
gnl|TC-DB|Q8WPZ6|1.A.8.9.13	1.A.8.9.13	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q8WPZ6|1.A.8.9.13	29.167	7.64e-18	79.3	87	NZ_CP033898.1 Corynebacterium pseudopelargi strain 812CH chromosome, complete genome	1255122	1254418	transporter
gnl|TC-DB|O43315|1.A.8.9.14	1.A.8.9.14	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|O43315|1.A.8.9.14	34.962	6.95e-24	98.2	87	NZ_CP033898.1 Corynebacterium pseudopelargi strain 812CH chromosome, complete genome	1255143	1254373	transporter
gnl|TC-DB|P56627|1.A.8.9.2	1.A.8.9.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P56627|1.A.8.9.2	30.224	6.15e-17	77.8	88	NZ_CP033898.1 Corynebacterium pseudopelargi strain 812CH chromosome, complete genome	1255164	1254403	transporter
gnl|TC-DB|O14520|1.A.8.9.6	1.A.8.9.6	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|O14520|1.A.8.9.6	30.712	5.97e-12	63.5	75	NZ_CP033898.1 Corynebacterium pseudopelargi strain 812CH chromosome, complete genome	1255215	1254433	transporter
gnl|TC-DB|F6QEC2|1.A.8.9.9	1.A.8.9.9	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|F6QEC2|1.A.8.9.9	34.728	1.35e-15	73.6	77	NZ_CP033898.1 Corynebacterium pseudopelargi strain 812CH chromosome, complete genome	1255098	1254421	transporter
gnl|TC-DB|Q50E47|1.A.98.1.2	1.A.98.1.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q50E47|1.A.98.1.2	38.462	2.0	22.3	90	NZ_CP033898.1 Corynebacterium pseudopelargi strain 812CH chromosome, complete genome	447831	447682	transporter
gnl|TC-DB|P71469|1.C.29.1.1	1.C.29.1.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P71469|1.C.29.1.1	32.500	2.9	21.6	77	NZ_CP033898.1 Corynebacterium pseudopelargi strain 812CH chromosome, complete genome	236280	236399	transporter
gnl|TC-DB|P0C931|1.C.32.2.2	1.C.32.2.2	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0C931|1.C.32.2.2	58.333	3.3	18.9	80	NZ_CP033898.1 Corynebacterium pseudopelargi strain 812CH chromosome, complete genome	1905360	1905395	transporter
gnl|TC-DB|P0C931|1.C.32.2.2	1.C.32.2.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P0C931|1.C.32.2.2	58.333	3.3	18.9	80	NZ_CP033898.1 Corynebacterium pseudopelargi strain 812CH chromosome, complete genome	1905360	1905395	transporter
gnl|TC-DB|Q9NJC6|1.C.47.3.2	1.C.47.3.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q9NJC6|1.C.47.3.2	27.160	6.3	21.9	87	NZ_CP033898.1 Corynebacterium pseudopelargi strain 812CH chromosome, complete genome	1850978	1851220	transporter
gnl|TC-DB|Q8TDX7|1.I.1.1.3	1.I.1.1.3	Potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q8TDX7|1.I.1.1.3	28.175	2.25e-24	100	90	NZ_CP033898.1 Corynebacterium pseudopelargi strain 812CH chromosome, complete genome	800875	800141	transporter
gnl|TC-DB|Q8NLX4|2.A.102.4.8	2.A.102.4.8	sulfate	EX_cpd00048_e0	rxn05651,rxn12369,rxn12811,rxn13116,rxn34447,rxn34531,rxn05238,rxn31171,rxn31183,rxn32972,rxn32975,rxn34545	gnl|TC-DB|Q8NLX4|2.A.102.4.8	67.068	4.78e-69	229	81	NZ_CP033898.1 Corynebacterium pseudopelargi strain 812CH chromosome, complete genome	240699	241439	transporter
gnl|TC-DB|P43561|2.A.108.1.4	2.A.108.1.4	iron	EX_cpd10515_e0	rxn08473,rxn08474,rxn12504,rxn29259,rxn08476,rxn10963,rxn13286,rxn33142,rxn34369	gnl|TC-DB|P43561|2.A.108.1.4	21.888	3.49e-10	59.7	76	NZ_CP033898.1 Corynebacterium pseudopelargi strain 812CH chromosome, complete genome	1598135	1596930	transporter
gnl|TC-DB|P43561|2.A.108.1.4	2.A.108.1.4	iron	EX_cpd10516_e0	rxn29260	gnl|TC-DB|P43561|2.A.108.1.4	21.888	3.49e-10	59.7	76	NZ_CP033898.1 Corynebacterium pseudopelargi strain 812CH chromosome, complete genome	1598135	1596930	transporter
gnl|TC-DB|P31545|2.A.108.2.3	2.A.108.2.3	iron	EX_cpd10515_e0	rxn08473,rxn08474,rxn12504,rxn29259,rxn08476,rxn10963,rxn13286,rxn33142,rxn34369	gnl|TC-DB|P31545|2.A.108.2.3	38.107	1.54e-74	250	97	NZ_CP033898.1 Corynebacterium pseudopelargi strain 812CH chromosome, complete genome	1590967	1592112	transporter
gnl|TC-DB|P31545|2.A.108.2.3	2.A.108.2.3	iron	EX_cpd10516_e0	rxn29260	gnl|TC-DB|P31545|2.A.108.2.3	38.107	1.54e-74	250	97	NZ_CP033898.1 Corynebacterium pseudopelargi strain 812CH chromosome, complete genome	1590967	1592112	transporter
gnl|TC-DB|P37514|2.A.1.1.113	2.A.1.1.1	arabinose	EX_cpd00185_e0	rxn12574	gnl|TC-DB|P37514|2.A.1.1.113	28.536	1.56e-49	178	89	NZ_CP033898.1 Corynebacterium pseudopelargi strain 812CH chromosome, complete genome	193736	194914	transporter
gnl|TC-DB|P37514|2.A.1.1.113	2.A.1.1.1	arabinose	EX_cpd00224_e0	rxn05500,rxn08140,rxn08141	gnl|TC-DB|P37514|2.A.1.1.113	28.536	1.56e-49	178	89	NZ_CP033898.1 Corynebacterium pseudopelargi strain 812CH chromosome, complete genome	193736	194914	transporter
gnl|TC-DB|P37514|2.A.1.1.113	2.A.1.1.1	fructose	EX_cpd00082_e0	rxn09681	gnl|TC-DB|P37514|2.A.1.1.113	28.536	1.56e-49	178	89	NZ_CP033898.1 Corynebacterium pseudopelargi strain 812CH chromosome, complete genome	193736	194914	transporter
gnl|TC-DB|P37514|2.A.1.1.113	2.A.1.1.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|TC-DB|P37514|2.A.1.1.113	28.536	1.56e-49	178	89	NZ_CP033898.1 Corynebacterium pseudopelargi strain 812CH chromosome, complete genome	193736	194914	transporter
gnl|TC-DB|P37514|2.A.1.1.113	2.A.1.1.1	galacturonate	EX_cpd00280_e0	rxn05673,rxn08588	gnl|TC-DB|P37514|2.A.1.1.113	28.536	1.56e-49	178	89	NZ_CP033898.1 Corynebacterium pseudopelargi strain 812CH chromosome, complete genome	193736	194914	transporter
gnl|TC-DB|P37514|2.A.1.1.113	2.A.1.1.1	glucose	EX_cpd00027_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|TC-DB|P37514|2.A.1.1.113	28.536	1.56e-49	178	89	NZ_CP033898.1 Corynebacterium pseudopelargi strain 812CH chromosome, complete genome	193736	194914	transporter
gnl|TC-DB|P37514|2.A.1.1.113	2.A.1.1.1	glycerol	EX_cpd00100_e0	rxn12529,rxn34380	gnl|TC-DB|P37514|2.A.1.1.113	28.536	1.56e-49	178	89	NZ_CP033898.1 Corynebacterium pseudopelargi strain 812CH chromosome, complete genome	193736	194914	transporter
gnl|TC-DB|P37514|2.A.1.1.113	2.A.1.1.1	inositol	EX_cpd00121_e0	rxn05593,rxn08752	gnl|TC-DB|P37514|2.A.1.1.113	28.536	1.56e-49	178	89	NZ_CP033898.1 Corynebacterium pseudopelargi strain 812CH chromosome, complete genome	193736	194914	transporter
gnl|TC-DB|P37514|2.A.1.1.113	2.A.1.1.1	lactose	EX_cpd00208_e0	rxn08779,rxn08781,rxn10169	gnl|TC-DB|P37514|2.A.1.1.113	28.536	1.56e-49	178	89	NZ_CP033898.1 Corynebacterium pseudopelargi strain 812CH chromosome, complete genome	193736	194914	transporter
