# gapseq version: 1.4.0 27684cdd
# Transporter sequence DB md5sum: b99a77e (2025-02-28)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	29.767	1.91e-14	70.1	90	NC_017080.1 Phycisphaera mikurensis NBRC 102666, complete sequence	2513627	2514265	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	34.348	5.41e-17	78.2	84	NC_017080.1 Phycisphaera mikurensis NBRC 102666, complete sequence	1051031	1051699	transporter
gnl|TC-DB|Q08U57|1.A.1.24.2	1.A.1.24.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q08U57|1.A.1.24.2	45.896	7.12e-56	189	97	NC_017080.1 Phycisphaera mikurensis NBRC 102666, complete sequence	3389205	3389999	transporter
gnl|TC-DB|Q1D027|1.A.1.24.3	1.A.1.24.3	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q1D027|1.A.1.24.3	49.191	1.91e-68	227	99	NC_017080.1 Phycisphaera mikurensis NBRC 102666, complete sequence	3389058	3389981	transporter
gnl|TC-DB|O06873|1.A.30.1.2	1.A.30.1.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|O06873|1.A.30.1.2	44.980	3.29e-63	211	98	NC_017080.1 Phycisphaera mikurensis NBRC 102666, complete sequence	2072065	2072811	transporter
gnl|TC-DB|P39063|1.A.30.1.4	1.A.30.1.4	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P39063|1.A.30.1.4	38.785	8.05e-50	173	79	NC_017080.1 Phycisphaera mikurensis NBRC 102666, complete sequence	2072152	2072793	transporter
gnl|TC-DB|Q8EGR6|1.A.30.1.6	1.A.30.1.6	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q8EGR6|1.A.30.1.6	44.000	5.40e-52	179	97	NC_017080.1 Phycisphaera mikurensis NBRC 102666, complete sequence	2072065	2072814	transporter
gnl|TC-DB|P55892|1.A.30.1.7	1.A.30.1.7	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P55892|1.A.30.1.7	22.932	8.67e-05	41.2	80	NC_017080.1 Phycisphaera mikurensis NBRC 102666, complete sequence	2072931	2073623	transporter
gnl|TC-DB|P0ABU7|1.A.30.2.1	1.A.30.2.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABU7|1.A.30.2.1	29.388	2.71e-09	54.3	96	NC_017080.1 Phycisphaera mikurensis NBRC 102666, complete sequence	38891	38253	transporter
gnl|TC-DB|O00631|1.A.50.2.1	1.A.50.2.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|O00631|1.A.50.2.1	44.444	0.40	23.1	87	NC_017080.1 Phycisphaera mikurensis NBRC 102666, complete sequence	259142	259222	transporter
gnl|TC-DB|O00631|1.A.50.2.1	1.A.50.2.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|O00631|1.A.50.2.1	44.444	0.40	23.1	87	NC_017080.1 Phycisphaera mikurensis NBRC 102666, complete sequence	259142	259222	transporter
gnl|TC-DB|Q9XG70|1.A.8.10.2	1.A.8.10.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q9XG70|1.A.8.10.2	31.754	1.47e-14	70.1	79	NC_017080.1 Phycisphaera mikurensis NBRC 102666, complete sequence	3301840	3302454	transporter
gnl|TC-DB|P25818|1.A.8.10.3	1.A.8.10.3	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P25818|1.A.8.10.3	31.225	2.20e-10	57.8	94	NC_017080.1 Phycisphaera mikurensis NBRC 102666, complete sequence	3301792	3302517	transporter
gnl|TC-DB|P0AER0|1.A.8.1.1	1.A.8.1.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P0AER0|1.A.8.1.1	31.222	6.18e-11	60.1	78	NC_017080.1 Phycisphaera mikurensis NBRC 102666, complete sequence	3301804	3302418	transporter
gnl|TC-DB|Q8W037|1.A.8.12.4	1.A.8.12.4	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q8W037|1.A.8.12.4	30.672	1.52e-25	103	78	NC_017080.1 Phycisphaera mikurensis NBRC 102666, complete sequence	3301744	3302454	transporter
gnl|TC-DB|O28846|1.A.8.13.1	1.A.8.13.1	GLYCEROL	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|O28846|1.A.8.13.1	37.156	1.92e-16	75.5	84	NC_017080.1 Phycisphaera mikurensis NBRC 102666, complete sequence	3301813	3302403	transporter
gnl|TC-DB|Q9C4Z5|1.A.8.13.2	1.A.8.13.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q9C4Z5|1.A.8.13.2	35.526	1.24e-20	87.8	90	NC_017080.1 Phycisphaera mikurensis NBRC 102666, complete sequence	3301813	3302445	transporter
gnl|TC-DB|D7VF10|1.A.8.13.3	1.A.8.13.3	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7VF10|1.A.8.13.3	35.294	4.23e-22	91.3	92	NC_017080.1 Phycisphaera mikurensis NBRC 102666, complete sequence	3301822	3302454	transporter
