# gapseq version: 1.4.0 27684cdd
# Sequence DB md5sum: 954ab58 (2024-11-06, Bacteria)
# Genome format: nucl
rxn	name	ec	bihit	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	status	pathway.status	dbhit	complex	exception	complex.status
DHLAXANAU-RXN	1,2-dichloroethane dehalogenase	3.8.1.5	NA	UniRef90_P59336	25.524	9.13e-14	68.9	93	NZ_CP004387.1 Isoalcanivorax pacificus W11-5 chromosome, complete genome	2060952	2060167	|12DICHLORETHDEG-PWY|	bad_blast	NA	rxn03596 rxn03668 rxn03669 rxn03670 rxn03671 rxn06155 rxn07484 rxn07485 rxn19882 	NA	0	NA
MOXXANAU-RXN	2-chloroethanol dehydrogenase	1.1.2.7		UniRef90_P12293	34.075	5.18e-80	274	88	NZ_CP004387.1 Isoalcanivorax pacificus W11-5 chromosome, complete genome	1602905	1601208	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00847 rxn01796 rxn12745 rxn14207 rxn15989 rxn15990 rxn21641 rxn23811 	Subunit 1	0	NA
MOXXANAU-RXN	2-chloroethanol dehydrogenase	1.1.2.7	NA	UniRef90_Q09053	40.000	2.3	20.4	94	NZ_CP004387.1 Isoalcanivorax pacificus W11-5 chromosome, complete genome	1831161	1831205	|12DICHLORETHDEG-PWY|	bad_blast	NA	rxn00847 rxn01796 rxn12745 rxn14207 rxn15989 rxn15990 rxn21641 rxn23811 	Subunit 2	0	NA
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4		UniRef90_P37685	66.405	0.0	711	99	NZ_CP004387.1 Isoalcanivorax pacificus W11-5 chromosome, complete genome	1605592	1607118	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	1
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4		UniRef90_P37685	35.464	6.77e-83	278	99	NZ_CP004387.1 Isoalcanivorax pacificus W11-5 chromosome, complete genome	1556295	1557731	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	1
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4		UniRef90_P37685	33.333	6.54e-72	246	99	NZ_CP004387.1 Isoalcanivorax pacificus W11-5 chromosome, complete genome	773300	771867	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	1
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4		UniRef90_P37685	29.167	1.27e-50	184	99	NZ_CP004387.1 Isoalcanivorax pacificus W11-5 chromosome, complete genome	1313482	1312028	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	1
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4		UniRef90_P37685	30.734	3.33e-40	153	99	NZ_CP004387.1 Isoalcanivorax pacificus W11-5 chromosome, complete genome	2084304	2083051	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	1
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4		UniRef90_P37685	28.205	2.31e-38	147	99	NZ_CP004387.1 Isoalcanivorax pacificus W11-5 chromosome, complete genome	2756652	2758025	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	1
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4		UniRef90_P37685	26.489	1.16e-35	139	99	NZ_CP004387.1 Isoalcanivorax pacificus W11-5 chromosome, complete genome	2840636	2839209	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	1
