# gapseq version: 1.4.0 27684cdd
# Transporter sequence DB md5sum: b99a77e (2025-02-28)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|P76298|1.A.104.1.1	1.A.104.1.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P76298|1.A.104.1.1	39.459	3.09e-75	262	79	NZ_CP036532.1 Roseitalea porphyridii strain MA7-20 chromosome, complete genome	1597311	1598954	transporter
gnl|TC-DB|A7K9J5|1.A.1.12.2	1.A.1.12.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|A7K9J5|1.A.1.12.2	33.846	1.20e-06	41.2	76	NZ_CP036532.1 Roseitalea porphyridii strain MA7-20 chromosome, complete genome	209406	209233	transporter
gnl|TC-DB|Q8L1H6|1.A.1.14.2	1.A.1.14.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q8L1H6|1.A.1.14.2	51.575	1.11e-67	224	96	NZ_CP036532.1 Roseitalea porphyridii strain MA7-20 chromosome, complete genome	391298	392059	transporter
gnl|TC-DB|Q6U8D0|1.A.1.14.3	1.A.1.14.3	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q6U8D0|1.A.1.14.3	35.193	6.57e-38	139	81	NZ_CP036532.1 Roseitalea porphyridii strain MA7-20 chromosome, complete genome	391382	392071	transporter
gnl|TC-DB|Q6TMY8|1.A.1.14.4	1.A.1.14.4	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q6TMY8|1.A.1.14.4	53.441	1.11e-71	235	96	NZ_CP036532.1 Roseitalea porphyridii strain MA7-20 chromosome, complete genome	391301	392041	transporter
gnl|TC-DB|A8EVM5|1.A.1.14.5	1.A.1.14.5	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|A8EVM5|1.A.1.14.5	42.745	8.70e-55	187	96	NZ_CP036532.1 Roseitalea porphyridii strain MA7-20 chromosome, complete genome	391307	392071	transporter
gnl|TC-DB|A0L5S6|1.A.1.14.6	1.A.1.14.6	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|A0L5S6|1.A.1.14.6	53.361	7.34e-80	259	86	NZ_CP036532.1 Roseitalea porphyridii strain MA7-20 chromosome, complete genome	391307	392017	transporter
gnl|TC-DB|F5L478|1.A.1.14.7	1.A.1.14.7	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|F5L478|1.A.1.14.7	38.168	9.11e-39	142	88	NZ_CP036532.1 Roseitalea porphyridii strain MA7-20 chromosome, complete genome	391319	392071	transporter
gnl|TC-DB|J8TM36|1.A.1.14.8	1.A.1.14.8	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|J8TM36|1.A.1.14.8	32.841	6.23e-43	153	98	NZ_CP036532.1 Roseitalea porphyridii strain MA7-20 chromosome, complete genome	391295	392065	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	34.300	4.36e-23	95.5	95	NZ_CP036532.1 Roseitalea porphyridii strain MA7-20 chromosome, complete genome	1870226	1869618	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	39.556	5.01e-31	119	84	NZ_CP036532.1 Roseitalea porphyridii strain MA7-20 chromosome, complete genome	1870226	1869561	transporter
gnl|TC-DB|Q9FWR4|1.A.12.2.1	1.A.12.2.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q9FWR4|1.A.12.2.1	22.772	0.002	35.8	88	NZ_CP036532.1 Roseitalea porphyridii strain MA7-20 chromosome, complete genome	202724	203317	transporter
gnl|TC-DB|P0AEB5|1.A.23.4.3	1.A.23.4.3	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P0AEB5|1.A.23.4.3	25.385	3.24e-16	77.0	75	NZ_CP036532.1 Roseitalea porphyridii strain MA7-20 chromosome, complete genome	2766703	2765945	transporter
gnl|TC-DB|XP_014115346.1|1.A.27.2.2	1.A.27.2.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|XP_014115346.1|1.A.27.2.2	28.378	0.77	25.0	82	NZ_CP036532.1 Roseitalea porphyridii strain MA7-20 chromosome, complete genome	851206	851421	transporter
gnl|TC-DB|XP_014115346.1|1.A.27.2.2	1.A.27.2.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|XP_014115346.1|1.A.27.2.2	28.378	0.77	25.0	82	NZ_CP036532.1 Roseitalea porphyridii strain MA7-20 chromosome, complete genome	851206	851421	transporter
