# gapseq version: 1.4.0 27684cdd
# Transporter sequence DB md5sum: b99a77e (2025-02-28)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|P76298|1.A.104.1.1	1.A.104.1.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P76298|1.A.104.1.1	46.558	1.37e-112	371	79	NC_011144.1 Phenylobacterium zucineum HLK1, complete sequence	950576	948933	transporter
gnl|TC-DB|AET84893|1.A.1.12.5	1.A.1.12.5	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|AET84893|1.A.1.12.5	29.333	1.09e-04	36.2	84	NC_011144.1 Phenylobacterium zucineum HLK1, complete sequence	2860822	2860598	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	35.443	1.94e-19	85.1	93	NC_011144.1 Phenylobacterium zucineum HLK1, complete sequence	1059467	1058823	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	33.884	2.43e-18	82.4	80	NC_011144.1 Phenylobacterium zucineum HLK1, complete sequence	42431	43153	transporter
gnl|TC-DB|O00299|1.A.12.1.2	1.A.12.1.2	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|O00299|1.A.12.1.2	25.118	0.28	29.6	79	NC_011144.1 Phenylobacterium zucineum HLK1, complete sequence	2203494	2202949	transporter
gnl|TC-DB|Q8F2Y8|1.A.12.2.2	1.A.12.2.2	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q8F2Y8|1.A.12.2.2	31.667	1.19e-17	78.6	87	NC_011144.1 Phenylobacterium zucineum HLK1, complete sequence	2203536	2203003	transporter
gnl|TC-DB|P0ACA3|1.A.12.3.1	1.A.12.3.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0ACA3|1.A.12.3.1	27.570	1.49e-08	51.6	98	NC_011144.1 Phenylobacterium zucineum HLK1, complete sequence	2139090	2138452	transporter
gnl|TC-DB|Q8EGR5|1.A.30.1.6	1.A.30.1.6	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q8EGR5|1.A.30.1.6	22.951	0.24	30.4	75	NC_011144.1 Phenylobacterium zucineum HLK1, complete sequence	1890349	1891005	transporter
gnl|TC-DB|P55891|1.A.30.1.7	1.A.30.1.7	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P55891|1.A.30.1.7	38.328	7.42e-55	189	97	NC_011144.1 Phenylobacterium zucineum HLK1, complete sequence	3549150	3550010	transporter
gnl|TC-DB|P0ABU7|1.A.30.2.1	1.A.30.2.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABU7|1.A.30.2.1	44.206	5.15e-46	161	92	NC_011144.1 Phenylobacterium zucineum HLK1, complete sequence	2479024	2478329	transporter
gnl|TC-DB|P0ABU9|1.A.30.2.2	1.A.30.2.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABU9|1.A.30.2.2	36.818	4.61e-32	120	94	NC_011144.1 Phenylobacterium zucineum HLK1, complete sequence	3513596	3514246	transporter
gnl|TC-DB|Q50E47|1.A.98.1.2	1.A.98.1.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q50E47|1.A.98.1.2	37.500	7.6	21.6	79	NC_011144.1 Phenylobacterium zucineum HLK1, complete sequence	1077932	1077789	transporter
gnl|TC-DB|P72602|1.B.14.1.29	1.B.14.1.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P72602|1.B.14.1.29	28.230	1.22e-57	213	83	NC_011143.1 Phenylobacterium zucineum HLK1 plasmid unnamed, complete sequence	259047	261098	transporter
gnl|TC-DB|P33369|1.B.17.3.10	1.B.17.3.10	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P33369|1.B.17.3.10	24.057	4.62e-14	72.4	84	NC_011143.1 Phenylobacterium zucineum HLK1 plasmid unnamed, complete sequence	173729	172491	transporter
gnl|TC-DB|P71461|1.C.30.1.1	1.C.30.1.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P71461|1.C.30.1.1	29.787	2.0	22.7	93	NC_011144.1 Phenylobacterium zucineum HLK1, complete sequence	1869526	1869401	transporter
gnl|TC-DB|Q949R9|2.A.105.1.4	2.A.105.1.4	pyruvate	EX_cpd00020_e0	rxn05469,rxn09217,rxn09717,rxn09832	gnl|TC-DB|Q949R9|2.A.105.1.4	21.905	3.5	24.3	94	NC_011144.1 Phenylobacterium zucineum HLK1, complete sequence	3187612	3187890	transporter
gnl|TC-DB|Q8EHY3|2.A.106.1.8	2.A.106.1.8	lactate	EX_cpd00159_e0	rxn05602,rxn08794,rxn10818,rxn12365,rxn13334	gnl|TC-DB|Q8EHY3|2.A.106.1.8	48.603	1.53e-48	166	97	NC_011144.1 Phenylobacterium zucineum HLK1, complete sequence	2025896	2025360	transporter
gnl|TC-DB|Q8EHY3|2.A.106.1.8	2.A.106.1.8	lactate	EX_cpd00221_e0	rxn08350,rxn09772,rxn10171,rxn12366	gnl|TC-DB|Q8EHY3|2.A.106.1.8	48.603	1.53e-48	166	97	NC_011144.1 Phenylobacterium zucineum HLK1, complete sequence	2025896	2025360	transporter
gnl|TC-DB|Q58AJ4|2.A.108.2.1	2.A.108.2.1	iron	EX_cpd10515_e0	rxn08473,rxn08474,rxn12504,rxn29259,rxn08476,rxn10963,rxn13286,rxn33142,rxn34369	gnl|TC-DB|Q58AJ4|2.A.108.2.1	53.109	3.46e-164	519	92	NC_011143.1 Phenylobacterium zucineum HLK1 plasmid unnamed, complete sequence	319260	317482	transporter
gnl|TC-DB|Q58AJ4|2.A.108.2.1	2.A.108.2.1	iron	EX_cpd10516_e0	rxn29260	gnl|TC-DB|Q58AJ4|2.A.108.2.1	53.109	3.46e-164	519	92	NC_011143.1 Phenylobacterium zucineum HLK1 plasmid unnamed, complete sequence	319260	317482	transporter
gnl|TC-DB|P0AFF4|2.A.1.10.1	2.A.1.10.1	adenosine	EX_cpd00182_e0	rxn05318,rxn08068,rxn12381	gnl|TC-DB|P0AFF4|2.A.1.10.1	25.366	5.44e-21	93.2	93	NC_011144.1 Phenylobacterium zucineum HLK1, complete sequence	2429446	2428304	transporter
gnl|TC-DB|P0AFF4|2.A.1.10.1	2.A.1.10.1	cytidine	EX_cpd00367_e0	rxn05198,rxn08289,rxn10857,rxn12413,rxn13338,rxn10997	gnl|TC-DB|P0AFF4|2.A.1.10.1	25.366	5.44e-21	93.2	93	NC_011144.1 Phenylobacterium zucineum HLK1, complete sequence	2429446	2428304	transporter
gnl|TC-DB|P0AFF4|2.A.1.10.1	2.A.1.10.1	guanosine	EX_cpd00311_e0	rxn05204,rxn08671,rxn09747,rxn12427,rxn28613	gnl|TC-DB|P0AFF4|2.A.1.10.1	25.366	5.44e-21	93.2	93	NC_011144.1 Phenylobacterium zucineum HLK1, complete sequence	2429446	2428304	transporter
gnl|TC-DB|P0AFF4|2.A.1.10.1	2.A.1.10.1	inosine	EX_cpd00246_e0	rxn05316,rxn08753,rxn12445,rxn28604	gnl|TC-DB|P0AFF4|2.A.1.10.1	25.366	5.44e-21	93.2	93	NC_011144.1 Phenylobacterium zucineum HLK1, complete sequence	2429446	2428304	transporter
gnl|TC-DB|P0AFF4|2.A.1.10.1	2.A.1.10.1	thymidine	EX_cpd00184_e0	rxn05200,rxn09298,rxn10892,rxn12457	gnl|TC-DB|P0AFF4|2.A.1.10.1	25.366	5.44e-21	93.2	93	NC_011144.1 Phenylobacterium zucineum HLK1, complete sequence	2429446	2428304	transporter
gnl|TC-DB|P45562|2.A.1.10.2	2.A.1.10.2	adenosine	EX_cpd00182_e0	rxn05318,rxn08068,rxn12381	gnl|TC-DB|P45562|2.A.1.10.2	27.833	6.62e-14	71.2	93	NC_011144.1 Phenylobacterium zucineum HLK1, complete sequence	2429446	2428304	transporter
gnl|TC-DB|P45562|2.A.1.10.2	2.A.1.10.2	cytidine	EX_cpd00367_e0	rxn05198,rxn08289,rxn10857,rxn12413,rxn13338,rxn10997	gnl|TC-DB|P45562|2.A.1.10.2	27.833	6.62e-14	71.2	93	NC_011144.1 Phenylobacterium zucineum HLK1, complete sequence	2429446	2428304	transporter
gnl|TC-DB|P45562|2.A.1.10.2	2.A.1.10.2	inosine	EX_cpd00246_e0	rxn05316,rxn08753,rxn12445,rxn28604	gnl|TC-DB|P45562|2.A.1.10.2	27.833	6.62e-14	71.2	93	NC_011144.1 Phenylobacterium zucineum HLK1, complete sequence	2429446	2428304	transporter
gnl|TC-DB|P45562|2.A.1.10.2	2.A.1.10.2	thymidine	EX_cpd00184_e0	rxn05200,rxn09298,rxn10892,rxn12457	gnl|TC-DB|P45562|2.A.1.10.2	27.833	6.62e-14	71.2	93	NC_011144.1 Phenylobacterium zucineum HLK1, complete sequence	2429446	2428304	transporter
gnl|TC-DB|P45562|2.A.1.10.2	2.A.1.10.2	xanthosine	EX_cpd01217_e0	rxn05680,rxn09381	gnl|TC-DB|P45562|2.A.1.10.2	27.833	6.62e-14	71.2	93	NC_011144.1 Phenylobacterium zucineum HLK1, complete sequence	2429446	2428304	transporter
gnl|TC-DB|E1WAV3|2.A.1.1.120	2.A.1.1.1	arabinose	EX_cpd00185_e0	rxn12574	gnl|TC-DB|E1WAV3|2.A.1.1.120	34.066	9.25e-76	256	95	NC_011144.1 Phenylobacterium zucineum HLK1, complete sequence	2822484	2821150	transporter
gnl|TC-DB|E1WAV3|2.A.1.1.120	2.A.1.1.1	arabinose	EX_cpd00224_e0	rxn05500,rxn08140,rxn08141	gnl|TC-DB|E1WAV3|2.A.1.1.120	34.066	9.25e-76	256	95	NC_011144.1 Phenylobacterium zucineum HLK1, complete sequence	2822484	2821150	transporter
gnl|TC-DB|E1WAV3|2.A.1.1.120	2.A.1.1.1	fructose	EX_cpd00082_e0	rxn09681	gnl|TC-DB|E1WAV3|2.A.1.1.120	34.066	9.25e-76	256	95	NC_011144.1 Phenylobacterium zucineum HLK1, complete sequence	2822484	2821150	transporter
gnl|TC-DB|E1WAV3|2.A.1.1.120	2.A.1.1.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|TC-DB|E1WAV3|2.A.1.1.120	34.066	9.25e-76	256	95	NC_011144.1 Phenylobacterium zucineum HLK1, complete sequence	2822484	2821150	transporter
gnl|TC-DB|E1WAV3|2.A.1.1.120	2.A.1.1.1	galacturonate	EX_cpd00280_e0	rxn05673,rxn08588	gnl|TC-DB|E1WAV3|2.A.1.1.120	34.066	9.25e-76	256	95	NC_011144.1 Phenylobacterium zucineum HLK1, complete sequence	2822484	2821150	transporter
gnl|TC-DB|E1WAV3|2.A.1.1.120	2.A.1.1.1	glucose	EX_cpd00027_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|TC-DB|E1WAV3|2.A.1.1.120	34.066	9.25e-76	256	95	NC_011144.1 Phenylobacterium zucineum HLK1, complete sequence	2822484	2821150	transporter
gnl|TC-DB|E1WAV3|2.A.1.1.120	2.A.1.1.1	glycerol	EX_cpd00100_e0	rxn12529,rxn34380	gnl|TC-DB|E1WAV3|2.A.1.1.120	34.066	9.25e-76	256	95	NC_011144.1 Phenylobacterium zucineum HLK1, complete sequence	2822484	2821150	transporter
gnl|TC-DB|E1WAV3|2.A.1.1.120	2.A.1.1.1	inositol	EX_cpd00121_e0	rxn05593,rxn08752	gnl|TC-DB|E1WAV3|2.A.1.1.120	34.066	9.25e-76	256	95	NC_011144.1 Phenylobacterium zucineum HLK1, complete sequence	2822484	2821150	transporter
