# gapseq version: 1.4.0 27684cdd
# Transporter sequence DB md5sum: b99a77e (2025-02-28)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|P73797|1.A.10.2.1	1.A.10.2.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P73797|1.A.10.2.1	29.111	4.56e-35	135	92	NC_010628.1 Nostoc punctiforme PCC 73102, complete sequence	7992279	7993346	transporter
gnl|TC-DB|B5FDH7|1.A.10.2.4	1.A.10.2.4	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|B5FDH7|1.A.10.2.4	28.693	2.18e-32	127	92	NC_010628.1 Nostoc punctiforme PCC 73102, complete sequence	7992354	7993349	transporter
gnl|TC-DB|A7K9J5|1.A.1.12.2	1.A.1.12.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|A7K9J5|1.A.1.12.2	29.412	8.35e-04	34.7	79	NC_010628.1 Nostoc punctiforme PCC 73102, complete sequence	6733870	6734073	transporter
gnl|TC-DB|Q58752|1.A.1.13.10	1.A.1.13.10	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q58752|1.A.1.13.10	34.169	1.31e-54	191	92	NC_010628.1 Nostoc punctiforme PCC 73102, complete sequence	6147459	6148385	transporter
gnl|TC-DB|O27564|1.A.1.13.2	1.A.1.13.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|O27564|1.A.1.13.2	27.987	5.44e-30	119	90	NC_010628.1 Nostoc punctiforme PCC 73102, complete sequence	6147471	6148412	transporter
gnl|TC-DB|P74405|1.A.1.13.6	1.A.1.13.6	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P74405|1.A.1.13.6	54.513	0.0	617	98	NC_010628.1 Nostoc punctiforme PCC 73102, complete sequence	8230710	8232371	transporter
gnl|TC-DB|P73132|1.A.1.13.7	1.A.1.13.7	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P73132|1.A.1.13.7	63.068	6.52e-142	443	96	NC_010628.1 Nostoc punctiforme PCC 73102, complete sequence	6147402	6148457	transporter
gnl|TC-DB|Q57604|1.A.1.13.8	1.A.1.13.8	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q57604|1.A.1.13.8	35.855	1.26e-57	199	90	NC_010628.1 Nostoc punctiforme PCC 73102, complete sequence	6147507	6148412	transporter
gnl|TC-DB|E8QNY4|1.A.1.13.9	1.A.1.13.9	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|E8QNY4|1.A.1.13.9	26.316	4.71e-31	123	84	NC_010628.1 Nostoc punctiforme PCC 73102, complete sequence	6147510	6148454	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	32.618	7.33e-30	116	96	NC_010628.1 Nostoc punctiforme PCC 73102, complete sequence	1513424	1514122	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	38.849	1.52e-43	157	99	NC_010628.1 Nostoc punctiforme PCC 73102, complete sequence	684192	683374	transporter
gnl|TC-DB|Q8Y5K1|1.A.1.17.2	1.A.1.17.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q8Y5K1|1.A.1.17.2	26.923	3.28e-12	64.3	77	NC_010628.1 Nostoc punctiforme PCC 73102, complete sequence	3829592	3830212	transporter
gnl|TC-DB|O00299|1.A.12.1.2	1.A.12.1.2	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|O00299|1.A.12.1.2	25.126	5.82e-13	66.2	80	NC_010628.1 Nostoc punctiforme PCC 73102, complete sequence	3121309	3120755	transporter
gnl|TC-DB|Q53G01|1.A.12.1.3	1.A.12.1.3	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q53G01|1.A.12.1.3	23.636	1.15e-08	53.5	85	NC_010628.1 Nostoc punctiforme PCC 73102, complete sequence	3121309	3120695	transporter
gnl|TC-DB|O15247|1.A.12.1.5	1.A.12.1.5	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|O15247|1.A.12.1.5	23.618	4.86e-10	57.8	79	NC_010628.1 Nostoc punctiforme PCC 73102, complete sequence	3121309	3120755	transporter
gnl|TC-DB|Q9Y696|1.A.12.1.6	1.A.12.1.6	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q9Y696|1.A.12.1.6	23.474	1.61e-09	56.2	82	NC_010628.1 Nostoc punctiforme PCC 73102, complete sequence	3121309	3120716	transporter
gnl|TC-DB|O95833|1.A.12.1.7	1.A.12.1.7	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|O95833|1.A.12.1.7	23.445	3.23e-07	48.9	86	NC_010628.1 Nostoc punctiforme PCC 73102, complete sequence	3121309	3120722	transporter
gnl|TC-DB|Q9FWR4|1.A.12.2.1	1.A.12.2.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q9FWR4|1.A.12.2.1	28.365	2.93e-20	86.7	93	NC_010628.1 Nostoc punctiforme PCC 73102, complete sequence	3121309	3120689	transporter
gnl|TC-DB|Q8F2Y8|1.A.12.2.2	1.A.12.2.2	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q8F2Y8|1.A.12.2.2	27.397	3.24e-14	69.3	94	NC_010628.1 Nostoc punctiforme PCC 73102, complete sequence	7525010	7525642	transporter
gnl|TC-DB|P0ACA3|1.A.12.3.1	1.A.12.3.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0ACA3|1.A.12.3.1	31.548	3.44e-22	92.4	92	NC_010628.1 Nostoc punctiforme PCC 73102, complete sequence	3121303	3120803	transporter
gnl|TC-DB|Q08U57|1.A.1.24.2	1.A.1.24.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q08U57|1.A.1.24.2	33.953	6.45e-24	98.2	91	NC_010628.1 Nostoc punctiforme PCC 73102, complete sequence	2810879	2811493	transporter
gnl|TC-DB|Q1D027|1.A.1.24.3	1.A.1.24.3	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q1D027|1.A.1.24.3	32.946	2.51e-22	94.7	92	NC_010628.1 Nostoc punctiforme PCC 73102, complete sequence	2810762	2811493	transporter
gnl|TC-DB|B7K3R7|1.A.1.24.4	1.A.1.24.4	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|B7K3R7|1.A.1.24.4	51.570	2.19e-65	219	83	NC_010628.1 Nostoc punctiforme PCC 73102, complete sequence	2810837	2811505	transporter
gnl|TC-DB|Q57603|1.A.1.6.1	1.A.1.6.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q57603|1.A.1.6.1	30.247	1.59e-13	67.0	76	NC_010628.1 Nostoc punctiforme PCC 73102, complete sequence	2810834	2811319	transporter
gnl|TC-DB|P78508|1.A.2.1.16	1.A.2.1.16	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P78508|1.A.2.1.16	25.965	2.37e-17	82.4	75	NC_010628.1 Nostoc punctiforme PCC 73102, complete sequence	6733774	6734556	transporter
gnl|TC-DB|P48544|1.A.2.1.3	1.A.2.1.3	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P48544|1.A.2.1.3	28.086	2.66e-25	107	75	NC_010628.1 Nostoc punctiforme PCC 73102, complete sequence	6733666	6734556	transporter
gnl|TC-DB|Q5R205|1.A.2.1.6	1.A.2.1.6	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q5R205|1.A.2.1.6	27.976	2.71e-25	107	78	NC_010628.1 Nostoc punctiforme PCC 73102, complete sequence	6733648	6734565	transporter
gnl|TC-DB|O60928|1.A.2.1.8	1.A.2.1.8	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|O60928|1.A.2.1.8	24.315	2.51e-13	69.7	79	NC_010628.1 Nostoc punctiforme PCC 73102, complete sequence	6733771	6734562	transporter
gnl|TC-DB|P83698|1.A.2.2.1	1.A.2.2.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P83698|1.A.2.2.1	44.681	1.80e-80	265	84	NC_010628.1 Nostoc punctiforme PCC 73102, complete sequence	6733723	6734568	transporter
gnl|TC-DB|P83698|1.A.2.2.1	1.A.2.2.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P83698|1.A.2.2.1	44.681	1.80e-80	265	84	NC_010628.1 Nostoc punctiforme PCC 73102, complete sequence	6733723	6734568	transporter
gnl|TC-DB|D9N164|1.A.2.2.2	1.A.2.2.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|D9N164|1.A.2.2.2	49.458	3.47e-85	277	92	NC_010628.1 Nostoc punctiforme PCC 73102, complete sequence	6733732	6734559	transporter
gnl|TC-DB|Q7NZ13|1.A.2.2.3	1.A.2.2.3	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q7NZ13|1.A.2.2.3	45.977	1.11e-72	241	88	NC_010628.1 Nostoc punctiforme PCC 73102, complete sequence	6733783	6734565	transporter
gnl|TC-DB|Q6ZEQ2|1.A.2.2.4	1.A.2.2.4	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q6ZEQ2|1.A.2.2.4	52.692	3.95e-93	300	83	NC_010628.1 Nostoc punctiforme PCC 73102, complete sequence	6733783	6734562	transporter
gnl|TC-DB|Q146M9|1.A.2.2.5	1.A.2.2.5	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q146M9|1.A.2.2.5	46.182	3.10e-71	238	85	NC_010628.1 Nostoc punctiforme PCC 73102, complete sequence	6733747	6734571	transporter
gnl|TC-DB|P72604|1.A.30.2.10	1.A.30.2.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P72604|1.A.30.2.10	61.905	7.66e-66	217	99	NC_010628.1 Nostoc punctiforme PCC 73102, complete sequence	928977	928351	transporter
