# gapseq version: 1.4.0 27684cdd
# Transporter sequence DB md5sum: b99a77e (2025-02-28)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|Q58752|1.A.1.13.10	1.A.1.13.10	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q58752|1.A.1.13.10	33.019	1.09e-53	187	92	NZ_AP017305.1 Fischerella sp. NIES-3754 chromosome, complete genome	2372887	2371961	transporter
gnl|TC-DB|O27564|1.A.1.13.2	1.A.1.13.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|O27564|1.A.1.13.2	28.037	7.97e-28	112	93	NZ_AP017305.1 Fischerella sp. NIES-3754 chromosome, complete genome	2372887	2371925	transporter
gnl|TC-DB|P74405|1.A.1.13.6	1.A.1.13.6	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P74405|1.A.1.13.6	56.318	0.0	651	98	NZ_AP017305.1 Fischerella sp. NIES-3754 chromosome, complete genome	2999692	2998031	transporter
gnl|TC-DB|P73132|1.A.1.13.7	1.A.1.13.7	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P73132|1.A.1.13.7	62.178	7.33e-134	419	96	NZ_AP017305.1 Fischerella sp. NIES-3754 chromosome, complete genome	2372935	2371889	transporter
gnl|TC-DB|Q57604|1.A.1.13.8	1.A.1.13.8	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q57604|1.A.1.13.8	36.275	9.08e-58	199	91	NZ_AP017305.1 Fischerella sp. NIES-3754 chromosome, complete genome	2372839	2371928	transporter
gnl|TC-DB|E8QNY4|1.A.1.13.9	1.A.1.13.9	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|E8QNY4|1.A.1.13.9	24.615	1.48e-25	106	84	NZ_AP017305.1 Fischerella sp. NIES-3754 chromosome, complete genome	2372836	2371886	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	33.663	1.06e-22	95.1	98	NZ_AP017305.1 Fischerella sp. NIES-3754 chromosome, complete genome	697132	697737	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	45.055	3.36e-65	218	99	NZ_AP017305.1 Fischerella sp. NIES-3754 chromosome, complete genome	2156436	2157254	transporter
gnl|TC-DB|Q8F2Y8|1.A.12.2.2	1.A.12.2.2	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q8F2Y8|1.A.12.2.2	25.225	7.53e-11	58.9	82	NZ_AP017305.1 Fischerella sp. NIES-3754 chromosome, complete genome	3265662	3265030	transporter
gnl|TC-DB|P0ACA3|1.A.12.3.1	1.A.12.3.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0ACA3|1.A.12.3.1	25.616	7.12e-07	47.0	92	NZ_AP017305.1 Fischerella sp. NIES-3754 chromosome, complete genome	5387236	5387790	transporter
gnl|TC-DB|Q08U57|1.A.1.24.2	1.A.1.24.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q08U57|1.A.1.24.2	34.450	1.87e-23	96.3	88	NZ_AP017305.1 Fischerella sp. NIES-3754 chromosome, complete genome	1396101	1395517	transporter
gnl|TC-DB|B7K3R7|1.A.1.24.4	1.A.1.24.4	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|B7K3R7|1.A.1.24.4	51.373	2.06e-64	215	95	NZ_AP017305.1 Fischerella sp. NIES-3754 chromosome, complete genome	1396272	1395511	transporter
gnl|TC-DB|Q57603|1.A.1.6.1	1.A.1.6.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q57603|1.A.1.6.1	32.099	2.90e-13	65.9	76	NZ_AP017305.1 Fischerella sp. NIES-3754 chromosome, complete genome	1396173	1395691	transporter
gnl|TC-DB|P72604|1.A.30.2.10	1.A.30.2.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P72604|1.A.30.2.10	60.000	9.23e-66	216	99	NZ_AP017305.1 Fischerella sp. NIES-3754 chromosome, complete genome	3283147	3282521	transporter
gnl|TC-DB|P0ABU9|1.A.30.2.2	1.A.30.2.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABU9|1.A.30.2.2	26.131	6.48e-07	47.4	83	NZ_AP017305.1 Fischerella sp. NIES-3754 chromosome, complete genome	4732794	4733330	transporter
