# gapseq version: 1.4.0 27684cdd
# Transporter sequence DB md5sum: b99a77e (2025-02-28)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|P73797|1.A.10.2.1	1.A.10.2.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P73797|1.A.10.2.1	21.348	2.13e-12	66.6	88	NZ_CP042582.1 Hypericibacter adhaerens strain R5959 chromosome, complete genome	977494	976469	transporter
gnl|TC-DB|B5FDH7|1.A.10.2.4	1.A.10.2.4	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|B5FDH7|1.A.10.2.4	23.810	3.82e-20	90.1	92	NZ_CP042582.1 Hypericibacter adhaerens strain R5959 chromosome, complete genome	977473	976466	transporter
gnl|TC-DB|P76298|1.A.104.1.1	1.A.104.1.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P76298|1.A.104.1.1	44.424	6.92e-112	370	79	NZ_CP042582.1 Hypericibacter adhaerens strain R5959 chromosome, complete genome	3924107	3925747	transporter
gnl|TC-DB|Q84568|1.A.1.12.1	1.A.1.12.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q84568|1.A.1.12.1	29.870	3.84e-04	35.4	82	NZ_CP042582.1 Hypericibacter adhaerens strain R5959 chromosome, complete genome	590766	590990	transporter
gnl|TC-DB|AET84893|1.A.1.12.5	1.A.1.12.5	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|AET84893|1.A.1.12.5	29.167	0.026	30.0	83	NZ_CP042582.1 Hypericibacter adhaerens strain R5959 chromosome, complete genome	3852365	3852177	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	33.755	1.04e-16	77.4	93	NZ_CP042582.1 Hypericibacter adhaerens strain R5959 chromosome, complete genome	5305906	5306586	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	43.542	4.66e-47	166	99	NZ_CP042582.1 Hypericibacter adhaerens strain R5959 chromosome, complete genome	3748093	3747281	transporter
gnl|TC-DB|Q2W0I8|1.A.1.22.1	1.A.1.22.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q2W0I8|1.A.1.22.1	38.393	1.52e-60	209	84	NZ_CP042582.1 Hypericibacter adhaerens strain R5959 chromosome, complete genome	3852653	3851658	transporter
gnl|TC-DB|Q9FWR4|1.A.12.2.1	1.A.12.2.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q9FWR4|1.A.12.2.1	25.909	1.35e-11	60.8	87	NZ_CP042582.1 Hypericibacter adhaerens strain R5959 chromosome, complete genome	4606932	4607528	transporter
gnl|TC-DB|Q8F2Y8|1.A.12.2.2	1.A.12.2.2	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q8F2Y8|1.A.12.2.2	29.648	4.42e-13	65.5	89	NZ_CP042582.1 Hypericibacter adhaerens strain R5959 chromosome, complete genome	261747	262298	transporter
gnl|TC-DB|P0ACA3|1.A.12.3.1	1.A.12.3.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0ACA3|1.A.12.3.1	29.609	1.96e-18	80.9	96	NZ_CP042582.1 Hypericibacter adhaerens strain R5959 chromosome, complete genome	523691	523155	transporter
gnl|TC-DB|Q02006|1.A.1.24.1	1.A.1.24.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q02006|1.A.1.24.1	40.506	3.23e-69	235	77	NZ_CP042582.1 Hypericibacter adhaerens strain R5959 chromosome, complete genome	3852653	3851724	transporter
gnl|TC-DB|Q08U57|1.A.1.24.2	1.A.1.24.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q08U57|1.A.1.24.2	33.668	1.15e-22	94.0	79	NZ_CP042582.1 Hypericibacter adhaerens strain R5959 chromosome, complete genome	3852653	3852072	transporter
