# gapseq version: 1.4.0 27684cdd
# Transporter sequence DB md5sum: b99a77e (2025-02-28)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|P76298|1.A.104.1.1	1.A.104.1.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P76298|1.A.104.1.1	94.364	0.0	994	100	NZ_CP035385.1 Enterobacter hormaechei strain S11_16 chromosome, complete genome	2867218	2865143	transporter
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|QOC69403.1|1.A.1.12.6	25.641	0.088	28.9	77	NZ_CP035385.1 Enterobacter hormaechei strain S11_16 chromosome, complete genome	2642328	2642146	transporter
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|QOC69403.1|1.A.1.12.6	25.641	0.088	28.9	77	NZ_CP035385.1 Enterobacter hormaechei strain S11_16 chromosome, complete genome	2642328	2642146	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	31.298	2.41e-22	93.6	98	NZ_CP035385.1 Enterobacter hormaechei strain S11_16 chromosome, complete genome	1106142	1105387	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	30.702	6.79e-13	66.2	79	NZ_CP035385.1 Enterobacter hormaechei strain S11_16 chromosome, complete genome	1711652	1712293	transporter
gnl|TC-DB|Q9FWR4|1.A.12.2.1	1.A.12.2.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q9FWR4|1.A.12.2.1	24.194	1.03e-08	52.4	84	NZ_CP035385.1 Enterobacter hormaechei strain S11_16 chromosome, complete genome	4290402	4289857	transporter
gnl|TC-DB|P0ACA3|1.A.12.3.1	1.A.12.3.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0ACA3|1.A.12.3.1	94.811	1.78e-136	419	100	NZ_CP035385.1 Enterobacter hormaechei strain S11_16 chromosome, complete genome	4290462	4289827	transporter
gnl|TC-DB|Q08U57|1.A.1.24.2	1.A.1.24.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q08U57|1.A.1.24.2	36.406	4.93e-45	158	92	NZ_CP035385.1 Enterobacter hormaechei strain S11_16 chromosome, complete genome	2642613	2641963	transporter
gnl|TC-DB|Q1D027|1.A.1.24.3	1.A.1.24.3	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q1D027|1.A.1.24.3	37.037	3.20e-49	172	95	NZ_CP035385.1 Enterobacter hormaechei strain S11_16 chromosome, complete genome	2642766	2641963	transporter
gnl|TC-DB|B7K3R7|1.A.1.24.4	1.A.1.24.4	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|B7K3R7|1.A.1.24.4	29.767	1.30e-18	83.2	75	NZ_CP035385.1 Enterobacter hormaechei strain S11_16 chromosome, complete genome	2642598	2641963	transporter
