# gapseq version: 1.4.0 27684cdd
# Sequence DB md5sum: 954ab58 (2024-11-06, Bacteria)
# Genome format: nucl
rxn	name	ec	bihit	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	status	pathway.status	dbhit	complex	exception	complex.status
DHLAXANAU-RXN	1,2-dichloroethane dehalogenase	3.8.1.5	NA	UniRef90_Q73Y99	22.481	0.13	31.6	81	NZ_CP035385.1 Enterobacter hormaechei strain S11_16 chromosome, complete genome	1297362	1296673	|12DICHLORETHDEG-PWY|	bad_blast	NA	rxn03596 rxn03668 rxn03669 rxn03670 rxn03671 rxn06155 rxn07484 rxn07485 rxn19882 	NA	0	NA
MOXXANAU-RXN	2-chloroethanol dehydrogenase	1.1.2.7		UniRef90_P12293	24.848	9.03e-33	133	86	NZ_CP035385.1 Enterobacter hormaechei strain S11_16 chromosome, complete genome	769068	767209	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00847 rxn01796 rxn12745 rxn14207 rxn15989 rxn15990 rxn21641 rxn23811 	Subunit 1	0	NA
MOXXANAU-RXN	2-chloroethanol dehydrogenase	1.1.2.7	NA	UniRef90_Q09053	50.000	2.0	20.8	100	NZ_CP035385.1 Enterobacter hormaechei strain S11_16 chromosome, complete genome	2512247	2512200	|12DICHLORETHDEG-PWY|	bad_blast	NA	rxn00847 rxn01796 rxn12745 rxn14207 rxn15989 rxn15990 rxn21641 rxn23811 	Subunit 2	0	NA
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4		UniRef90_P37685	94.141	0.0	969	100	NZ_CP035385.1 Enterobacter hormaechei strain S11_16 chromosome, complete genome	4646031	4644496	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	1
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4		UniRef90_P37685	37.500	1.43e-92	306	100	NZ_CP035385.1 Enterobacter hormaechei strain S11_16 chromosome, complete genome	590638	589187	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	1
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4		UniRef90_P37685	36.382	3.86e-87	291	100	NZ_CP035385.1 Enterobacter hormaechei strain S11_16 chromosome, complete genome	1187067	1185586	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	1
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4		UniRef90_P37685	35.802	3.22e-81	274	100	NZ_CP035385.1 Enterobacter hormaechei strain S11_16 chromosome, complete genome	3870157	3868727	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	1
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4		UniRef90_P37685	35.551	4.07e-78	265	100	NZ_CP035385.1 Enterobacter hormaechei strain S11_16 chromosome, complete genome	2487311	2485905	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	1
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4		UniRef90_P37685	35.510	2.26e-74	254	100	NZ_CP035385.1 Enterobacter hormaechei strain S11_16 chromosome, complete genome	2208937	2210373	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	1
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4		UniRef90_P37685	32.992	3.57e-66	230	100	NZ_CP035385.1 Enterobacter hormaechei strain S11_16 chromosome, complete genome	2261572	2262996	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	1
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4		UniRef90_P37685	32.397	1.56e-62	219	100	NZ_CP035385.1 Enterobacter hormaechei strain S11_16 chromosome, complete genome	4301048	4299696	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	1
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4		UniRef90_P37685	32.833	3.15e-59	209	100	NZ_CP035385.1 Enterobacter hormaechei strain S11_16 chromosome, complete genome	571707	573062	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	1
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4		UniRef90_P37685	28.817	6.50e-43	161	100	NZ_CP035385.1 Enterobacter hormaechei strain S11_16 chromosome, complete genome	2338186	2339529	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	1
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4		UniRef90_P37685	26.840	5.62e-30	122	100	NZ_CP035385.1 Enterobacter hormaechei strain S11_16 chromosome, complete genome	1643239	1641917	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	1
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4		UniRef90_P37685	27.932	2.67e-29	120	100	NZ_CP035385.1 Enterobacter hormaechei strain S11_16 chromosome, complete genome	1917398	1918750	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	1
DHLBXANAU-RXN	chloroacetate dehalogenase	3.8.1.3	NA	UniRef90_Q01399	22.831	6.28e-07	47.0	91	NZ_CP035385.1 Enterobacter hormaechei strain S11_16 chromosome, complete genome	4407199	4406552	|12DICHLORETHDEG-PWY|	bad_blast	NA	rxn02050 rxn03599 rxn06154 rxn19881 	NA	0	NA
DIOXYXANFL-RXN	1,4-dichlorobenzene dioxygenase	1.14.12.26	NA									|14DICHLORBENZDEG-PWY|	no_blast	NA	rxn04646 rxn04671 rxn25893 rxn25906 	Subunit 1	0	1
DIOXYXANFL-RXN	1,4-dichlorobenzene dioxygenase	1.14.12.26	NA									|14DICHLORBENZDEG-PWY|	no_blast	NA	rxn04646 rxn04671 rxn25893 rxn25906 	Subunit 2	0	1
